PokerStars Tournoi #3527082108, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1429 joueurs
Dotation totale : €6430.50 EUR 
Tournoi commencé 09/01/2023 17:00:00 CET [09/01/2023 11:00:00 ET]

  1: # BRUX010 # (Brésil), encore en lice
  2: **Osperamo** [2] (Espagne), encore en lice
  3: *nastasia30 (France), encore en lice
  4: 1$11DUR (Espagne), encore en lice
  5: 11ooduplica (Argentine), encore en lice
  6: 1MTotalefisho [2] (Lituanie), encore en lice
  7: 1hydres2 [2] (France), encore en lice
  8: 2001jam53 (Espagne), encore en lice
  9: 20091992Rafa (Portugal), encore en lice
  10: 27nerub (Portugal), encore en lice
  11: 2pac2as [2] (France), encore en lice
  12: 666raul666 (Portugal), encore en lice
  13: 67iceman6767 (France), encore en lice
  14: 70rose (Portugal), encore en lice
  15: 85elputoamo (Espagne), encore en lice
  16: 90BB90 (France), encore en lice
  17: 9Rounders8 (Espagne), encore en lice
  18: AAKKinGG [2] (Portugal), encore en lice
  19: AFPLS (Espagne), encore en lice
  20: AK QQ JJ (Espagne), encore en lice
  21: ALVAREJO22 (Espagne), encore en lice
  22: API63 (France), encore en lice
  23: AeOUI (France), encore en lice
  24: Aguileño29 (Espagne), encore en lice
  25: Aipeyo [2] (Espagne), encore en lice
  26: AlexisZ200 (Espagne), encore en lice
  27: Allefonzo_KZ (Kazakhstan), encore en lice
  28: Allies8 (Portugal), encore en lice
  29: AlvaroRG11 (Espagne), encore en lice
  30: Ange 1331 (France), encore en lice
  31: AnibalXV (Espagne), encore en lice
  32: AnthoninM [2] (France), encore en lice
  33: Arama3 (France), encore en lice
  34: Arconte_1 (Espagne), encore en lice
  35: Attuirmãd4_pt [2] (Portugal), encore en lice
  36: BAHAM646 [2] (Espagne), encore en lice
  37: BCNPoKR (Espagne), encore en lice
  38: BIGAL7600 (Espagne), encore en lice
  39: Bal5o (France), encore en lice
  40: BaraodaSpwzdina (Brésil), encore en lice
  41: Basque61 (France), encore en lice
  42: Batteman78 [2] (France), encore en lice
  43: Bispo_Pelado (Portugal), encore en lice
  44: BrazaPT03 (Portugal), encore en lice
  45: BridgeNine (France), encore en lice
  46: CDellagustin (Brésil), encore en lice
  47: CHACHEKESI [2] (Espagne), encore en lice
  48: CID7676 (France), encore en lice
  49: Califoc (Espagne), encore en lice
  50: Carla$$190714 [2] (Espagne), encore en lice
  51: Carlitoselrey (Espagne), encore en lice
  52: Cecelzeraa (Brésil), encore en lice
  53: ChalsPoker (Espagne), encore en lice
  54: CharlyCap7 (Espagne), encore en lice
  55: Chinas20 (Portugal), encore en lice
  56: CoelhooPKR (Portugal), encore en lice
  57: Dafolhaseca (Portugal), encore en lice
  58: Dajoool (France), encore en lice
  59: Dama200006 [2] (France), encore en lice
  60: Daniel11so (Espagne), encore en lice
  61: Danster1968 (Portugal), encore en lice
  62: DavGomez (Portugal), encore en lice
  63: Dawk1ns [2] (Bélarus), encore en lice
  64: Didiloscobar (France), encore en lice
  65: DiegoCámara (Espagne), encore en lice
  66: DiogoPoker13 (Portugal), encore en lice
  67: Djfr6 [2] (Portugal), encore en lice
  68: DomSocci 7 (Brésil), encore en lice
  69: Drogaminas997 (Portugal), encore en lice
  70: EVPLUS92 (France), encore en lice
  71: Efrax (Espagne), encore en lice
  72: Ementasb [2] (Portugal), encore en lice
  73: Enthys1712 (France), encore en lice
  74: Exploitfold (Ukraine), encore en lice
  75: FELIX7997 (Espagne), encore en lice
  76: FISHERMAN314101 (France), encore en lice
  77: FJR17 [2] (Espagne), encore en lice
  78: FVbj (France), encore en lice
  79: Favorness (Ukraine), encore en lice
  80: Fidelio7773 [2] (Espagne), encore en lice
  81: FigoFigueiredo (Brésil), encore en lice
  82: First_307 (Espagne), encore en lice
  83: FlopeirOli (Portugal), encore en lice
  84: Fontao1922 (Portugal), encore en lice
  85: Foskyy [2] (Espagne), encore en lice
  86: FrAwtz (Brésil), encore en lice
  87: Francois49400 (France), encore en lice
