PokerStars Tournoi #3848369906, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
75 joueurs
Dotation totale : €67.50 EUR 
Tournoi cible #3848369764 Buy-in : €10.00 EUR
Tournoi commencé 25/01/2025 9:05:00 CET [25/01/2025 3:05:00 ET]

  1: AdRo29 (Espagne), encore en lice
  2: AlexandrLeGrand (France), encore en lice
  3: Alonsoo93 (Espagne), encore en lice
  4: Cl3mus (France), encore en lice
  5: Djjacox (France), encore en lice
  6: Fabherge80 (France), encore en lice
  7: Huacamasi (Espagne), encore en lice
  8: Javi_astur (Espagne), encore en lice
  9: Karapat327 (France), encore en lice
  10: LEGANES666MC (Espagne), encore en lice
  11: LouPatanok (France), encore en lice
  12: M3L0K943 (Espagne), encore en lice
  13: MEdwige (France), encore en lice
  14: Martenegro (Espagne), encore en lice
  15: MaxisZeus (France), encore en lice
  16: MrDolarGabi93 (Espagne), encore en lice
  17: Nawrajan (Espagne), encore en lice
  18: OvLarion (Espagne), encore en lice
  19: Pena_GyP (Espagne), encore en lice
  20: Polita84 (Espagne), encore en lice
  21: REY KUPPER (France), encore en lice
  22: RGARY28 [2] (France), encore en lice
  23: Rayden8888 (Espagne), encore en lice
  24: Rorsqual1 (France), encore en lice
  25: alión (Espagne), encore en lice
  26: andynav (Espagne), encore en lice
  27: camaron1010 (Espagne), encore en lice
  28: chokyfox (France), encore en lice
  29: deuceslosess (Thaïlande), encore en lice
  30: didaca74 (Espagne), encore en lice
  31: dinorimo (France), encore en lice
  32: dolores31220 [2] (Espagne), encore en lice
  33: emiliete77 (Espagne), encore en lice
  34: fabangegreglulu (France), encore en lice
  35: fleki33 (Espagne), encore en lice
  36: focheuse31 (France), encore en lice
  37: ivancc386 [2] (Espagne), encore en lice
  38: jipe008 (France), encore en lice
  39: juanbull1 (Espagne), encore en lice
  40: laurentbrian63 (France), encore en lice
  41: migueli33950 (France), encore en lice
  42: miss_nobody1 (Espagne), encore en lice
  43: parazozo (Espagne), encore en lice
  44: parejitafeliz (Espagne), encore en lice
  45: pelucanete (Espagne), encore en lice
  46: raodao (France), encore en lice
  47: rapha1961 (France), encore en lice
  48: rdlucas613 (Espagne), encore en lice
  49: rexignation (Espagne), encore en lice
  50: sebsimplement (France), encore en lice
  51: sheksek [2] (France), encore en lice
  52: tempos333 (Portugal), encore en lice
  53: veustysisi (France), encore en lice
  54: psychoman59 (France), 
  55: sheksek (France), 
  56: ivancc386 (Espagne), 
  57: Marcel9992 (Espagne), 
  58: allin86rom (Espagne), 
  59: Sofia290396 (Portugal), 
  60: dolores31220 (Espagne), 
  61: SizySta (Espagne), 
  62: veloso453 (Portugal), 
  63: djotony [2] (France), 
  64: moldoas22 (Espagne), 
  65: RGARY28 (France), 
  66: mendorm (Espagne), 
  67: TxemaArias13 (Espagne), 
  68: Nicujack26 (Espagne), 
  69: djotony (France), 
  70: PYKY69 (Espagne), 
  71: storyeller (Espagne), 
  72: C0y0te_27 (France), 
  73: RA STAR90 (Espagne), 
  74: idaroqui (Espagne), 
  75: er_bastian25 (Espagne), 
Vous avez terminé le tournoi (éliminé lors de la main #254542506376).


