PokerStars Tournoi #3515792953, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1024 joueurs
Dotation totale : €5000.00 EUR 
Tournoi commencé 22/12/2022 17:00:00 CET [22/12/2022 11:00:00 ET]

  1: # BRUX010 # (Brésil), encore en lice
  2: (981) [2] (Espagne), encore en lice
  3: )I(ekan1985 (Bélarus), encore en lice
  4: -j-jeRemy578 (France), encore en lice
  5: 03Arce (Brésil), encore en lice
  6: 1$11DUR [2] (Espagne), encore en lice
  7: 10redingtontomy (Espagne), encore en lice
  8: 11ooduplica (Argentine), encore en lice
  9: 13CRBF (Brésil), encore en lice
  10: 27nerub (Portugal), encore en lice
  11: 2eLixo (Brésil), encore en lice
  12: 3.1415926540 (Espagne), encore en lice
  13: 33zazikool33 (France), encore en lice
  14: 8goodboy (Espagne), encore en lice
  15: 8luffMoiPas (France), encore en lice
  16: @zagor@za (Espagne), encore en lice
  17: AAK44KAA (Espagne), encore en lice
  18: ACAPULCO7 [2] (Espagne), encore en lice
  19: AFPortela (Brésil), encore en lice
  20: ALEXmvpALEX (Lituanie), encore en lice
  21: ALGARVE21 (Portugal), encore en lice
  22: ASER20 [2] (Espagne), encore en lice
  23: AeOUI [2] (France), encore en lice
  24: AgentD77 (France), encore en lice
  25: AlexBlack1kk (Ukraine), encore en lice
  26: AllezORvoir (France), encore en lice
  27: AllinKAmA (France), encore en lice
  28: AmineKBS (France), encore en lice
  29: AnderMuchES (Brésil), encore en lice
  30: Andrik esp (Espagne), encore en lice
  31: Anthonylagoni (France), encore en lice
  32: Arnoos777 (France), encore en lice
  33: Asphyxie69 [2] (France), encore en lice
  34: Audryck2011 [2] (France), encore en lice
  35: BN2410 [2] (France), encore en lice
  36: Balontras (Portugal), encore en lice
  37: Barth157 (Brésil), encore en lice
  38: Bat1969 [2] (Espagne), encore en lice
  39: Bens DTC [2] (France), encore en lice
  40: Betechauve (France), encore en lice
  41: Binyolum (Espagne), encore en lice
  42: Bispo_Pelado (Portugal), encore en lice
  43: Biziouzou (France), encore en lice
  44: Boff1975 (Portugal), encore en lice
  45: Brok3nHeart (Lituanie), encore en lice
  46: BugsyJN1969 [2] (Portugal), encore en lice
  47: CAL1DOS0 (Espagne), encore en lice
