PokerStars Tournoi #3534877148, No Limit Hold'em
Buy-in : €0.90/€0.10 EUR
832 joueurs
Dotation totale : €748.80 EUR 
Tournoi commencé 25/01/2023 15:45:00 CET [25/01/2023 9:45:00 ET]

  1: $$$Xtremeño [2] (Espagne), encore en lice
  2: *ERUMOR [2] (Espagne), encore en lice
  3: 007jmgg (Espagne), encore en lice
  4: 12an123 (Portugal), encore en lice
  5: 1Frankk [2] (Espagne), encore en lice
  6: 66RERE (France), encore en lice
  7: 69bolacha69 [2] (Portugal), encore en lice
  8: A12@A22@ (France), encore en lice
  9: AKet4JJ (France), encore en lice
  10: ALEXmvpALEX [2] (Lituanie), encore en lice
  11: APC4 (Portugal), encore en lice
  12: ARINETETA (Espagne), encore en lice
  13: AdifferentAge (Brésil), encore en lice
  14: AdriaI9 [2] (Espagne), encore en lice
  15: Alentejanostb [2] (Portugal), encore en lice
  16: Allynho113 (Brésil), encore en lice
  17: ArAgOnEs_KO (Espagne), encore en lice
  18: BDinis16 (Portugal), encore en lice
  19: BURNE34 (France), encore en lice
  20: Bayek33 (France), encore en lice
  21: Bech55 (France), encore en lice
  22: Benitokmela7 (Espagne), encore en lice
  23: Bens DTC [2] (France), encore en lice
  24: BigzCrow (France), encore en lice
  25: Bros-AMBROS (Espagne), encore en lice
  26: BrunoRussoPT (Portugal), encore en lice
  27: CARL-LSD (Portugal), encore en lice
  28: COCO JAVI (Espagne), encore en lice
  29: CaptainSushi77 (France), encore en lice
  30: Carfav [2] (France), encore en lice
  31: Carlos 7777 (Espagne), encore en lice
  32: CeloGOD (Portugal), encore en lice
  33: Chouchoux-54 (France), encore en lice
  34: Comemylamb (France), encore en lice
  35: Cunhz (Portugal), encore en lice
  36: DOPAF (France), encore en lice
  37: DU4ARTE (Portugal), encore en lice
  38: DamaOcho (Espagne), encore en lice
  39: Darkvador566 [2] (France), encore en lice
  40: DennRaff (France), encore en lice
  41: Detarro (Espagne), encore en lice
  42: DiegoLima85es (Brésil), encore en lice
  43: Dontetha (Espagne), encore en lice
  44: Dário 91 (Portugal), encore en lice
  45: Ejekutorx69 (Espagne), encore en lice
  46: Elerson10_Es (Brésil), encore en lice
  47: FMR2019 (France), encore en lice
  48: FREN4DEATH (France), encore en lice
  49: Fanchouf [2] (France), encore en lice
  50: Fls71 (France), encore en lice
  51: Funators (Espagne), encore en lice
  52: GGLICCHEF (France), encore en lice
  53: GUYOMTELL [2] (France), encore en lice
  54: Gabrielsax7 (Portugal), encore en lice
  55: Gobernadora1 [2] (Espagne), encore en lice
  56: HUB7009 (France), encore en lice
  57: HondaSConcerto (Portugal), encore en lice
  58: HugoRocha33 (Portugal), encore en lice
  59: Invicto1893 (Portugal), encore en lice
  60: Irazoki29 [2] (Espagne), encore en lice
  61: Irina2050 (Espagne), encore en lice
  62: Ironpat77600 [2] (France), encore en lice
  63: JJJ Furtado (Portugal), encore en lice
  64: JMCCV59 (Portugal), encore en lice
  65: JM_IVANHOE (France), encore en lice
  66: JOSINALLIN (Espagne), encore en lice
  67: JacintoMedeiros (Portugal), encore en lice
  68: Jack O'Hamiz (France), encore en lice
  69: Jerr7773 (France), encore en lice
  70: Jhomeyni [2] (Espagne), encore en lice
  71: JoMart6 (Portugal), encore en lice
  72: Jroza89 (Brésil), encore en lice
  73: JuliZaragoza (Espagne), encore en lice
  74: K3caloR (Espagne), encore en lice
  75: K4K1 (Espagne), encore en lice
  76: K8PUCINE (France), encore en lice
  77: KARLOS44230 (France), encore en lice
  78: KORAK03 (France), encore en lice
  79: Kalash2009 (Portugal), encore en lice
  80: Kazar421 (France), encore en lice
  81: Kelbete (France), encore en lice
  82: Kr@sse82 (France), encore en lice
  83: L'irishdud78 (France), encore en lice
  84: L.A64 [2] (France), encore en lice
  85: LACOTAN (Espagne), encore en lice
  86: LaSquille (France), encore en lice
  87: LrunrunM (Portugal), encore en lice
  88: M.alonso23 (Espagne), encore en lice
  89: MDLRJJ (Portugal), encore en lice
  90: Madmaxdelaba (France), encore en lice
  91: Magnus600 (Ukraine), encore en lice
  92: MaismoitoutleS (France), encore en lice
  93: Majocaj (France), encore en lice
  94: Manuel 131813 (Portugal), encore en lice
  95: Mariasportod [2] (Espagne), encore en lice
  96: Marinho50 [2] (Portugal), encore en lice
  97: MaxScicica (Portugal), encore en lice
  98: Maxncy54 (France), encore en lice
  99: Melopensare (Espagne), encore en lice
  100: MerinoJr7 (Espagne), encore en lice
  101: MikeFactor (Portugal), encore en lice
  102: Miniyon (Espagne), encore en lice
  103: Mistamnesia (France), encore en lice
  104: Moneymake577 (France), encore en lice
  105: Mononoke1999 (France), encore en lice
  106: Morari660 [2] (France), encore en lice
  107: Morgan06500 (France), encore en lice
  108: Morphee01170 (France), encore en lice
  109: Mouss7004 (France), encore en lice
  110: MykRost =) (Espagne), encore en lice
  111: Naiamar (Espagne), encore en lice
  112: Naitchimarii (Portugal), encore en lice
  113: NavGante444 (France), encore en lice
  114: NoPassNo (France), encore en lice
  115: PER1C0 (Espagne), encore en lice
  116: POTYTOP (France), encore en lice
  117: PRETENDE (Espagne), encore en lice
  118: Paco 66300 (France), encore en lice
  119: PaquidermeMS (Portugal), encore en lice
  120: Paroro (Espagne), encore en lice
  121: PavoN_PT (Portugal), encore en lice
