PokerStars Tournoi #3515792804, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1263 joueurs
Dotation totale : €5683.50 EUR 
Tournoi commencé 19/12/2022 17:00:00 CET [19/12/2022 11:00:00 ET]

  1: 03Arce (Brésil), encore en lice
  2: 1$11DUR (Espagne), encore en lice
  3: 10090610 [2] (France), encore en lice
  4: 101314 (Espagne), encore en lice
  5: 10redingtontomy [2] (Espagne), encore en lice
  6: 1Spe6men (France), encore en lice
  7: 1danielg [2] (Portugal), encore en lice
  8: 1punchgat (Espagne), encore en lice
  9: 27nerub (Portugal), encore en lice
  10: 29nico298 [2] (France), encore en lice
  11: 401Richi [2] (Espagne), encore en lice
  12: 54777Coshida (France), encore en lice
  13: 63Ernesto63 [2] (Espagne), encore en lice
  14: 666raul666 (Portugal), encore en lice
  15: 67skat (France), encore en lice
  16: A.Mirassol [2] (Portugal), encore en lice
  17: AAGBXKKDD (Espagne), encore en lice
  18: AAchavflow (Brésil), encore en lice
  19: AAlvaro.nats (Espagne), encore en lice
  20: ACAPULCO7 [2] (Espagne), encore en lice
  21: AFPLS [2] (Espagne), encore en lice
  22: AFPortela (Brésil), encore en lice
  23: AGYeste [2] (Espagne), encore en lice
  24: AKIMOURA30 (France), encore en lice
  25: ALIBAVE (Espagne), encore en lice
  26: AN1964gambler (Portugal), encore en lice
  27: AbrahamPerales (Espagne), encore en lice
  28: Achille848 (France), encore en lice
  29: Akaneton [2] (Portugal), encore en lice
  30: AlanKuley (France), encore en lice
  31: Alaternus (France), encore en lice
  32: Alegilma [2] (Espagne), encore en lice
  33: Alejandro13840 [2] (Espagne), encore en lice
  34: AlexDuarte15 (Portugal), encore en lice
  35: Alkin_Fold (Brésil), encore en lice
  36: Allen.PK (Portugal), encore en lice
  37: AllezORvoir (France), encore en lice
  38: Almoque91 (Espagne), encore en lice
  39: AloAloe11 (Bélarus), encore en lice
  40: AlonPokfull (Espagne), encore en lice
  41: Andrea19972016 [2] (Portugal), encore en lice
  42: Anjoel_2 (Portugal), encore en lice
  43: Anne Haunime (France), encore en lice
  44: AnthoninM (France), encore en lice
  45: Arnedo13 (Espagne), encore en lice
  46: AttentionDevant [2] (France), encore en lice
  47: Avila212 (Espagne), encore en lice
  48: AwiitaninioO (Espagne), encore en lice
  49: BARJAVEL75 (France), encore en lice
  50: BIGBUDHAZE (France), encore en lice
  51: Barth157 (Brésil), encore en lice
  52: BenG16 (France), encore en lice
  53: Bickool28 (France), encore en lice
  54: Borjandiari (Espagne), encore en lice
  55: BountynaFaso (France), encore en lice
  56: BridgeNine (France), encore en lice
  57: BugsyJN1969 [2] (Portugal), encore en lice
  58: CABNu (Portugal), encore en lice
  59: CAL1DOS0 (Espagne), encore en lice
  60: CALS3B (France), encore en lice
  61: CHAUNE666 (France), encore en lice
  62: Caiman DLGR (Espagne), encore en lice
  63: Captain49130 (France), encore en lice
  64: CaraRude [2] (Portugal), encore en lice
  65: Change Gryphon (Brésil), encore en lice
  66: Cheky_xsam [2] (Espagne), encore en lice
  67: ChildofPkrPT (Portugal), encore en lice
  68: Chinas20 (Portugal), encore en lice
  69: CocoSwim18 (France), encore en lice
  70: Coin97 (Espagne), encore en lice
  71: CorinthianistA (Brésil), encore en lice
  72: Cris X22 (Portugal), encore en lice
  73: Cristina8600 [2] (Espagne), encore en lice
  74: Cristopher91 [2] (Espagne), encore en lice
  75: Cunhz (Portugal), encore en lice
  76: D@nilou (France), encore en lice
  77: DANyDAN1209 (France), encore en lice
  78: DLILO (France), encore en lice
  79: DONKYPOK (France), encore en lice
  80: DaisyStick (Portugal), encore en lice
  81: Dajoool (France), encore en lice
  82: Danielzorb (Portugal), encore en lice
  83: DannySmile2.0 (Bélarus), encore en lice
  84: Danster1968 (Portugal), encore en lice
  85: Dariozpescador (Espagne), encore en lice
  86: DarkSiders007 (Ukraine), encore en lice
  87: DavGomez [2] (Portugal), encore en lice
  88: Dawk1ns (Bélarus), encore en lice
  89: Deepyos [2] (Portugal), encore en lice
  90: DelCarmo10 (Portugal), encore en lice
  91: Delprofi10 (Espagne), encore en lice
  92: Desola220 (Espagne), encore en lice
  93: Dieguinho239 (Espagne), encore en lice
  94: Donkefeller (Espagne), encore en lice
  95: Dopple192837 (Brésil), encore en lice
  96: Doutorsp70 [2] (Portugal), encore en lice
  97: Dreas178 (Kazakhstan), encore en lice
  98: Duofy (Espagne), encore en lice
  99: Duque_copas (Portugal), encore en lice
  100: Dynastie6635 (France), encore en lice
  101: E122L (Portugal), encore en lice
  102: ETBIMBOUM83 [2] (France), encore en lice
  103: Efrax (Espagne), encore en lice
  104: El Charandel (Espagne), encore en lice
  105: El-69Diabolo (France), encore en lice
  106: El_AnGeL_28 (Espagne), encore en lice
  107: El_cardiaK [2] (France), encore en lice
  108: Ementasb (Portugal), encore en lice
  109: EnTheL64 [2] (France), encore en lice
  110: Enigmaty [2] (Espagne), encore en lice
  111: Eosforo (Espagne), encore en lice
  112: FADISA (Espagne), encore en lice
  113: FCPORTO86 (Portugal), encore en lice
  114: FRANK2244 (Espagne), encore en lice
  115: Fabiomoraes7 (Brésil), encore en lice
  116: Fariolito (France), encore en lice
  117: Favorness (Ukraine), encore en lice
  118: FigoFigueiredo (Brésil), encore en lice
  119: Fkea69 (France), encore en lice
  120: FloLBD9 [2] (France), encore en lice
  121: FlopeirOli (Portugal), encore en lice
  122: Fontao1922 (Portugal), encore en lice
  123: Frugi26 (France), encore en lice
  124: FunkyJam93 [2] (Portugal), encore en lice
  125: GTOpticoin (France), encore en lice
  126: GUYOMTELL (France), encore en lice
  127: Gatuso4488 (Espagne), encore en lice
  128: GerMaDoub6 (France), encore en lice
  129: GerVill3 (Espagne), encore en lice
  130: GoldenAsJr (France), encore en lice
  131: GorkaBebop [2] (Espagne), encore en lice
  132: Guadiana615 (Espagne), encore en lice
  133: Guipey [2] (France), encore en lice
  134: H2K Perna (Espagne), encore en lice
  135: Hanouka23b (France), encore en lice
  136: HarleyQueen8135 (France), encore en lice
  137: Harry8S (Portugal), encore en lice
  138: Hastroy (Bélarus), encore en lice
  139: HernryMa2 (Espagne), encore en lice
  140: Hiboux-chouette [2] (France), encore en lice
  141: HisokaQQ (Brésil), encore en lice
  142: Hégésippe [2] (France), encore en lice
  143: IPASOUAM (Espagne), encore en lice
  144: IZIAIZIA (France), encore en lice
  145: Iagola89 [2] (Espagne), encore en lice
  146: Ibiza furius (Espagne), encore en lice
  147: IceCoolGF (Ukraine), encore en lice
  148: Impureheart [2] (Espagne), encore en lice
  149: IneedMassagi1 (Brésil), encore en lice
  150: Ivanov814 (Espagne), encore en lice
  151: IveyZaur [2] (Portugal), encore en lice
  152: JAcKAD!T (France), encore en lice
  153: JOSINALLIN [2] (Espagne), encore en lice
  154: Jack O'Hamiz (France), encore en lice
  155: JackAllin1010 (France), encore en lice
  156: Jafar05100 (France), encore en lice
  157: Jagf0010 [2] (Espagne), encore en lice
  158: Jaimestm99 (Espagne), encore en lice
  159: Jeylon [2] (Espagne), encore en lice
  160: JipsyBaron (Ukraine), encore en lice
  161: Jogador217 (Brésil), encore en lice
  162: Jokz C (Portugal), encore en lice
  163: JonnhyBet^^ [2] (Portugal), encore en lice
  164: JosePaia (Portugal), encore en lice
  165: JppOliveira (Portugal), encore en lice
  166: Juanrodricar21 [2] (Espagne), encore en lice
  167: Junior14600 (France), encore en lice
  168: JyGWayne (France), encore en lice
  169: KKSebas27 (Argentine), encore en lice
  170: KKanaillou85 (France), encore en lice
  171: KRUSH<3 (Ukraine), encore en lice
  172: KaspaBR (Brésil), encore en lice
  173: Katsuy0 (Portugal), encore en lice
  174: Koalarito (Portugal), encore en lice
  175: Kuerobaí (Espagne), encore en lice
  176: LMRPokerstar (Portugal), encore en lice
  177: LSR.490 (Portugal), encore en lice
