PokerStars Tournoi #3619918901, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
972 joueurs
Dotation totale : €5000.00 EUR 
Tournoi commencé 28/07/2023 17:00:00 CET [28/07/2023 11:00:00 ET]

  1: # BRUX010 # (Brésil), encore en lice
  2: 14Sumday^^ (Portugal), encore en lice
  3: 19chelentano80 (Ukraine), encore en lice
  4: 1CAND100 [2] (France), encore en lice
  5: 1dr0m3l (France), encore en lice
  6: 1effexor0 (Portugal), encore en lice
  7: 666_losada (Espagne), encore en lice
  8: 66RERE (France), encore en lice
  9: 72zzzzz (Portugal), encore en lice
  10: 77angevert77 (France), encore en lice
  11: 8!Scual!8 (Bélarus), encore en lice
  12: 8luffMoiPas [2] (France), encore en lice
  13: A.Mirassol (Portugal), encore en lice
  14: AAAA1980 SAHBI (France), encore en lice
  15: ABKSeveer (Ukraine), encore en lice
  16: ALEXmvpALEX [2] (Lituanie), encore en lice
  17: ALLvitiIN (Espagne), encore en lice
  18: AM.Santo11 [2] (Portugal), encore en lice
  19: A_KADOKKKK (France), encore en lice
  20: Aandrre1 [2] (Portugal), encore en lice
  21: Aartiom2805 (Moldavie), encore en lice
  22: AceGraal (Portugal), encore en lice
  23: AdrianSuarez79 (Espagne), encore en lice
  24: Adrianmorales99 (Espagne), encore en lice
  25: Adrigallina (Espagne), encore en lice
  26: Albyou (Espagne), encore en lice
  27: AldaSilva65 (Portugal), encore en lice
  28: AldoMoro588 (France), encore en lice
  29: AlexDuarte15 (Portugal), encore en lice
  30: Alexis222298 [2] (France), encore en lice
  31: Allen.PK (Portugal), encore en lice
  32: AlonPokfull (Espagne), encore en lice
  33: Alson444 (Espagne), encore en lice
  34: Ambo Rough [2] (France), encore en lice
  35: AniimaXI (France), encore en lice
  36: Antoinega82 [2] (France), encore en lice
  37: AnyKat27 (Espagne), encore en lice
  38: Apasqualotto (Brésil), encore en lice
  39: Arnoos777 [2] (France), encore en lice
  40: AspirateurDyson (France), encore en lice
  41: Atomicpsi (Portugal), encore en lice
  42: Attuirmãd4_pt [2] (Portugal), encore en lice
  43: BERTHON A (France), encore en lice
  44: BOTE82 (Espagne), encore en lice
  45: BWhaleroos (Finlande), encore en lice
  46: Badawoopwoop (France), encore en lice
  47: BaraodaSpwzdina (Brésil), encore en lice
  48: Barth157 (Brésil), encore en lice
  49: Beliscation (Brésil), encore en lice
  50: BenRuu10 (Espagne), encore en lice
  51: Bl4ckC4T IIX (Portugal), encore en lice
  52: Byalvaritox [2] (Espagne), encore en lice
  53: CMBCosta [2] (Portugal), encore en lice
  54: CRISFLO900 (Espagne), encore en lice
  55: Caiman DLGR (Espagne), encore en lice
  56: CaptKonstadt (France), encore en lice
  57: Carecrimen96 (Espagne), encore en lice
  58: Carla$$190714 (Espagne), encore en lice
  59: Caskers (Espagne), encore en lice
  60: Chumates (Espagne), encore en lice
  61: Clykov9240 (France), encore en lice
  62: ColdOneUA (Pologne), encore en lice
  63: Cr4zyCl4y (Brésil), encore en lice
  64: Danster1968 (Portugal), encore en lice
  65: DelaRoumba [2] (France), encore en lice
  66: Detente1992 [2] (France), encore en lice
  67: Did973387 (France), encore en lice
  68: Didzthedude (Portugal), encore en lice
  69: DinisRodr. (Portugal), encore en lice
  70: Dodo357357 [2] (France), encore en lice
  71: DonQui12 (France), encore en lice
  72: Douter442 (France), encore en lice
  73: Dr.layor (France), encore en lice
  74: DukS4 [2] (Portugal), encore en lice
  75: EKINOX1967 [2] (Espagne), encore en lice
  76: EVshka (Kazakhstan), encore en lice
  77: EbolaMyLove [2] (Moldavie), encore en lice
  78: EleMec (Espagne), encore en lice
  79: Ellaa666 (Portugal), encore en lice
  80: EnzoZf (Espagne), encore en lice
  81: Esquiva1016 (Espagne), encore en lice
  82: Etel414 (Portugal), encore en lice
  83: FEChampion (Espagne), encore en lice
  84: Fanchouf [2] (France), encore en lice
  85: FeeClochete26 (France), encore en lice
  86: FigoFigueiredo (Brésil), encore en lice
  87: FinderPT345 (Portugal), encore en lice
  88: FireBrain85 [2] (Espagne), encore en lice
  89: Flocanette29 (France), encore en lice
  90: Focus_wow44 [2] (Ukraine), encore en lice
  91: ForzaCatalina (Pérou), encore en lice
  92: Franchisko99 (Espagne), encore en lice
  93: Fraram (Portugal), encore en lice
  94: Frrssgg (France), encore en lice
  95: FunkyJam93 (Portugal), encore en lice
  96: FuuuuRRy (France), encore en lice
  97: GABRYe1M. [2] (Portugal), encore en lice
  98: GENIE5555 [2] (France), encore en lice
  99: GMKaiser73 (Brésil), encore en lice
  100: GUILHERMEMAYY (Brésil), encore en lice
  101: GabyA2345 [2] (France), encore en lice
  102: Gagarunadora [2] (Brésil), encore en lice
  103: Ghost_tiagoo (Portugal), encore en lice
  104: GigaChad90 (Portugal), encore en lice
  105: GkVss (Brésil), encore en lice
  106: GolfoR32 (Espagne), encore en lice
  107: GorkaBebop (Espagne), encore en lice
  108: Guantanam198 (Espagne), encore en lice
  109: HH23121997 [2] (France), encore en lice
  110: Hakim63800 (France), encore en lice
  111: Harry-Kilmer [2] (Espagne), encore en lice
  112: HavryluKK (Espagne), encore en lice
  113: HoyerAx (Brésil), encore en lice
  114: ImSelect88 (Espagne), encore en lice
  115: Insu-eshock [2] (France), encore en lice
  116: Isturbÿs [2] (France), encore en lice
  117: IvanAgui1047 (Espagne), encore en lice
  118: IvyBorja (Espagne), encore en lice
  119: J.Platosha (Ukraine), encore en lice
  120: JOEL4X4 (Espagne), encore en lice
  121: JacoVanDormael [2] (Pérou), encore en lice
  122: Jimlimlim (Portugal), encore en lice
  123: Jmaclane330284 [2] (France), encore en lice
  124: JoNkY-99 [2] (Espagne), encore en lice
  125: Josebadelath12 (Espagne), encore en lice
  126: JuJu45200 (France), encore en lice
  127: JulaBeats (Portugal), encore en lice
  128: KENAF555 [2] (Espagne), encore en lice
  129: KKill-ur-nuTTs [2] (Espagne), encore en lice
  130: KRUSH<3 (Ukraine), encore en lice
  131: Kalash2009 (Portugal), encore en lice
  132: Kenuc19 [2] (Portugal), encore en lice
  133: Korver K [2] (Espagne), encore en lice
  134: Krapis37 (Espagne), encore en lice
  135: Krukent (Kazakhstan), encore en lice
  136: KwaanKor (France), encore en lice
  137: LOUBABALKAN [2] (France), encore en lice
  138: LUCHO13832 [2] (France), encore en lice
