PokerStars Tournoi #3849472385, No Limit Hold'em
Buy-in : €0.22/€0.03 EUR
102 joueurs
Dotation totale : €5.10 EUR 
Tournoi commencé 20/01/2025 10:35:21 CET [20/01/2025 4:35:21 ET]

  1: Alvaruas78 (Espagne), encore en lice
  2: BBubuUu (Espagne), encore en lice
  3: Camarlengo70 (Espagne), encore en lice
  4: Darkvadom (France), encore en lice
  5: Drede74 (Portugal), encore en lice
  6: Dunke7 [3] (Espagne), encore en lice
  7: ElMatadorVDG (Espagne), encore en lice
  8: HippoMad (Espagne), encore en lice
  9: LaMomolle (France), encore en lice
  10: LxckxStrxkx (France), encore en lice
  11: Migu3lC0uto [2] (Portugal), encore en lice
  12: MisterVDC [2] (Espagne), encore en lice
  13: Moneymake577 [2] (France), encore en lice
  14: NeoAtlante (Espagne), encore en lice
  15: PolicarpaVAG (Espagne), encore en lice
  16: RadisNoirs61 (France), encore en lice
  17: SWEET DEATH7 (Espagne), encore en lice
  18: Sopirlon (Espagne), encore en lice
  19: Steeve76r (France), encore en lice
  20: Umbeuh275 [2] (France), encore en lice
  21: VanDerLop (Espagne), encore en lice
  22: Watherboy [2] (Espagne), encore en lice
  23: Zucco8 (France), encore en lice
  24: bjarabo14 [2] (Espagne), encore en lice
  25: blito_blanco [2] (Espagne), encore en lice
  26: carmen_0o (Espagne), encore en lice
  27: cavok1567 (France), encore en lice
  28: cucuyo369 (Espagne), encore en lice
  29: dguerre (France), encore en lice
  30: ederrrgi [2] (Espagne), encore en lice
  31: educhakal9x (Espagne), encore en lice
  32: gagne33 (France), encore en lice
  33: ivor31 [3] (Espagne), encore en lice
  34: jose_graça [2] (Portugal), encore en lice
  35: kelch60 [2] (France), encore en lice
  36: korigan15 [4] (France), encore en lice
  37: la2ssdesass [2] (France), encore en lice
  38: lobo1401 [2] (Espagne), encore en lice
  39: migueroo (Espagne), encore en lice
  40: norah1961 (Uruguay), encore en lice
  41: pacheco764 (Portugal), encore en lice
  42: papiloudu76 (France), encore en lice
  43: raymankil (Espagne), encore en lice
  44: rulapumuky (Espagne), encore en lice
  45: smdlm (Portugal), encore en lice
  46: theklenxas (Espagne), encore en lice
  47: victor33388 [3] (Espagne), encore en lice
  48: psychoman59 (France), 
  49: charles87350 (France), 
  50: 5432638 (Espagne), 
  51: palomoperez (Espagne), 
  52: andygman1 (Espagne), 
  53: maruxa23 (Espagne), 
  54: rekopik (France), 
  55: R@V€N 23 (Espagne), 
  56: victor33388 [2] (Espagne), 
  57: bjarabo14 (Espagne), 
  58: turiorito [4] (France), 
  59: ederrrgi (Espagne), 
  60: ivor31 [2] (Espagne), 
  61: matag6384 (France), 
  62: nad12672 (France), 
  63: kelch60 (France), 
  64: la2ssdesass (France), 
  65: Rugii16 (Espagne), 
  66: yatrix004 (France), 
  67: RekJoVIII (France), 
  68: Watherboy (Espagne), 
  69: Moneymake577 (France), 
  70: Dunke7 [2] (Espagne), 
  71: turiorito [3] (France), 
  72: curvo50 (France), 
  73: lobo1401 (Espagne), 
  74: HSK156 (Espagne), 
  75: Migu3lC0uto (Portugal), 
  76: Umbeuh275 (France), 
  77: Petdecul (Espagne), 
  78: chicodeslandes (France), 
  79: Valarmushu (Espagne), 
  80: jose_graça (Portugal), 
  81: pinoxhoman (Espagne), 
  82: podogan5 (France), 
  83: DaekLight (France), 
  84: ivor31 (Espagne), 
  85: victor33388 (Espagne), 
  86: alminiator (Espagne), 
  87: korigan15 [3] (France), 
  88: turiorito [2] (France), 
  89: korigan15 [2] (France), 
  90: kuko022 (Espagne), 
  91: korigan15 (France), 
  92: Dunke7 (Espagne), 
  93: turiorito (France), 
  94: mariostar119 (Espagne), 
  95: MisterVDC (Espagne), 
  96: moranguinho75 (Portugal), 
  97: mchess9 (Espagne), 
  98: jakeline666 (France), 
  99: 24sans87 (Espagne), 
  100: alextulp (Espagne), 
  101: blito_blanco (Espagne), 
  102: bibou13300 (France), 
Vous avez terminé le tournoi (éliminé lors de la main #254465963199).


