PokerStars Tournoi #3837860068, No Limit Hold'em
Buy-in : €0.22/€0.03 EUR
82 joueurs
Dotation totale : €4.10 EUR 
Tournoi commencé 25/12/2024 9:56:04 CET [25/12/2024 3:56:04 ET]

  1: 13YANIS13 (France), encore en lice
  2: Aurel24750 (France), encore en lice
  3: BOBBIOU [2] (France), encore en lice
  4: BRAYGIL (Portugal), encore en lice
  5: Bbruno1962 (France), encore en lice
  6: EL COLBIS (Espagne), encore en lice
  7: GuEsSwHaT211 [5] (France), encore en lice
  8: IVHermeticum_Au [2] (Portugal), encore en lice
  9: JaviPN1972 (Espagne), encore en lice
  10: NeoAtlante (Espagne), encore en lice
  11: Nicocad1977 [2] (France), encore en lice
  12: Pedrito13 (Espagne), encore en lice
  13: Stefi1615 (Espagne), encore en lice
  14: Tobifiler (Portugal), encore en lice
  15: YchillaZz (France), encore en lice
  16: angelminea [2] (France), encore en lice
  17: brochamanolo (Espagne), encore en lice
  18: calvoloco60 [5] (Espagne), encore en lice
  19: caran solo (Espagne), encore en lice
  20: ivor31 (Espagne), encore en lice
  21: josephine672 (France), encore en lice
  22: letunisien81 [2] (France), encore en lice
  23: mani550 (Espagne), encore en lice
  24: melenas60 [2] (Espagne), encore en lice
  25: misoyo (Espagne), encore en lice
  26: mmiras (Espagne), encore en lice
  27: nfmiro (Portugal), encore en lice
  28: numero27m4 (Espagne), encore en lice
  29: queen9queen (Espagne), encore en lice
  30: rekopik (France), encore en lice
  31: simoner115 (Portugal), encore en lice
  32: slbenfica55 (Portugal), encore en lice
  33: tjochep [2] (Espagne), encore en lice
  34: yzea30560 (France), encore en lice
  35: psychoman59 (France), 
  36: enegoka (Espagne), 
  37: tapingan (Espagne), 
  38: titilo08 [2] (France), 
  39: calvoloco60 [4] (Espagne), 
  40: cris812543 (Portugal), 
  41: kopinho49 [2] (Portugal), 
  42: calvoloco60 [3] (Espagne), 
  43: reporttrek (France), 
  44: angelminea (France), 
  45: Nicocad1977 (France), 
  46: luckyluke660 (France), 
  47: sautrelle67 (France), 
  48: titilo08 (France), 
  49: GuEsSwHaT211 [4] (France), 
  50: calvoloco60 [2] (Espagne), 
  51: R@V€N 23 [2] (Espagne), 
  52: kopinho49 (Portugal), 
  53: olivier-6238 [2] (France), 
  54: Artheogus (France), 
  55: DeNeverHood (France), 
  56: BOBBIOU (France), 
  57: jeanminolan (France), 
  58: GuEsSwHaT211 [3] (France), 
  59: calvoloco60 (Espagne), 
  60: montse023 (Espagne), 
  61: colilloski (Espagne), 
  62: adrianatx (Portugal), 
  63: cucuyo369 (Espagne), 
  64: MateZurdo30 (Espagne), 
  65: GuEsSwHaT211 [2] (France), 
  66: IVHermeticum_Au (Portugal), 
  67: letunisien81 (France), 
  68: jhonvan977 (Espagne), 
  69: louyCiffer (France), 
  70: R@V€N 23 (Espagne), 
  71: BrunZoB (France), 
  72: matag6384 (France), 
  73: melenas60 (Espagne), 
  74: GuEsSwHaT211 (France), 
  75: Coolbteiz (France), 
  76: olivier-6238 (France), 
  77: Tayeb_paris (France), 
  78: JuanDíego [2] (Espagne), 
  79: Germano1904 [2] (Portugal), 
  80: miguelman1 (Espagne), 
  81: JuanDíego (Espagne), 
  82: tjochep (Espagne), 
  83: Germano1904 (Portugal), 
Vous avez terminé le tournoi (éliminé lors de la main #254015690208).


