PokerStars Tournoi #3766636192, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
161 joueurs
Dotation totale : €144.90 EUR 
Tournoi cible #3766635862 Buy-in : €10.00 EUR
Tournoi commencé 17/06/2024 10:05:00 CET [17/06/2024 4:05:00 ET]

  1: 0pokemaster0 (Portugal), encore en lice
  2: 20BV20 [2] (Portugal), encore en lice
  3: Bernito77 (Espagne), encore en lice
  4: Charlottine21 (France), encore en lice
  5: DIMITRIK78045 (France), encore en lice
  6: DaniPoker72 (Espagne), encore en lice
  7: Dariman3000 (Espagne), encore en lice
  8: DiosLoki19 (Espagne), encore en lice
  9: Fompro (Espagne), encore en lice
  10: Hasardprogramme (France), encore en lice
  11: Janor36 (Espagne), encore en lice
  12: Jimidix63 (France), encore en lice
  13: Kanidja1107 (Portugal), encore en lice
  14: LaMomolle (France), encore en lice
  15: Lara8825 (Portugal), encore en lice
  16: Loudaw (France), encore en lice
  17: Malherbe31 (France), encore en lice
  18: Notrustingod (France), encore en lice
  19: Pauleta_Monte (Portugal), encore en lice
  20: QQMinako (France), encore en lice
  21: Simbalar (Espagne), encore en lice
  22: Sp3w4Value (France), encore en lice
  23: T1OM [2] (France), encore en lice
  24: XXXIsolator (Espagne), encore en lice
  25: adrieljefe26 (Espagne), encore en lice
  26: albertomp1 [2] (Espagne), encore en lice
  27: allin5719000 (France), encore en lice
  28: braquo200 (France), encore en lice
  29: capua_1 (Espagne), encore en lice
  30: carloslova (Espagne), encore en lice
  31: charlyleon92 (Espagne), encore en lice
  32: cityfunk (France), encore en lice
  33: david coperf (Espagne), encore en lice
  34: edimsvie [2] (France), encore en lice
  35: fisher0606 (France), encore en lice
  36: fredaco88 [2] (Espagne), encore en lice
  37: geoffroy73974 (France), encore en lice
  38: george017 (Espagne), encore en lice
  39: goyolin [2] (France), encore en lice
  40: helmutperchu (France), encore en lice
  41: ifrasan (Espagne), encore en lice
  42: isabruno51 (France), encore en lice
  43: jaumatik [2] (Espagne), encore en lice
  44: jeanstere93 (France), encore en lice
  45: jepvargas (Espagne), encore en lice
  46: jose1661987 (Portugal), encore en lice
  47: josevts55 (Espagne), encore en lice
  48: juanjonie06 (Espagne), encore en lice
  49: kabbale_770 [2] (France), encore en lice
  50: kedies22 (Espagne), encore en lice
  51: landcr73 [2] (Espagne), encore en lice
  52: mclovinBB (France), encore en lice
  53: miguelon1212 (Espagne), encore en lice
  54: miquel1115 (Espagne), encore en lice
  55: papiloudu76 [2] (France), encore en lice
  56: pitiyos639 (Espagne), encore en lice
  57: sabadell-1 (Espagne), encore en lice
  58: saxzee [2] (France), encore en lice
  59: sersalva111 (Espagne), encore en lice
  60: sheepbarberry (France), encore en lice
  61: shomamura (France), encore en lice
  62: siomararey (Espagne), encore en lice
  63: steve6720 (France), encore en lice
  64: sukii20 (Espagne), encore en lice
  65: taldia [2] (Espagne), encore en lice
  66: tyago Ganha (Portugal), encore en lice
  67: waldo1832 (Espagne), encore en lice
  68: wich13880 [2] (France), encore en lice
  69: zacariasfernan (Espagne), encore en lice
  70: zinzin24800 (France), encore en lice
  71: psychoman59 (France), 
  72: Sailorkriss (Espagne), 
  73: quentinbrox (France), 
  74: Ulquiorra42 (France), 
  75: avancons11 (France), 
  76: anoski12 (Espagne), 
  77: Pokito636 (Portugal), 
  78: darc0x (Espagne), 
  79: Play4OnlyFans (France), 
  80: L.H.D.P.88 (Espagne), 
  81: 77samuel33 (Espagne), 
  82: boubi207 (France), 
  83: Yaitsekrut (Portugal), 
  84: M-Mora10 (Portugal), 
  85: Joseph Paris 77 (Espagne), 
  86: poxoloko84 (Espagne), 
  87: Basten1979 (France), 
  88: taldia (Espagne), 
  89: Mouchkibet (France), 
  90: legalian (France), 
  91: CyssouL (France), 
  92: wich13880 (France), 
  93: Rafinhaadk (Espagne), 
  94: kudalias (Espagne), 
  95: Q_u_e_n18 (France), 
  96: topayepeipei [2] (France), 
  97: landcr73 (Espagne), 
  98: Mayritaa (Espagne), 
  99: otot1302 (France), 
  100: Discowfer [2] (Espagne), 
  101: guiguiphone (France), 
  102: pescailla515 [2] (Espagne), 
  103: Shiv@m76 (Portugal), 
  104: elvis1978791 (Espagne), 
  105: saiera1992 (Portugal), 
  106: sony_1_774 (Espagne), 
  107: josacoo2 (Espagne), 
  108: SEB94451 (France), 
  109: 20BV20 (Portugal), 
  110: songoanda25 (Espagne), 
  111: Ingridnoa (Espagne), 
  112: Toti hoya25 (Espagne), 
  113: j.n.g.picado (Portugal), 
  114: fishandships92 (France), 
  115: albertomp1 (Espagne), 
  116: topayepeipei (France), 
  117: saxzee (France), 
  118: junidana (Espagne), 
  119: KJ94972 (France), 
  120: talbex (Espagne), 
  121: fredaco88 (Espagne), 
  122: vmelo29 (Portugal), 
  123: anton67000 (France), 
  124: Xeniaxcelly (France), 
  125: drako5s (Espagne), 
  126: RedPet11 (Portugal), 
  127: 4AVAAAI (Espagne), 
  128: palometo (Espagne), 
  129: qu_yo_he_sio (Espagne), 
  130: chaussette3000 (France), 
  131: kabbale_770 (France), 
  132: Nanobú (Espagne), 
  133: Litroos (Espagne), 
  134: mirejavi5 (France), 
  135: aitorcobhc (Espagne), 
  136: diosuglas (Espagne), 
  137: Parigot9129 (France), 
  138: espiga222 (Portugal), 
  139: Discowfer (Espagne), 
  140: rem14011987 (France), 
  141: susanaalmeida17 (Portugal), 
  142: LibreTerrible (France), 
  143: goyolin (France), 
  144: papiloudu76 (France), 
  145: gpFran_831 (Espagne), 
  146: T1OM (France), 
  147: Antolys27 (France), 
  148: IoniiTurcu (Portugal), 
  149: Quesadix990 (Espagne), 
  150: puce720 (Espagne), 
  151: mylnik008122 (Espagne), 
  152: jaumatik (Espagne), 
  153: pescailla515 (Espagne), 
  154: TheoROU85 (France), 
  155: YerriSauvage (France), 
  156: gruñona84 (Espagne), 
  157: jafoste186 (Portugal), 
  158: joao_12pedro (Portugal), 
  159: edimsvie (France), 
  160: angelowsky87 (Espagne), 
