PokerStars Tournoi #3771856332, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
159 joueurs
Dotation totale : €143.10 EUR 
Tournoi cible #3771856278 Buy-in : €10.00 EUR
Tournoi commencé 01/07/2024 10:05:00 CET [01/07/2024 4:05:00 ET]

  1: -Pty-James- (France), encore en lice
  2: ANNI97438 (Réunion), encore en lice
  3: Artheogus (France), encore en lice
  4: Artocarpus148 (France), encore en lice
  5: BatorGrc (Espagne), encore en lice
  6: Bozo061978 (France), encore en lice
  7: CepaQuerido (Espagne), encore en lice
  8: Deviates (Portugal), encore en lice
  9: Giurgiu_LV (Espagne), encore en lice
  10: Jonny Maly (Portugal), encore en lice
  11: Jorge10sp (Espagne), encore en lice
  12: Jorginhovv (Espagne), encore en lice
  13: Juanma_rt87 [2] (Espagne), encore en lice
  14: Kevinwhite91 (Espagne), encore en lice
  15: LEGANES666MC (Espagne), encore en lice
  16: Langelot [2] (France), encore en lice
  17: MaYa057 (France), encore en lice
  18: Maj3stic15 (France), encore en lice
  19: MÓNEYMAKERS (Espagne), encore en lice
  20: Oxmo 76 (France), encore en lice
  21: PandaGambler31 (France), encore en lice
  22: R do cavaco (Portugal), encore en lice
  23: RiKArdo25200 (France), encore en lice
  24: Rober El Von (Espagne), encore en lice
  25: Ruse75 (Espagne), encore en lice
  26: SEBOSS51 (France), encore en lice
  27: SimplyGimpy (France), encore en lice
  28: Sojasun (France), encore en lice
  29: Torpedomuler (Espagne), encore en lice
  30: Tyna2205 (France), encore en lice
  31: Ww7676 (France), encore en lice
  32: XXghost51XX (France), encore en lice
  33: Yissoyyo (Espagne), encore en lice
  34: antcho49 (France), encore en lice
  35: bretzel91310 (France), encore en lice
  36: christian50240 (France), encore en lice
  37: damcana [2] (France), encore en lice
  38: dggacio (Espagne), encore en lice
  39: dodo2do (France), encore en lice
  40: dukedeferia (Espagne), encore en lice
  41: fomes1980 (Portugal), encore en lice
  42: fourniertom (France), encore en lice
  43: franperez33 (Espagne), encore en lice
  44: jaka2001 (Portugal), encore en lice
  45: james67sang (France), encore en lice
  46: joseluisdrs (Espagne), encore en lice
  47: karlonit (France), encore en lice
  48: kissa342 (Espagne), encore en lice
  49: klopp24 (France), encore en lice
  50: lelouch/eob (France), encore en lice
  51: lokerby52 (France), encore en lice
  52: manoliyo53 (Espagne), encore en lice
  53: mateeo142 (Espagne), encore en lice
  54: nanouche140 (France), encore en lice
  55: onofrindd [2] (Espagne), encore en lice
  56: pepi1995656 (Espagne), encore en lice
  57: piolin21032 (Espagne), encore en lice
  58: rarelassui (France), encore en lice
  59: raul.codina (Espagne), encore en lice
  60: riki188 (Espagne), encore en lice
  61: schiettekatte [2] (France), encore en lice
  62: teahupoo13 [2] (France), encore en lice
  63: toumo10 (France), encore en lice
  64: tsetse1205 (France), encore en lice
  65: zinebgh (Espagne), encore en lice
  66: psychoman59 (France), 
  67: L7ua (Espagne), 
  68: carloslova (Espagne), 
  69: Sang2fois (France), 
  70: NotRodo (Espagne), 
  71: Km500s (Espagne), 
  72: okkss (Espagne), 
  73: carelkiller0435 (Espagne), 
  74: edyech [2] (Espagne), 
  75: AiSeR_48 (Espagne), 
  76: BBBrice (France), 
  77: diogo nunes 015 [2] (Portugal), 
  78: claudque (France), 
  79: Gambitarochil (Espagne), 
  80: soldat976 (France), 
  81: pavojaravia [2] (Espagne), 
  82: estrella641 (France), 
  83: castellar21 (Espagne), 
  84: Jose22mlg (Espagne), 
  85: Mark11185 (France), 
  86: mayzan.oficial [2] (Espagne), 
  87: dejavuxpq (Espagne), 
  88: ruca992 [2] (Portugal), 
  89: salazar23420 (Portugal), 
  90: Juanma_rt87 (Espagne), 
  91: fred6974 (France), 
  92: toni55554 (Espagne), 
  93: nikoelx [2] (Espagne), 
  94: mayzan.oficial (Espagne), 
  95: patoch-A2L [2] (France), 
  96: Benjben226 (France), 
  97: Swann24-07 [2] (France), 
  98: edyech (Espagne), 
  99: damcana (France), 
  100: ThaiThai404 (France), 
  101: yenamarredurap (France), 
  102: rubenhpsquad (Espagne), 
  103: FabioTorre1 [2] (Portugal), 
  104: Langelot (France), 
  105: Gaara9531 [2] (France), 
  106: pavojaravia (Espagne), 
  107: zani62 (France), 
  108: Analcu (Portugal), 
  109: FabioTorre1 (Portugal), 
  110: podogan5 (France), 
  111: patoch-A2L (France), 
  112: dunixe28 (Espagne), 
  113: Slotby8 (Espagne), 
  114: HEMERSON69 [2] (Espagne), 
  115: margarita525 (Espagne), 
  116: mathmath7735 (France), 
  117: diogo nunes 015 (Portugal), 
  118: Goonch-99 (Espagne), 
  119: gelicrack (Espagne), 
  120: masdecorsa (Espagne), 
  121: elmarrajo (Espagne), 
  122: vantuan2012 (Espagne), 
  123: balkane17 (France), 
  124: joantallon (Espagne), 
  125: RICHIEPW (Espagne), 
  126: Maxiveljko (France), 
  127: molinew (Espagne), 
  128: schiettekatte (France), 
  129: talano1189 (Portugal), 
  130: izavir (France), 
  131: xethanjohnx (France), 
  132: trebla2701 (Espagne), 
  133: kikohm75 (Espagne), 
  134: Iziria51 (France), 
  135: nikoelx (Espagne), 
  136: ruca992 (Portugal), 
  137: ermoya5 [2] (Espagne), 
  138: JYMYY228 (Espagne), 
  139: HEMERSON69 (Espagne), 
  140: Gaara9531 (France), 
  141: arthurdp (France), 
  142: Swann24-07 (France), 
  143: Luckismine78 [2] (France), 
  144: enput (Espagne), 
  145: FranzQ52 (France), 
  146: Fireman969696 (Portugal), 
  147: davidhdez7 (Espagne), 
  148: josacoo2 (Espagne), 
  149: misoyo (Espagne), 
  150: Rubenspoker9 (Espagne), 
  151: yvan1008 (France), 
  152: teahupoo13 (France), 
  153: Luckismine78 (France), 
  154: ermoya5 (Espagne), 
  155: nunoramos81 (Portugal), 
  156: juanra69 (Espagne), 
  157: lobsson1973 (France), 
  158: onofrindd (Espagne), 
  159: lucassanchezz (Espagne), 

Vous avez terminé à la 66e place (éliminé lors de la main #251276918793).


