PokerStars Tournoi #3931541562, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
160 joueurs
Dotation totale : €144.00 EUR 
Tournoi cible #3931541458 Buy-in : €10.00 EUR
Tournoi commencé 01/10/2025 15:05:00 CET [01/10/2025 9:05:00 ET]

  1: AlCapone381 (France), encore en lice
  2: CabradaParaib77 (Brésil), encore en lice
  3: Dapanx (France), encore en lice
  4: Jory14839512 (Espagne), encore en lice
  5: Liu5555 (Espagne), encore en lice
  6: Lucardone77 (Espagne), encore en lice
  7: MISTERARA78 (Espagne), encore en lice
  8: NELOMAN69 (Espagne), encore en lice
  9: Oct0pus77 [2] (France), encore en lice
  10: OhMyWay [2] (France), encore en lice
  11: REMIP07 (France), encore en lice
  12: Rafa171717 (Espagne), encore en lice
  13: SergWings (Espagne), encore en lice
  14: Thibault1983 (France), encore en lice
  15: VictorJ96 (Espagne), encore en lice
  16: XMARS13 (France), encore en lice
  17: X_Sensey14 (Espagne), encore en lice
  18: alliode (France), encore en lice
  19: bogat115 (Espagne), encore en lice
  20: chams555 (France), encore en lice
  21: chouiny436 (France), encore en lice
  22: elnegocian (France), encore en lice
  23: fporellana (Espagne), encore en lice
  24: gpn09asm (France), encore en lice
  25: ignacio-paul (Espagne), encore en lice
  26: ivanvk1 [2] (Espagne), encore en lice
  27: javikas58 (Espagne), encore en lice
  28: moanna104 (France), encore en lice
  29: negrico (Espagne), encore en lice
  30: paranoiac19 [2] (Espagne), encore en lice
  31: rocky5959 (France), encore en lice
  32: sebelchapo (France), encore en lice
  33: toroto27 (Espagne), encore en lice
  34: vaisjewinner (France), encore en lice
  35: zinzin24800 (France), encore en lice
  36: paquito1t360 (Espagne), 
  37: psychoman59 (France), 
  38: angel5204 (Espagne), 
  39: clipperr63 (Espagne), 
  40: minion25574 (Espagne), 
  41: JYMYY228 (Espagne), 
  42: boludasergio (Espagne), 
  43: JaviiPadilla_ (Espagne), 
  44: stelius447 (Espagne), 
  45: mariogilb639 (Espagne), 
  46: Pinkline21 (France), 
  47: garces62 (Espagne), 
  48: vecino19 (Espagne), 
  49: Hasmom (France), 
  50: SimonBlaks (Espagne), 
  51: niño3333 (Espagne), 
  52: tuufaavoo (Espagne), 
  53: desty963 (Espagne), 
  54: O_Ppescador (Portugal), 
  55: mulerat94 (France), 
  56: stephou666 (France), 
  57: mondelo700 (Espagne), 
  58: PsyDuarte (Portugal), 
  59: Mabxel97 (France), 
  60: AdamLeBg45000 (France), 
  61: reinaquadra1 (Portugal), 
  62: XinoWanT3D (Espagne), 
  63: carlimerino (Espagne), 
  64: saray_johnson (Espagne), 
  65: IC1966 (Espagne), 
  66: Apsus81 (Espagne), 
  67: BettyBoop775 [2] (France), 
  68: OliverMotown (France), 
  69: SharkPT16 (Portugal), 
  70: HakaMode (Portugal), 
  71: sramaverick2 [2] (Espagne), 
  72: Undertaker416 (France), 
  73: nandojerez (Espagne), 
  74: GILMIC25 [2] (Espagne), 
  75: Aa0nnyxX (France), 
  76: luis8558 (Espagne), 
  77: sortudo71 (Portugal), 
  78: tterrakio (Portugal), 
  79: Nikoleddu80 (France), 
  80: GoldenGlaouwis (France), 
  81: xGu1 [2] (Portugal), 
  82: chrisdu24410 (France), 
  83: elvism (France), 
  84: Marcello_pant (Espagne), 
  85: Oct0pus77 (France), 
  86: KAFULL84 (France), 
  87: Elian67 (Portugal), 
  88: faresh33 [2] (France), 
  89: ivanvk1 (Espagne), 
  90: Carlos 7777 (Espagne), 
  91: germenes (Espagne), 
  92: marcelorossi46 (Portugal), 
  93: BettyBoop775 (France), 
  94: paranoiac19 (Espagne), 
  95: 77samuel33 (Espagne), 
  96: felpe.jl (Espagne), 
  97: Murda 93 (France), 
  98: VRosillo13 (Espagne), 
  99: masarykon [2] (Espagne), 
  100: BDLF8 (Espagne), 
  101: Fridtjof R [2] (Espagne), 
  102: AfterLuck (Espagne), 
  103: zamora43 (Espagne), 
  104: bobnith69 (Espagne), 
  105: dejameverelflop (Espagne), 
  106: zoker8 (Espagne), 
  107: mabi1012 (Espagne), 
  108: Cyppaiva1986 (Portugal), 
  109: XMIGUELAKA78 (Espagne), 
  110: zeceleste42 (Portugal), 
  111: TxesterPolo (Espagne), 
  112: solo81670 (Espagne), 
  113: Ritchelier (Espagne), 
  114: ESCOBARSALVA (Espagne), 
  115: Volcanus39150 (France), 
  116: SOLEIL63 [2] (France), 
  117: Fridtjof R (Espagne), 
  118: nayara444 (Espagne), 
  119: GILMIC25 (Espagne), 
  120: MaralexPoila (Portugal), 
  121: 282312 (Espagne), 
  122: layel1 (Espagne), 
  123: jeje6925 (Réunion), 
  124: DaBigPete666 (France), 
  125: mhc88 (Espagne), 
  126: bochero32 (Espagne), 
  127: MorciGoat (Espagne), 
  128: Pablito padel [2] (Espagne), 
  129: faresh33 (France), 
  130: domdz29 [2] (France), 
  131: thesnake75014 (France), 
  132: millechibres (France), 
  133: Tenentestark (Portugal), 
  134: PandaGambler31 (France), 
  135: domdz29 (France), 
  136: GuardoManda (Espagne), 
  137: SlooowDeath (Portugal), 
  138: elio198 (Espagne), 
  139: xGu1 (Portugal), 
  140: nachetecb1 (Espagne), 
  141: Uhj87 (France), 
  142: verutri (Espagne), 
  143: ZipiGG (Espagne), 
  144: OhMyWay (France), 
  145: Jeiler_18 (Espagne), 
  146: SOLEIL63 (France), 
  147: sankavendee (France), 
  148: Swimmer721 (Espagne), 
  149: sramaverick2 (Espagne), 
  150: Ths2510127 (France), 
  151: escobar84490 (Espagne), 
  152: masarykon (Espagne), 
  153: cempc (Portugal), 
  154: Pablito padel (Espagne), 
  155: massin11 (France), 
  156: aguator (Espagne), 
  157: PROFITR0LL (France), 
  158: HIUKANSON (Espagne), 
  159: barbara92_86 (Espagne), 
  160: Pauljitaru (France), 

Vous avez terminé à la 37e place (éliminé lors de la main #257958274247).


