PokerStars Tournoi #3841734885, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
151 joueurs
Dotation totale : €135.90 EUR 
Tournoi cible #3841734705 Buy-in : €10.00 EUR
Tournoi commencé 12/01/2025 9:05:00 CET [12/01/2025 3:05:00 ET]

  1: AnanBcn888 (Espagne), encore en lice
  2: Andaluzzzz (Espagne), encore en lice
  3: Antoine.G045620 (France), encore en lice
  4: BATUSAI68 (Espagne), encore en lice
  5: Bou95 (France), encore en lice
  6: CORDOBA1966 [2] (Espagne), encore en lice
  7: Daniel-GR612 (Espagne), encore en lice
  8: FllanosB (Espagne), encore en lice
  9: GeoRiver9 (Espagne), encore en lice
  10: Hiyeee (Espagne), encore en lice
  11: Jonnhym11 [2] (Espagne), encore en lice
  12: KAMIKAZE563 (Espagne), encore en lice
  13: Lyne1919 (France), encore en lice
  14: Manonco1101 [2] (France), encore en lice
  15: MarkinLauter (Espagne), encore en lice
  16: Opanache (France), encore en lice
  17: Oxigénio [2] (Portugal), encore en lice
  18: P1L0M4K3R (Espagne), encore en lice
  19: Paic91 (France), encore en lice
  20: RaiseOn113 (France), encore en lice
  21: RayBradbury451 (France), encore en lice
  22: Sly The Shark (France), encore en lice
  23: TITIBIGNOSE (France), encore en lice
  24: Vero248 (France), encore en lice
  25: YOHTILT974 (France), encore en lice
  26: Y_LUMYNARY (Espagne), encore en lice
  27: aglafee22 (France), encore en lice
  28: benpitt16 (France), encore en lice
  29: burn34309 (Espagne), encore en lice
  30: djdim38647 (France), encore en lice
  31: elgarbanzo19 (Espagne), encore en lice
  32: famal1cao (Portugal), encore en lice
  33: fcntgomes (Portugal), encore en lice
  34: fertatin (Espagne), encore en lice
  35: fifi38760 (France), encore en lice
  36: foni175 (Espagne), encore en lice
  37: fredaco88 (Espagne), encore en lice
  38: gaspardino (France), encore en lice
  39: gauduch (France), encore en lice
  40: gigi57310 (France), encore en lice
  41: jordi79 (Espagne), encore en lice
  42: josebahash (Espagne), encore en lice
  43: maximussus77 (Espagne), encore en lice
  44: mikue46 (Espagne), encore en lice
  45: nessy307 (France), encore en lice
  46: olizyon91 (Portugal), encore en lice
  47: omgimback82 (France), encore en lice
  48: pandas23.3 (Portugal), encore en lice
  49: r3nul (Espagne), encore en lice
  50: raonoled [2] (Espagne), encore en lice
  51: razmoket35 (France), encore en lice
  52: rotoulos (France), encore en lice
  53: seba031 [2] (France), encore en lice
  54: sebzinzin [2] (France), encore en lice
  55: sibreve (Espagne), encore en lice
  56: spcsgwyn (Espagne), encore en lice
  57: tjochep (Espagne), encore en lice
  58: umsonome (Portugal), encore en lice
  59: vada305 (Espagne), encore en lice
  60: viendij6 (Espagne), encore en lice
  61: yeyu69 (Espagne), encore en lice
  62: psychoman59 (France), 
  63: setma23 (Espagne), 
  64: MEdwige (France), 
  65: 75IKKKI75 (France), 
  66: XexiTrempo (Espagne), 
  67: bordavid29 (France), 
  68: nnumero6 (France), 
  69: superbstar90 (Portugal), 
  70: J.A,TOÑIN (Espagne), 
  71: Eduardotst32 (Espagne), 
  72: Ifrit29222 (Espagne), 
  73: meulder33670 (France), 
  74: Djeffmixmegamix (France), 
  75: Foucheps [2] (France), 
  76: rebebalta (Espagne), 
  77: raonoled (Espagne), 
  78: Guibson22100 [2] (France), 
  79: raul5pegaso (Espagne), 
  80: john_roquefort (France), 
  81: germasa [2] (Espagne), 
  82: JohnnyRodrigu3s (Portugal), 
  83: juansix94 (Espagne), 
  84: TETEDENOEUF (France), 
  85: LEGANES666MC [2] (Espagne), 
  86: LaLione01 (France), 
  87: roper@99925 [2] (Espagne), 
  88: ElvisChe22 (Espagne), 
  89: marqbrossa (Espagne), 
  90: bobodesiles (France), 
  91: florentin59 [2] (France), 
  92: mathiasmayençon (France), 
  93: vincentg66100 (France), 
  94: Relax0223 (Espagne), 
  95: spart21fabio (Portugal), 
  96: Sylv1M (France), 
  97: germasa (Espagne), 
  98: CORDOBA1966 (Espagne), 
  99: Davidmara14 [2] (Espagne), 
  100: jmp59300 [2] (France), 
  101: florentin59 (France), 
  102: MMiranda19 [2] (Portugal), 
  103: Nawar777 (France), 
  104: dunnord59 (France), 
  105: franciscomp3452 [2] (Portugal), 
  106: seba031 (France), 
  107: Fregueretta [2] (Espagne), 
  108: roberfc (Espagne), 
  109: ortega4240 (France), 
  110: MilfHunter2006 [2] (Espagne), 
  111: MMiranda19 (Portugal), 
  112: Manonco1101 (France), 
  113: sebzinzin (France), 
  114: erasus14 (Espagne), 
  115: moatolosa (France), 
  116: Fregueretta (Espagne), 
  117: tocala3o (Espagne), 
  118: Guibson22100 (France), 
  119: anthodriv (France), 
  120: John31200428 (France), 
  121: LEGANES666MC (Espagne), 
  122: MilfHunter2006 (Espagne), 
  123: Oxigénio (Portugal), 
  124: roper@99925 (Espagne), 
  125: Philippepin (France), 
  126: JOEDU60 (France), 
  127: SOFFCATS (France), 
  128: criissttiian2 (Espagne), 
  129: Ben Dizuit (France), 
  130: Amy93443 (Espagne), 
  131: papy jr (France), 
  132: 12edy2012 (Espagne), 
  133: Foucheps (France), 
  134: theretour (France), 
  135: Guillaume cocho (France), 
  136: franciscomp3452 (Portugal), 
  137: jmp59300 (France), 
  138: Davidmara14 (Espagne), 
  139: supertontonstyf (France), 
  140: Beoukdil [2] (France), 
  141: yerverita (Espagne), 
  142: TOUPOKER3187 (France), 
  143: Beoukdil (France), 
  144: el pulitore7 (France), 
  145: Mazagon00 (Espagne), 
  146: Jonnhym11 (Espagne), 
  147: alyssa08000 (France), 
  148: ToNiNoXATIVA (Espagne), 
  149: Pa2ku83 (France), 
  150: Adrianxe18 (Espagne), 
  151: alexeden2022 (France), 

Vous avez terminé à la 62e place (éliminé lors de la main #254327737472).


