PokerStars Tournoi #3885298271, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
182 joueurs
Dotation totale : €163.80 EUR 
Tournoi cible #3885298166 Buy-in : €10.00 EUR
Tournoi commencé 07/05/2025 15:05:00 CET [07/05/2025 9:05:00 ET]

  1: ArnauFI [2] (Espagne), encore en lice
  2: Delafuente094 (Espagne), encore en lice
  3: Ediwan00k (France), encore en lice
  4: FeisarCJM (Espagne), encore en lice
  5: Frikieoar (Espagne), encore en lice
  6: Rabadinsky (Espagne), encore en lice
  7: Raulgm16 (Espagne), encore en lice
  8: RomeoZoulou (France), encore en lice
  9: Ryou 74700 (France), encore en lice
  10: aldaya123 (Espagne), encore en lice
  11: andres2496 (Espagne), encore en lice
  12: brunobeloo0 (Portugal), encore en lice
  13: domingo5760058 (France), encore en lice
  14: durzzz (Espagne), encore en lice
  15: geeraard12 [2] (Espagne), encore en lice
  16: jose334400 (France), encore en lice
  17: kittga (Espagne), encore en lice
  18: manu3945 (France), encore en lice
  19: mcjah974 (France), encore en lice
  20: nikoladivari (Espagne), encore en lice
  21: peralta81 (Portugal), encore en lice
  22: ravioliall (Espagne), encore en lice
  23: samalass [2] (France), encore en lice
  24: sigazit777 (Portugal), encore en lice
  25: stiffler75007 (France), encore en lice
  26: supercaru (Espagne), encore en lice
  27: vitinhonmesio (Portugal), encore en lice
  28: psychoman59 (France), 
  29: mcsdpc (Portugal), 
  30: napio777 (Espagne), 
  31: lehaguais (France), 
  32: sami927 (France), 
  33: zalozalito (Espagne), 
  34: dovalim (France), 
  35: 99rtz (Espagne), 
  36: 31011969 (France), 
  37: HayMiedoAlRiver (Espagne), 
  38: KENNY BHELL (Espagne), 
  39: falopez (Espagne), 
  40: ludovic44444 (Espagne), 
  41: MOUSTIK2304 (France), 
  42: coves045 (Espagne), 
  43: Afuego90 (Espagne), 
  44: chechitgn (Espagne), 
  45: pookie217 [2] (France), 
  46: MarcoSant909 (Portugal), 
  47: Fred_cmd114 (Portugal), 
  48: valeriana756 (Espagne), 
  49: IRoyxX (Espagne), 
  50: Peptino (Espagne), 
  51: lms1973 (Espagne), 
  52: jcarlos73 (Espagne), 
  53: duviols [2] (France), 
  54: yanicova26 [2] (Espagne), 
  55: ferfax45 (France), 
  56: Baptoche03 (France), 
  57: lenetwizz [2] (France), 
  58: Sodesska (France), 
  59: andre_gulb (Portugal), 
  60: Flokyta881 (Espagne), 
  61: duprez14 [2] (France), 
  62: Jonnairu (Espagne), 
  63: mm33143 [2] (France), 
  64: Mary19160 (France), 
  65: Abaronesa77 (Portugal), 
  66: Elmerobonian [2] (Espagne), 
  67: suso0798 (Espagne), 
  68: gimeno-89 (Espagne), 
  69: Banshee06400 [2] (France), 
  70: gary22300 (France), 
  71: Errtito93 (Espagne), 
  72: astralogi666 (France), 
  73: fabiodonald (Espagne), 
  74: Mr.Frias_pt (Portugal), 
  75: speedwill16 (France), 
  76: Ironman1938 (Espagne), 
  77: elimon82 (Espagne), 
  78: LaytonPT [2] (Portugal), 
  79: karamou73 (France), 
  80: peketer [2] (Espagne), 
  81: sibreve (Espagne), 
  82: lete33 (Espagne), 
  83: julialuelmo22 (Espagne), 
  84: foxy544 (France), 
  85: sirirules (Espagne), 
  86: albericia999 (Espagne), 
  87: sangaLOV (Espagne), 
  88: Monojokes (Espagne), 
  89: calhegas40 [2] (Portugal), 
  90: PASCAL03 (France), 
  91: l@coloni@le (France), 
  92: azabache70 (Espagne), 
  93: Franck34440 (France), 
  94: Banshee06400 (France), 
  95: 123DZPOWER (France), 
  96: Andrewmalamaner (Espagne), 
  97: Moyo4000 (Espagne), 
  98: douchemoi (France), 
  99: Compintxe_265 (Espagne), 
  100: frlabio (Espagne), 
  101: tatigaleon (Espagne), 
  102: Minimaik8 (Espagne), 
  103: -N0W <3 (Portugal), 
  104: Winnerz59 (France), 
  105: Palankonfire (Espagne), 
  106: felipepla97 (Espagne), 
  107: Estopero_777 (Espagne), 
  108: pveloso56 (Portugal), 
  109: antoniotoril123 (Espagne), 
  110: buzo224 (Espagne), 
  111: Tony974974 (France), 
  112: Vivi123AA [2] (Portugal), 
  113: fredoume (France), 
  114: peketer (Espagne), 
  115: lenetwizz (France), 
  116: CBogdan01 (France), 
  117: stefanright (Espagne), 
  118: mmimitek (France), 
  119: SK4LD4 (Espagne), 
  120: Tornado72000 (France), 
  121: petra59280 (France), 
  122: monpoulet54 (France), 
  123: reteplen2 (Espagne), 
  124: Martenegro (Espagne), 
  125: LaytonPT (Portugal), 
  126: stellar450 (France), 
  127: pookie217 (France), 
  128: samalass (France), 
  129: lemogish26 (Espagne), 
  130: Vivi123AA (Portugal), 
  131: ArnauFI (Espagne), 
  132: maxjul1279 (France), 
  133: jul3en (Espagne), 
  134: scalapmomo (France), 
  135: ClaudyFoocan [2] (France), 
  136: Bagggio14 (Espagne), 
  137: metamex (France), 
  138: duprez14 (France), 
  139: 090909qqqq (Espagne), 
  140: iitshackt (Espagne), 
  141: Elmerobonian (Espagne), 
  142: Woody_85167 (Espagne), 
  143: parazozo (Espagne), 
  144: DePèrez [2] (Espagne), 
  145: Manueliyoo19 (Espagne), 
  146: salteador200 (Espagne), 
  147: mm33143 (France), 
  148: rubencillo25Xx (Espagne), 
  149: Raringtundra (Espagne), 
  150: ferzori (Espagne), 
  151: aguecaelala (Espagne), 
  152: Mkstars78 (France), 
  153: Matarife1898 (Espagne), 
  154: kerry kaberga23 (Espagne), 
  155: jaimemn10 (Espagne), 
  156: aurel0804 (France), 
  157: AlexFrancoD (Espagne), 
  158: richimori (Espagne), 
  159: geeraard12 (Espagne), 
  160: Turchitoo [2] (Espagne), 
  161: piolin21032 (Espagne), 
  162: ego1poker (Réunion), 
  163: calhegas40 (Portugal), 
  164: DePèrez (Espagne), 
  165: Learntrade [2] (France), 
  166: duviols (France), 
  167: Turchitoo (Espagne), 
  168: dodo10300 (France), 
  169: Raquelraul17 (Espagne), 
  170: ClaudyFoocan (France), 
