PokerStars Tournoi #3511941326, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1057 joueurs
Dotation totale : €5000.00 EUR 
Tournoi commencé 12/12/2022 17:00:00 CET [12/12/2022 11:00:00 ET]

  1: #ElJefe33170 [2] (France), encore en lice
  2: *ERUMOR (Espagne), encore en lice
  3: 0liveF (France), encore en lice
  4: 10059 (Lettonie), encore en lice
  5: 10redingtontomy (Espagne), encore en lice
  6: 11_Seroga_11 [2] (Portugal), encore en lice
  7: 11ooduplica (Argentine), encore en lice
  8: 1danielg (Portugal), encore en lice
  9: 27nerub (Portugal), encore en lice
  10: 3BetHostile (France), encore en lice
  11: 401Richi (Espagne), encore en lice
  12: 50williams50 (France), encore en lice
  13: 67iceman6767 (France), encore en lice
  14: 77TIGERWHITE77 (France), encore en lice
  15: 9urano (Portugal), encore en lice
  16: @zagor@za (Espagne), encore en lice
  17: A.Mirassol [2] (Portugal), encore en lice
  18: A.Pandur (Portugal), encore en lice
  19: A.Tributaria (Espagne), encore en lice
  20: ACAPULCO7 [2] (Espagne), encore en lice
  21: ADRICARDENAS (Espagne), encore en lice
  22: ALAINNATURE (France), encore en lice
  23: ASER20 (Espagne), encore en lice
  24: AeOUI (France), encore en lice
  25: Aipeyo [2] (Espagne), encore en lice
  26: Akaneton [2] (Portugal), encore en lice
  27: AlanKuley (France), encore en lice
  28: Alarasbat13 [2] (France), encore en lice
  29: AlcalaTeam (Espagne), encore en lice
  30: Alejandro13840 (Espagne), encore en lice
  31: AlexDuarte15 (Portugal), encore en lice
  32: Alexis222298 (France), encore en lice
  33: AlfredKing365 (Espagne), encore en lice
  34: Alleyah27 (France), encore en lice
  35: AllinKAmA (France), encore en lice
  36: AlonPokfull (Espagne), encore en lice
  37: AnderMuchES (Brésil), encore en lice
  38: Andre.Arezes (Portugal), encore en lice
  39: AnthoninM (France), encore en lice
  40: Apach66 [2] (France), encore en lice
  41: Ariguzbl@ck [2] (Mexique), encore en lice
  42: Ark Royal 4 [2] (France), encore en lice
  43: ArmenGha (France), encore en lice
  44: Audryck2011 (France), encore en lice
  45: AwiitaninioO (Espagne), encore en lice
  46: B757200 [2] (Espagne), encore en lice
  47: Bad_Kenobi (Brésil), encore en lice
  48: Basfferro (Portugal), encore en lice
  49: Batatao83 [2] (Portugal), encore en lice
  50: Bens DTC (France), encore en lice
  51: Benziggystardus [2] (France), encore en lice
  52: Beware78 (France), encore en lice
  53: BigNops (France), encore en lice
  54: Binouzzz63 (France), encore en lice
  55: Black_Motya_07 (Bélarus), encore en lice
  56: Boff1975 (Portugal), encore en lice
  57: Borjandiari (Espagne), encore en lice
  58: Bountyxl717 (Portugal), encore en lice
  59: BrazaPT03 [2] (Portugal), encore en lice
  60: BrunoDsunguinha (Brésil), encore en lice
  61: BruxoPagodim (Brésil), encore en lice
  62: CDellagustin (Brésil), encore en lice
  63: COSTYPOKER (Espagne), encore en lice
  64: CRAMER666 (Espagne), encore en lice
  65: CRISTHIANPRO (Espagne), encore en lice
  66: Captnglou (France), encore en lice
  67: CarrapichoII (Brésil), encore en lice
  68: CastellerXS (Espagne), encore en lice
  69: Cheky_xsam (Espagne), encore en lice
  70: Claude54000 (France), encore en lice
  71: CocoSwim18 (France), encore en lice
  72: CoelhooPKR (Portugal), encore en lice
  73: Coin97 (Espagne), encore en lice
  74: Cunhz (Portugal), encore en lice
  75: D Bogossian (Brésil), encore en lice
  76: DARIUS7515 [2] (France), encore en lice
  77: DB.XIV (Espagne), encore en lice
  78: Dafolhaseca (Portugal), encore en lice
  79: DamaOcho (Espagne), encore en lice
  80: DarkSiders007 (Ukraine), encore en lice
  81: DavGomez (Portugal), encore en lice
  82: Davidson77777 (Espagne), encore en lice
  83: DawidCop (Espagne), encore en lice
  84: Dawk1ns (Bélarus), encore en lice
  85: DelCarmo10 (Portugal), encore en lice
  86: DepecheMode62 [2] (France), encore en lice
  87: Dibimix (France), encore en lice
  88: Did973387 (France), encore en lice
  89: DiogoSerra77 (Portugal), encore en lice
  90: DragonASB4 [2] (France), encore en lice
  91: EC XV de Jaú (Brésil), encore en lice
  92: ELMesquita (Portugal), encore en lice
  93: ELPUTOAMO98 (Espagne), encore en lice
  94: EVPLUS92 [2] (France), encore en lice
  95: EVshka (Kazakhstan), encore en lice
  96: El Charandel (Espagne), encore en lice
  97: ElJaviTala (Argentine), encore en lice
  98: Elerson10_Es (Brésil), encore en lice
  99: Elv44470 (France), encore en lice
  100: Ementasb (Portugal), encore en lice
  101: Emi.1606 [2] (Espagne), encore en lice
  102: Espinavfc (Portugal), encore en lice
  103: Essommanu24 (Espagne), encore en lice
  104: FJR17 (Espagne), encore en lice
  105: FRIPYCAT (France), encore en lice
  106: FXPrime (Ukraine), encore en lice
  107: Fabiomoraes7 (Brésil), encore en lice
  108: FigoFigueiredo (Brésil), encore en lice
  109: FloLBD9 [2] (France), encore en lice
  110: FlopeirOli (Portugal), encore en lice
  111: Florinbank (France), encore en lice
  112: FlávioMatias [2] (Portugal), encore en lice
  113: FooodEatBem (Portugal), encore en lice
  114: FornCanFlo (Espagne), encore en lice
  115: Fr@nkys (Espagne), encore en lice
  116: FrAwtz [2] (Brésil), encore en lice
  117: Fraram (Portugal), encore en lice
  118: FuLlEtXaM (Espagne), encore en lice
  119: GALACTIC K7 (France), encore en lice
  120: GENIE5555 [2] (France), encore en lice
