PokerStars Tournoi #3482303235, No Limit Hold'em
Buy-in : €0.09/€0.01 EUR
109 joueurs
Dotation totale : €9.81 EUR 
Tournoi commencé 12/10/2022 16:05:00 CET [12/10/2022 10:05:00 ET]

  1: 64k64 (Portugal), encore en lice
  2: AfricaSes (Espagne), encore en lice
  3: BrokenEar87 (France), encore en lice
  4: DavidPepu (Espagne), encore en lice
  5: EVMontalvao (Portugal), encore en lice
  6: Izaimardaraz (Espagne), encore en lice
  7: Kam3k4z1 (Portugal), encore en lice
  8: Kaspar821 (Espagne), encore en lice
  9: Lak LaMenace (France), encore en lice
  10: M1GWEL (Espagne), encore en lice
  11: Mechazos14 (Espagne), encore en lice
  12: acpp197555 (Espagne), encore en lice
  13: adonisefebo (Espagne), encore en lice
  14: ana12fev (Portugal), encore en lice
  15: fernandit350 (Espagne), encore en lice
  16: matamarinha (France), encore en lice
  17: peio01 (Espagne), encore en lice
  18: rafales11 (Espagne), encore en lice
  19: tiger13220 (France), encore en lice
  20: vaporeti (Espagne), encore en lice
  21: vviola86 (France), encore en lice
  22: psychoman59 (France), €0,15 (1,529%)
  23: Lard Fumé (France), €0,15 (1,529%)
  24: rush018 (France), 
  25: Oct0pus77 (France), 
  26: rojomoo1950 (France), 
  27: davidgav1964 (Espagne), 
  28: EL TIO PEP (Espagne), 
  29: uc591 (Espagne), 
  30: Asier1977 (Espagne), 
  31: TRYPHON92 (France), 
  32: federrico59 (Espagne), 
  33: anchega (Espagne), 
  34: Dagiga (Espagne), 
  35: CRPclavie (France), 
  36: sabii2 (Espagne), 
  37: 0HomemDoSac0 (Portugal), 
  38: VallinVl (Ukraine), 
  39: Cuttyland (France), 
  40: lucho1950 (Espagne), 
  41: nounou03 (France), 
  42: hsilva1621 (Portugal), 
  43: Gordi159 (Espagne), 
  44: leyderson357 (Espagne), 
  45: canguetor (Espagne), 
  46: tseb06 (France), 
  47: quiqui1230 (Espagne), 
  48: CLOVIS720 (France), 
  49: NicolasL7 (France), 
  50: Agent Smoker (France), 
  51: sampaio.lc (Portugal), 
  52: vamaiz (Espagne), 
  53: apuestol13 (Espagne), 
  54: quixote05 (Espagne), 
  55: nrefdzz (Espagne), 
  56: faxxou (France), 
  57: josemarin96 (Espagne), 
  58: CARGANTON (Espagne), 
  59: kevins1957 (Espagne), 
  60: GregSkrib (Espagne), 
  61: dioudiou83 (France), 
  62: flohein (France), 
  63: cocinetas (Espagne), 
  64: Ragnarok1986 (Espagne), 
  65: samiret (Espagne), 
  66: Marigb99 (Espagne), 
  67: Helder82p170 (Portugal), 
  68: Jeanclodusse (France), 
  69: RUFGAR (Espagne), 
  70: luisarmunia (Espagne), 
  71: Nanipokerspain (Espagne), 
  72: kokkomaid (France), 
  73: vinti1066 (Espagne), 
  74: nicobud41500 (France), 
  75: jl95870 (France), 
  76: BancQuise (France), 
  77: marlodj (France), 
  78: florian88150 (France), 
  79: flo131291 (France), 
  80: philteschtons (France), 
  81: emiliocvl1980 (Portugal), 
  82: grondolin (France), 
  83: Mous Bachir (France), 
  84: Sullithebest (France), 
  85: kirikaen59 (Espagne), 
  86: ghiswillyVII (France), 
  87: Family Shelby (Espagne), 
  88: DiogoReis99 (Portugal), 
  89: xxpat (France), 
  90: phytypaldy (Espagne), 
  91: SOLE 5788 (Espagne), 
  92: nandojerez (Espagne), 
  93: rococo92600 (France), 
  94: pecchital (France), 
  95: Haanover (Espagne), 
  96: spacepilote (France), 
  97: vinz91510 (France), 
  98: obttu (Espagne), 
  99: Artemisa 72 (Espagne), 
  100: cañoncito Ma (Espagne), 
  101: pingala11 (France), 
  102: monteiro-jo (France), 
  103: sss_fx (Espagne), 
  104: MLabuze (France), 
  105: duguy74 (France), 
  106: ReivaJ993 (Espagne), 
  107: cloclo1206 (France), 
  108: calentito (France), 
  109: mentone74 (Espagne), 

Vous avez terminé à la 22e place (éliminé lors de la main #239184512343).


