PokerStars Tournoi #3929509777, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
67 joueurs
Dotation totale : €60.30 EUR 
Tournoi cible #3929509637 Buy-in : €10.00 EUR
Tournoi commencé 27/09/2025 10:05:00 CET [27/09/2025 4:05:00 ET]

  1: 21negro888 (Espagne), encore en lice
  2: 33Nobru33 (France), encore en lice
  3: 83691101 (France), encore en lice
  4: Alonsoo93 (Espagne), encore en lice
  5: Alvim904 [2] (Portugal), encore en lice
  6: Antonio.ll9 (Espagne), encore en lice
  7: Asterisk3 (Espagne), encore en lice
  8: Aubame11 (France), encore en lice
  9: Brunocarv000 (Portugal), encore en lice
  10: DB2477 (Portugal), encore en lice
  11: Fff442 (France), encore en lice
  12: Gribouille5534 (France), encore en lice
  13: Iara0701 (Portugal), encore en lice
  14: Javelin2023 (France), encore en lice
  15: Joseuto62 (Espagne), encore en lice
  16: Kalyana45 (France), encore en lice
  17: LanaBet (France), encore en lice
  18: Lbrt911 (Espagne), encore en lice
  19: Mencraft (Espagne), encore en lice
  20: Neo/Nala (Espagne), encore en lice
  21: RICOPO (Espagne), encore en lice
  22: Rober El Von (Espagne), encore en lice
  23: Sisi94120 (France), encore en lice
  24: Strong152 (Portugal), encore en lice
  25: Xzeus974 (Réunion), encore en lice
  26: ahhdkeb (Espagne), encore en lice
  27: aswiun89 (Espagne), encore en lice
  28: bixitoypau (Espagne), encore en lice
  29: cocopops26 (France), encore en lice
  30: dr.hasher (France), encore en lice
  31: duarteriezas (Portugal), encore en lice
  32: gegenne93 (France), encore en lice
  33: inblanc (Portugal), encore en lice
  34: lasbul (Espagne), encore en lice
  35: lordkep (Portugal), encore en lice
  36: maki_aj (Espagne), encore en lice
  37: mariocapntns (Espagne), encore en lice
  38: maximeoutr (France), encore en lice
  39: miltons2024 (Espagne), encore en lice
  40: parazozo (Espagne), encore en lice
  41: pedrofs87 (Espagne), encore en lice
  42: pelito2222 (France), encore en lice
  43: pikestars7 (Portugal), encore en lice
  44: pilou-pilou8310 (France), encore en lice
  45: pistolino-z (Espagne), encore en lice
  46: playsoft84 (Portugal), encore en lice
  47: renatocurty (France), encore en lice
  48: rodrigova110 [2] (Espagne), encore en lice
  49: sibreve (Espagne), encore en lice
  50: topinambour493 (France), encore en lice
  51: ypp01 (France), encore en lice
  52: zenaides (Espagne), encore en lice
  53: psychoman59 (France), 
  54: psassusbourda (France), 
  55: lancelot56 (France), 
  56: rodrigova110 (Espagne), 
  57: miihaawk (Espagne), 
  58: patarro78 [2] (Espagne), 
  59: Fernando D59 (Portugal), 
  60: papsnoel (France), 
  61: SpinPavel (Espagne), 
  62: Cl3mus (France), 
  63: papou0851 (France), 
  64: CamarãoPT (Portugal), 
  65: Alvim904 (Portugal), 
  66: patarro78 (Espagne), 
  67: frululu (Espagne), 
Vous avez terminé le tournoi (éliminé lors de la main #257904211665).


