PokerStars Tournoi #3835654584, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
79 joueurs
Dotation totale : €71.10 EUR 
Tournoi cible #3835654446 Buy-in : €10.00 EUR
Tournoi commencé 28/12/2024 8:05:00 CET [28/12/2024 2:05:00 ET]

  1: Calinours974 (Réunion), encore en lice
  2: Djjacox [2] (France), encore en lice
  3: JHARO [2] (Espagne), encore en lice
  4: LuisSimoes98 (Portugal), encore en lice
  5: Titel0410 [2] (Espagne), encore en lice
  6: braquo200 (France), encore en lice
  7: nezereau (France), encore en lice
  8: olivier-6238 (France), encore en lice
  9: yeho24 (France), encore en lice
  10: psychoman59 (France), 
  11: odracir2013 (Portugal), 
  12: missdita6 (France), 
  13: illynois26 (Espagne), 
  14: Harekheni (France), 
  15: dr.hasher (France), 
  16: TedLasson (Espagne), 
  17: wicahi77 (Espagne), 
  18: Pexo P (France), 
  19: leyafi (Espagne), 
  20: morganaglz (Espagne), 
  21: paybolita89 [2] (Espagne), 
  22: Joybb (France), 
  23: vroum42 (France), 
  24: Jessizou (France), 
  25: bij0711 (France), 
  26: rochio13 (Espagne), 
  27: acek749 (France), 
  28: PULGER (Espagne), 
  29: donpelos (Espagne), 
  30: sarabiagar [2] (Espagne), 
  31: davesia (France), 
  32: Tigrooo [2] (France), 
  33: Sophie59450 (France), 
  34: DeNeverHood (France), 
  35: koska710 (Portugal), 
  36: jordi79 [2] (Espagne), 
  37: VirgiFer (Espagne), 
  38: pokar197721 (Espagne), 
  39: imuval (Espagne), 
  40: cgarblv4 (Espagne), 
  41: Djjacox (France), 
  42: Lokoplayo (Espagne), 
  43: satenalp (Espagne), 
  44: sandratoledo [2] (Espagne), 
  45: sarabiagar (Espagne), 
  46: gustavo03042023 (Portugal), 
  47: Tigrooo (France), 
  48: cuffi1983 (Espagne), 
  49: traviskush (France), 
  50: yvano 13 [2] (France), 
  51: Burn108 [2] (Espagne), 
  52: jordi79 (Espagne), 
  53: teahupoo13 [2] (France), 
  54: mrcharrals09 (Espagne), 
  55: eduardo10222 (Espagne), 
  56: Dapy007 (Espagne), 
  57: bond238 [2] (Portugal), 
  58: nano9000562 (Espagne), 
  59: yvano 13 (France), 
  60: osc71 (Espagne), 
  61: Burn108 (Espagne), 
  62: fishtaïl (France), 
  63: oil4me15 (France), 
  64: sguerrier (France), 
  65: jmgf+566 (Espagne), 
  66: bond238 (Portugal), 
  67: sandratoledo (Espagne), 
  68: EL-T3MPLARIO (Espagne), 
  69: XuertuaH 72$ (France), 
  70: JHARO (Espagne), 
  71: paybolita89 (Espagne), 
  72: SLBHR (Portugal), 
  73: Adammjy (Espagne), 
  74: Titel0410 (Espagne), 
  75: daefkrit07 (Espagne), 
  76: joselillo129 (Espagne), 
  77: teahupoo13 (France), 
  78: dany-lokuras (Espagne), 
  79: guillerh807 (Espagne), 

Vous avez terminé à la 10e place (éliminé lors de la main #254065113908).


