PokerStars Tournoi #3937723052, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
186 joueurs
Dotation totale : €167.40 EUR 
Tournoi cible #3937722952 Buy-in : €10.00 EUR
Tournoi commencé 22/10/2025 15:05:00 CET [22/10/2025 9:05:00 ET]

  1: 282312 (Espagne), encore en lice
  2: 2T307 (France), encore en lice
  3: AIR RAK (France), encore en lice
  4: AgostinhoMartin (Portugal), encore en lice
  5: Arkitt22 (Espagne), encore en lice
  6: Bogavante420 (Espagne), encore en lice
  7: Bychemix (Espagne), encore en lice
  8: Carine62953 [2] (France), encore en lice
  9: Chanceux29 (France), encore en lice
  10: Compintxe_265 (Espagne), encore en lice
  11: Fellieleven (France), encore en lice
  12: GaelKI44 (France), encore en lice
  13: Gohu85 (France), encore en lice
  14: Guedinmalin18 (France), encore en lice
  15: Jkamal23 (Espagne), encore en lice
  16: Joseda85 (Espagne), encore en lice
  17: Karlitop7575 (France), encore en lice
  18: KyZ3rr (France), encore en lice
  19: LOULOU42440 (France), encore en lice
  20: Lambert34200 [2] (France), encore en lice
  21: Le Pacha 5 (France), encore en lice
  22: Lt.Smasshh (Espagne), encore en lice
  23: M6sp2004 (Portugal), encore en lice
  24: MaGiCaLoNSoWi (Espagne), encore en lice
  25: Mabxel97 [2] (France), encore en lice
  26: Moterogargo (Espagne), encore en lice
  27: Muonjollo201 (Portugal), encore en lice
  28: NelManu (Espagne), encore en lice
  29: Nelio68500 (France), encore en lice
  30: NiAndradee (Portugal), encore en lice
  31: North696969 (Portugal), encore en lice
  32: OursArmee (France), encore en lice
  33: PORRAZOS 99 (Espagne), encore en lice
  34: PandaGambler31 (France), encore en lice
  35: Pirri 13 (Espagne), encore en lice
  36: RamboiaAA [2] (Portugal), encore en lice
  37: Rhüm1 (France), encore en lice
  38: RjPTG88 (Portugal), encore en lice
  39: SANYDAV775 (Espagne), encore en lice
  40: SIMGAEL (France), encore en lice
  41: Sergiohg22 (Espagne), encore en lice
  42: Soulmateas (Portugal), encore en lice
  43: UltrasMv03 (Portugal), encore en lice
  44: VIOLER14 [2] (Espagne), encore en lice
  45: Vaneberrio2022 (Espagne), encore en lice
  46: Xtricanina (Portugal), encore en lice
  47: algoro [2] (Espagne), encore en lice
  48: apetyky (Espagne), encore en lice
  49: ataplas (France), encore en lice
  50: aureb2b (France), encore en lice
  51: azor794 (Espagne), encore en lice
  52: benebene76 (France), encore en lice
  53: biketeman (France), encore en lice
  54: boarderliner1 (France), encore en lice
  55: boccar12 (Espagne), encore en lice
  56: bufu92 (France), encore en lice
  57: busi6 (Espagne), encore en lice
  58: carchm (Espagne), encore en lice
  59: condessito (Espagne), encore en lice
  60: danielokenke (Espagne), encore en lice
  61: davidmenorka (Espagne), encore en lice
  62: elio451 (Portugal), encore en lice
  63: florybus (France), encore en lice
  64: frederico394 (France), encore en lice
  65: golo699 (Espagne), encore en lice
  66: gomchui2025 (France), encore en lice
  67: ivanvk1 (Espagne), encore en lice
  68: jjgemma (Espagne), encore en lice
  69: joanm11 (Espagne), encore en lice
  70: johannc62 (France), encore en lice
  71: jou624 (Espagne), encore en lice
  72: kora8872 (Espagne), encore en lice
  73: lemogish26 (Espagne), encore en lice
  74: man saref63 (France), encore en lice
  75: marallmor (Portugal), encore en lice
  76: marlou72 (France), encore en lice
  77: molaventrale (France), encore en lice
  78: monkeydia (France), encore en lice
  79: nicodeserdio (Espagne), encore en lice
  80: noblete (Espagne), encore en lice
  81: oskarmata (Espagne), encore en lice
  82: pagnolette59 (France), encore en lice
  83: pcsf99 (Portugal), encore en lice
  84: pichyssan (Espagne), encore en lice
  85: pitmccalloway (France), encore en lice
  86: riovanero (Espagne), encore en lice
  87: rohazon353535 [2] (France), encore en lice
  88: sam_az46 (Espagne), encore en lice
  89: samuelgnzalez (Espagne), encore en lice
  90: samzy2812 (France), encore en lice
  91: socardea3 (Espagne), encore en lice
  92: supercalifry (Espagne), encore en lice
  93: thesnake75014 (France), encore en lice
  94: toniofodes (France), encore en lice
  95: tsetse1205 (France), encore en lice
  96: valentin62800 (France), encore en lice
  97: wisperelaposse (Espagne), encore en lice
  98: xJoker97x [2] (Portugal), encore en lice
  99: psychoman59 (France), 
  100: rimkof13 (France), 
  101: emiliano 880 (Portugal), 
  102: zé gamarra (Portugal), 
  103: efok m Ll (Espagne), 
  104: cvc1962 (Espagne), 
  105: jorge_kunana16 (Portugal), 
  106: culnard (France), 
  107: JLinea7 (Portugal), 
  108: MAdlJoker (Portugal), 
  109: josue13590 (Espagne), 
  110: Kestuvafaire (France), 
  111: kyaku402 [2] (France), 
  112: Zelda_2222 (Espagne), 
  113: Imanoool21 (Espagne), 
  114: jsimoez187 (Portugal), 
  115: horaciomza (Espagne), 
  116: algoro (Espagne), 
  117: Enzo38950 (France), 
  118: MMossoro8 [2] (Portugal), 
  119: ForikM21 [2] (France), 
  120: Riv3rSpir3 (France), 
  121: Lambert34200 (France), 
  122: aliciavoila (France), 
  123: spainmario [2] (Espagne), 
  124: starbuck301 (France), 
  125: nenamartin [2] (Espagne), 
  126: OLALAS (France), 
  127: p4ch11 (Espagne), 
  128: ForikM21 (France), 
  129: xJoker97x (Portugal), 
  130: nai1109 (Espagne), 
  131: jem28815 (France), 
  132: pedromelli7 (Espagne), 
  133: Boludo339 (Espagne), 
  134: jacinto3 (Portugal), 
  135: tonipalma82 (Espagne), 
  136: Orage-btz (France), 
  137: Carmenymiguel (Espagne), 
  138: spainmario (Espagne), 
  139: bluffynuts (Espagne), 
  140: papou0851 (France), 
  141: le_R1215 (France), 
  142: Mabxel97 (France), 
  143: INHUMVN (France), 
  144: xiscogladius (Espagne), 
  145: Unkule (Espagne), 
  146: BasDost33 (France), 
  147: Nat_HR757 (France), 
  148: eyeeel (Portugal), 
  149: mofantico (Espagne), 
  150: carli3425237 (France), 
  151: Brutuscrazy (Espagne), 
  152: senorito351 (Portugal), 
  153: gregorio51 (Espagne), 
  154: VIOLER14 (Espagne), 
