PokerStars Tournoi #3515792905, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1597 joueurs
Dotation totale : €7186.50 EUR 
Tournoi commencé 21/12/2022 17:00:00 CET [21/12/2022 11:00:00 ET]

  1: 52systmmzz (France), encore en lice
  2: @zagor@za [2] (Espagne), encore en lice
  3: AAKKinGG (Portugal), encore en lice
  4: AAesbo2 (Espagne), encore en lice
  5: AFPLS [2] (Espagne), encore en lice
  6: AKras47 (France), encore en lice
  7: ALEXmvpALEX (Lituanie), encore en lice
  8: AgentD77 [2] (France), encore en lice
  9: AlexBlack1kk (Ukraine), encore en lice
  10: Arabiño (Espagne), encore en lice
  11: Bambuk09 [2] (Ukraine), encore en lice
  12: Bandy78Bandy78 (France), encore en lice
  13: BenClash (France), encore en lice
  14: BrazaPT03 [2] (Portugal), encore en lice
  15: Brutazz (Portugal), encore en lice
  16: BugsyJN1969 (Portugal), encore en lice
  17: CDellagustin (Brésil), encore en lice
  18: Carmenlove13 (Espagne), encore en lice
  19: Celi26300 (France), encore en lice
  20: ChicoMCZ (Brésil), encore en lice
  21: Chinas20 (Portugal), encore en lice
  22: Covidinyaface (France), encore en lice
  23: Dafolhaseca (Portugal), encore en lice
  24: Derp97 (Portugal), encore en lice
  25: Deus2Heaven (France), encore en lice
  26: DébilóideCALL [2] (Brésil), encore en lice
  27: Efrax (Espagne), encore en lice
  28: Ellaa666 (Portugal), encore en lice
  29: Emi.1606 (Espagne), encore en lice
  30: FISHERMAN314101 (France), encore en lice
  31: FVbj (France), encore en lice
  32: FedesJR (Espagne), encore en lice
  33: FreeAgenTT (Portugal), encore en lice
  34: GE2224 (France), encore en lice
  35: GENIE5555 (France), encore en lice
  36: GimeMyGoldBack (Brésil), encore en lice
  37: GorDoMnesota [2] (Espagne), encore en lice
  38: HateMeeeee (Arménie), encore en lice
  39: I_am_Back1999 (Portugal), encore en lice
  40: InkaPál (Hongrie), encore en lice
  41: Ius-Money [2] (Portugal), encore en lice
  42: Ivanov814 (Espagne), encore en lice
  43: JULION74 (France), encore en lice
  44: Jack O'Hamiz (France), encore en lice
  45: Jogador217 [2] (Brésil), encore en lice
  46: Johannlf (France), encore en lice
  47: JonyBartolo (Espagne), encore en lice
  48: Joselu98hs (Espagne), encore en lice
  49: LUCHO13832 (France), encore en lice
  50: LittleBlueR [2] (Espagne), encore en lice
  51: Lookatheclok (France), encore en lice
  52: LotusDowN (Portugal), encore en lice
  53: LuckyGuyFSC (Brésil), encore en lice
  54: Marquecito (Espagne), encore en lice
  55: Maryamnueve (Espagne), encore en lice
  56: MisterAznag (Portugal), encore en lice
  57: Musya0528 (France), encore en lice
  58: Nahoki (Portugal), encore en lice
  59: Nostradamus73 [2] (Espagne), encore en lice
  60: PVA18 (Portugal), encore en lice
  61: Pacificamente (Brésil), encore en lice
  62: Pardal#ES77 (Brésil), encore en lice
  63: Peneirinh@13 (Portugal), encore en lice
  64: QQMinako (France), encore en lice
  65: Rasputin744 (Espagne), encore en lice
  66: Ricard1993 (Portugal), encore en lice
  67: Ricardoo999 (Espagne), encore en lice
  68: Sense884 (Portugal), encore en lice
  69: Seoane77 (Espagne), encore en lice
  70: SevenTwentySven (France), encore en lice
  71: Sevi96 [2] (Espagne), encore en lice
  72: ShivasWisdom (Espagne), encore en lice
  73: The Tapatron (Espagne), encore en lice
  74: Theo972Win (France), encore en lice
  75: Tpuschelstars (Brésil), encore en lice
  76: Tricky774 [2] (Portugal), encore en lice
  77: Vitalik607r (Bélarus), encore en lice
  78: Vlad9907M (Ukraine), encore en lice
  79: Whis99 (Brésil), encore en lice
  80: Whitedagleki1 (Kazakhstan), encore en lice
  81: Wuilot (Espagne), encore en lice
  82: XX_RMX [2] (France), encore en lice
  83: Xicof (Portugal), encore en lice
  84: Y4no [2] (Espagne), encore en lice
  85: Zeros Virgen [2] (Argentine), encore en lice
  86: abobretion (Brésil), encore en lice
  87: accountps11 (Brésil), encore en lice
  88: achkata1980 [2] (Espagne), encore en lice
  89: adsoxoc (France), encore en lice
  90: alain3210 (France), encore en lice
  91: alex54740 (France), encore en lice
  92: amorphis36 (France), encore en lice
  93: archamac (Portugal), encore en lice
  94: asiaconexion (France), encore en lice
  95: avotei (Espagne), encore en lice
  96: beffa74 (France), encore en lice
  97: beny-taka 7 (Espagne), encore en lice
  98: bernard32110 (France), encore en lice
  99: bimihil (Ukraine), encore en lice
  100: bluffeur6220 (France), encore en lice
  101: buba2381 (Portugal), encore en lice
  102: bukett33 (France), encore en lice
  103: caioveloso.ESP [2] (Brésil), encore en lice
  104: capitaochipado (Brésil), encore en lice
  105: carlosvg16 (Espagne), encore en lice
  106: catchmybluff23 (Portugal), encore en lice
  107: cfmarcos_alf (Espagne), encore en lice
  108: claudmonetmaker (France), encore en lice
  109: davgoga21 [2] (Espagne), encore en lice
  110: davidelcranc (Espagne), encore en lice
  111: de M. Faria (Portugal), encore en lice
  112: dedess93 (France), encore en lice
  113: delarosa98 (Espagne), encore en lice
  114: desy_jony (Espagne), encore en lice
  115: diogo mesqui (Portugal), encore en lice
  116: dr.elloco (Brésil), encore en lice
  117: ducksstaff (Kazakhstan), encore en lice
  118: dyus_madiar (Kazakhstan), encore en lice
  119: elbandido1984 (France), encore en lice
  120: elnino7831 [2] (France), encore en lice
  121: elyeri777 [2] (Espagne), encore en lice
  122: emiliomuriel (Espagne), encore en lice
  123: eng.ayala99 (Brésil), encore en lice
  124: espia96 (Espagne), encore en lice
  125: esteves77519 (Portugal), encore en lice
  126: fabiotipo1 (Espagne), encore en lice
  127: fallou-cimo (France), encore en lice
  128: foolek1331 (France), encore en lice
  129: fotzbinen (France), encore en lice
  130: gezan76 (Espagne), encore en lice
  131: gordi59 (Espagne), encore en lice
  132: grone176 (Espagne), encore en lice
  133: himalaya30 [2] (Espagne), encore en lice
  134: hungerpp [2] (Portugal), encore en lice
  135: husoca (France), encore en lice
  136: im feeling good (Brésil), encore en lice
  137: inmaAM7 (Espagne), encore en lice
  138: jaimejesus (Portugal), encore en lice
  139: jeny1488 (Espagne), encore en lice
  140: juan57070 (France), encore en lice
  141: juanda161616 (Espagne), encore en lice
  142: julioomour4 (Brésil), encore en lice
  143: julitopoket (Espagne), encore en lice
  144: kapoosta_dragon (Portugal), encore en lice
  145: khalid83300 (France), encore en lice
  146: kiff67120 [2] (France), encore en lice
  147: kimi_Raik9 (Espagne), encore en lice
  148: ledaron06 (France), encore en lice
  149: letigre62 [2] (France), encore en lice
  150: lgc128 (France), encore en lice
  151: lois7788 [2] (Portugal), encore en lice
  152: longdimir [2] (Bélarus), encore en lice
  153: loubiya (France), encore en lice
  154: lpsa21 (Portugal), encore en lice
  155: lydovorot (Bélarus), encore en lice
  156: mariochachi [2] (Espagne), encore en lice
  157: marius161985 (Espagne), encore en lice
  158: meco20PT [2] (France), encore en lice
  159: modesth0 (Portugal), encore en lice
  160: mylord666 (Portugal), encore en lice
  161: nachoagar92 (Espagne), encore en lice
  162: nellussus [2] (France), encore en lice
  163: nicotrollier (France), encore en lice
  164: nippssy216 [2] (France), encore en lice
  165: oracle_mens [2] (Ukraine), encore en lice
  166: pApAchAngA (France), encore en lice
  167: paharo1K (Espagne), encore en lice
  168: paslaparhasard0 [2] (France), encore en lice
  169: platinumix (Ukraine), encore en lice
  170: robert193020 (Espagne), encore en lice
  171: ru_cr9 (Espagne), encore en lice
  172: rubenpalmera (Espagne), encore en lice
  173: rubopoker1971 (Portugal), encore en lice
  174: ruslan_royal (Kazakhstan), encore en lice
  175: s3l3r1 (Pologne), encore en lice
  176: sarre180 [2] (France), encore en lice
  177: segy43zh (Ukraine), encore en lice
  178: sergiosie (Espagne), encore en lice
  179: stefy963 (Espagne), encore en lice
  180: t1t1s18330 (France), encore en lice
  181: tascinko [2] (Espagne), encore en lice
  182: tatianabedoy (Espagne), encore en lice
  183: thak!d957 (France), encore en lice
  184: thisma28 (France), encore en lice
  185: tiano85a (Espagne), encore en lice
  186: tombarth (France), encore en lice
  187: toroche46 (France), encore en lice
  188: veolucky (France), encore en lice
  189: volatero (Espagne), encore en lice
  190: vsenazavod (Lituanie), encore en lice
  191: xexubluff (Espagne), encore en lice
  192: yeaya722 (Martinique), encore en lice
  193: psychoman59 (France), €7,57 (0,105%)
  194: melox666 (Espagne), €7,57 (0,105%)
  195: barrywithe (France), €7,57 (0,105%)
  196: Eudaimonia00x (Brésil), €7,57 (0,105%)
  197: marisilla (Espagne), €7,57 (0,105%)
  198: Exitsud68 [2] (France), €7,57 (0,105%)
  199: Redioz [2] (France), €7,57 (0,105%)
  200: Yofronside21 (France), €7,57 (0,105%)
  201: meninasafada [2] (Espagne), €7,57 (0,105%)
  202: EdekJ (Pologne), €7,57 (0,105%)
  203: ASER20 [2] (Espagne), €7,57 (0,105%)
  204: sekulicdenni (Espagne), €7,57 (0,105%)
  205: tchitchi972 (France), €7,57 (0,105%)
  206: sevengio (France), €7,57 (0,105%)
  207: Raúl Almo (Espagne), €7,57 (0,105%)
  208: fariatau (Brésil), €7,57 (0,105%)
  209: Tiburoncito8 [2] (Espagne), €7,57 (0,105%)
  210: tosta23 (Portugal), €7,57 (0,105%)
  211: zukuxavi (Espagne), €7,57 (0,105%)
  212: lions-blanc2 [2] (France), €7,57 (0,105%)
  213: aesmir.fr (France), €7,57 (0,105%)
  214: diogene38 (France), €7,57 (0,105%)
  215: silencer0891 (Bélarus), €7,57 (0,105%)
  216: ecua517 [2] (Espagne), €7,57 (0,105%)
  217: Peterchier (France), €7,57 (0,105%)
  218: BionOgurcov (Ukraine), €7,57 (0,105%)
  219: brp2711 (France), €7,57 (0,105%)
  220: DANyDAN1209 (France), €7,57 (0,105%)
  221: zubrov (France), €7,57 (0,105%)
  222: bicadas777 (Portugal), €7,57 (0,105%)
  223: BuraramaMG [2] (Brésil), €7,57 (0,105%)
  224: boss230414 [2] (France), €7,57 (0,105%)
  225: youns60 (France), €7,57 (0,105%)
  226: Phraedx (France), €7,57 (0,105%)
  227: doubleoffsuited (Ouzbékistan), €7,57 (0,105%)
  228: Mandal163 [2] (France), €7,57 (0,105%)
  229: GandimTJC1 (Portugal), €7,57 (0,105%)
  230: alaquecae10 [2] (Espagne), €7,57 (0,105%)
  231: jtiago95 (Portugal), €7,57 (0,105%)
  232: jerommmmm (France), €7,57 (0,105%)
  233: Ledgerouni (France), €7,57 (0,105%)
  234: MBARARICHARD (France), €7,57 (0,105%)
  235: marcou727 [2] (France), €7,57 (0,105%)
  236: elp4pym0m0 (France), €7,57 (0,105%)
  237: ercanijo666 (Espagne), €7,57 (0,105%)
  238: 666raul666 (Portugal), €7,57 (0,105%)
  239: FlorHS [2] (Portugal), €7,57 (0,105%)
  240: SIMGAEL (France), €7,57 (0,105%)
  241: Arnedo13 [2] (Espagne), €7,57 (0,105%)
  242: Johnny_Carvs (Portugal), €7,57 (0,105%)
  243: luxiful (France), €7,57 (0,105%)
  244: UncertaintySing (Guatemala), €7,57 (0,105%)
  245: Faquinha7 (Portugal), €7,57 (0,105%)
  246: noupyy83 [2] (France), €7,57 (0,105%)
  247: legolas6 (Espagne), €7,57 (0,105%)
  248: netcreativa (Espagne), €7,57 (0,105%)
  249: Ursão da Mamãe (Brésil), €7,57 (0,105%)
  250: Brigonch (France), €7,57 (0,105%)
  251: SintAAx62 (France), €7,57 (0,105%)
  252: Yanakin76 (France), €7,57 (0,105%)
  253: PTfabio89 [2] (France), €7,57 (0,105%)
  254: ccc1963 (Espagne), €7,57 (0,105%)
  255: PapaFox88 (Portugal), €7,57 (0,105%)
  256: PourquoiPas88 (France), €7,57 (0,105%)
  257: Mag7b (Espagne), €7,57 (0,105%)
  258: cala31194320 (France), €7,57 (0,105%)
  259: dafrazao [2] (France), €7,57 (0,105%)
  260: Stebec76 (France), €7,57 (0,105%)
  261: LenziLucas1 (Brésil), €7,57 (0,105%)
  262: dani&monyca (Espagne), €7,57 (0,105%)
  263: Eskalapon (Espagne), €7,57 (0,105%)
  264: david_7474 [2] (Espagne), €7,57 (0,105%)
  265: JACKY-DE-07 [2] (France), €7,57 (0,105%)
  266: ramzizou95360 (France), €7,57 (0,105%)
  267: Electrob1rd (Ukraine), €7,57 (0,105%)
  268: seflima [2] (Portugal), €7,57 (0,105%)
  269: templier01480 (France), €7,57 (0,105%)
  270: nuno_gsilva [2] (Portugal), €7,57 (0,105%)
  271: eltequito13 (France), €7,57 (0,105%)
  272: Tricoloore (France), €7,57 (0,105%)
  273: michaelB38600 (France), €7,57 (0,105%)
  274: 1punchgat (Espagne), €7,57 (0,105%)
  275: elkoki11 (France), €7,57 (0,105%)
  276: betty95100 (France), €7,57 (0,105%)
  277: renarddeshauts [2] (Réunion), €7,57 (0,105%)
  278: loveweed22 [2] (Espagne), €7,57 (0,105%)
  279: keops38230 (France), €7,57 (0,105%)
  280: delouz95 (France), €7,57 (0,105%)
  281: MORELAND999 (Espagne), €7,57 (0,105%)
  282: gollun22 [2] (Brésil), €7,57 (0,105%)
  283: Bodinh0 (Brésil), €7,57 (0,105%)
  284: fuerzayfe18v [2] (Espagne), €7,57 (0,105%)
  285: electrorober (Espagne), €7,57 (0,105%)
  286: R0bShOW (Brésil), €7,57 (0,105%)
  287: Batatao83 (Portugal), €7,57 (0,105%)
  288: enjoy69003 (France), €7,57 (0,105%)
  289: Ramarais (Portugal), €7,57 (0,105%)
  290: Dawöl (France), €7,57 (0,105%)
  291: molnia811 [2] (Espagne), €7,57 (0,105%)
  292: tarasderuga (Ukraine), €7,57 (0,105%)
  293: Travolta_537 [2] (Portugal), €7,57 (0,105%)
  294: matmafio77 (France), €7,57 (0,105%)
  295: BIH1979 (France), €7,57 (0,105%)
  296: checkback2020 (Portugal), €7,57 (0,105%)
  297: rolin-gallo [2] (Espagne), €7,57 (0,105%)
  298: emiliojjv [2] (Espagne), €7,57 (0,105%)
  299: jean-seb300575 (France), €7,57 (0,105%)
  300: elcholo999 (Espagne), €7,57 (0,105%)
  301: Avila212 (Espagne), €7,57 (0,105%)
  302: Ronii199 [2] (Espagne), €7,57 (0,105%)
  303: André Vaz1 (Portugal), €7,57 (0,105%)
  304: Aria44 (Espagne), €7,57 (0,105%)
  305: Rotormotors85 (Espagne), €7,57 (0,105%)
  306: Im_Billi0naire (Ukraine), 
  307: King_girl18 (Espagne), 
  308: masamuneyk (Espagne), 
  309: zasstar [2] (Espagne), 
  310: WaxxYourShot (France), 
  311: TY@R@94 (Espagne), 
  312: snoopk11 (France), 
  313: 8luffMoiPas (France), 
  314: reneezito way [2] (Brésil), 
  315: hoyelnino (Espagne), 
  316: Monstick (Espagne), 
  317: outch83 (France), 
  318: sebou83310 [2] (France), 
  319: FlávioMatias [2] (Portugal), 
  320: FJRC93 [2] (Portugal), 
  321: M.escobar01 (France), 
  322: gasifican868 (Espagne), 
  323: RubenCaza (Espagne), 
  324: carloscani (Espagne), 
  325: Makinthoss (Espagne), 
  326: Paco star03 (Espagne), 
  327: OffGrey (France), 
  328: chris88817 [2] (France), 
  329: eduvalla25 (Espagne), 
  330: Change Gryphon [2] (Brésil), 
  331: SoyonsZen [2] (France), 
  332: MERLICH555 (Kazakhstan), 
  333: chafih (France), 
  334: Ceronidas86 [2] (Espagne), 
  335: option348 (France), 
  336: romangie76 (France), 
  337: Vazaika777 (Ukraine), 
  338: alexpeluca39 (Espagne), 
  339: AbrazoDelOso (Espagne), 
  340: Fosayamen [2] (Espagne), 
  341: GRU€H4 (Pologne), 
  342: ssppeeddoo88 (Ukraine), 
  343: Pablitoo_79 (Espagne), 
  344: amonaliza (France), 
  345: SuelenZ (Brésil), 
  346: ClaudiaSufia (Portugal), 
  347: Pourqu0iPas [2] (France), 
  348: brieri (Espagne), 
  349: javierpm909 (Espagne), 
  350: Racinguis248 [2] (Espagne), 
  351: Coreos60 [2] (France), 
  352: alex98fd [2] (Espagne), 
  353: Napoles2023 (Portugal), 
  354: rasteiragp18 (Portugal), 
  355: pfonseca013 [2] (Portugal), 
  356: iflypkindoor [2] (France), 
  357: NoPassNo [2] (France), 
  358: dexter0791 (France), 
  359: Regg2020 (Ukraine), 
  360: mariorui2013 (Portugal), 
  361: ounón (Espagne), 
  362: Granjeia1 (Portugal), 
  363: pyroade (France), 
  364: pilipili02 (France), 
  365: TIGERLOU 007 (Portugal), 
  366: Work4Crush (France), 
  367: InfantKira (Espagne), 
  368: OLDBUKOWSKII [2] (Portugal), 
  369: ginkas63 (France), 
  370: WindowMac (Portugal), 
  371: samson75 [2] (France), 
  372: Eva_es (Bélarus), 
  373: moveis1969 [2] (Portugal), 
  374: ACRM86 (Portugal), 
  375: ximistero (France), 
  376: mumofseven9 (France), 
  377: MoggyPoon (Portugal), 
  378: xNoLimitfrx (France), 
  379: Secreud (Autriche), 
  380: JuliaRobles (Espagne), 
  381: 8goodboy (Espagne), 
  382: campbg (Portugal), 
  383: jonathanb1997 (Espagne), 
  384: A.Mirassol [2] (Portugal), 
  385: Retabernario (Espagne), 
  386: VinssoutIsBack [2] (France), 
  387: Poliptoto (Portugal), 
  388: Gringoout (France), 
  389: Montana97421 (Réunion), 
  390: ZanGusto (Irlande), 
  391: Matis1110 (France), 
  392: sasyspeed361 [2] (Espagne), 
  393: roombarca22 [2] (France), 
  394: SelectaLion (Portugal), 
  395: txendito (Espagne), 
  396: samiraferreira (Portugal), 
  397: dj dada57 (France), 
  398: rbritolas [2] (Portugal), 
  399: badoca7 (Portugal), 
  400: alextatoo69 [2] (France), 
  401: 1Unisex1 (Espagne), 
  402: SerhiySJ45 [2] (Espagne), 
  403: Reksmax (France), 
  404: destral (Espagne), 
  405: mario_cup2 [2] (Portugal), 
  406: Tag1999 (France), 
  407: ronoaoli (France), 
  408: durzzz [2] (Espagne), 
  409: smakovitch [2] (France), 
  410: naotiltes [2] (Portugal), 
  411: hannitaaspe (Espagne), 
  412: c.lopez_21 [2] (Espagne), 
  413: ale1327 (Espagne), 
  414: yagohcf (Espagne), 
  415: lioso185 (Espagne), 
  416: xiskeles25 (Espagne), 
  417: tazz fpt (France), 
  418: naan72 (Espagne), 
  419: cecile74 [2] (France), 
  420: bprpm (Portugal), 
  421: hakou626 (France), 
  422: MrsBernieMadoff [2] (France), 
  423: THERITE19 [2] (France), 
  424: baturro_wifix (Espagne), 
  425: Chehich97 (Bélarus), 
  426: RegularEV (Ukraine), 
  427: ze galote (Portugal), 
  428: KKSebas27 (Argentine), 
  429: DILTUDOUB (France), 
  430: sylvain 1067 [2] (France), 
  431: Parguelas xD (Espagne), 
  432: Oaza [2] (Portugal), 
  433: TheDwim (Espagne), 
  434: Yulss AA [2] (Espagne), 
  435: Kintaro_ooe (Portugal), 
  436: gamblerita [2] (Espagne), 
  437: ossatur (France), 
  438: cantegrel (France), 
  439: erjony150 (Espagne), 
  440: ninooot [2] (Espagne), 
  441: jymyfloid (Espagne), 
  442: joe1301 (France), 
  443: Kokolaka1 (Bélarus), 
  444: alvarez1989 (Espagne), 
  445: z NoeL_Do_Crack (Brésil), 
  446: vineelucas [2] (Brésil), 
  447: LeBiffleur57 (France), 
  448: NandoBR94 (Brésil), 
  449: sev0id (Portugal), 
  450: NMalato77 [2] (Portugal), 
  451: adriansitort (Espagne), 
