PokerStars Tournoi #3772952294, No Limit Hold'em
Super Satellite
Buy-in : €9.00/€1.00 EUR
249 joueurs
Dotation totale : €2241.00 EUR 
Tournoi cible #3771856270 Buy-in : €50.00 EUR
Tournoi commencé 03/07/2024 15:15:00 CET [03/07/2024 9:15:00 ET]

  1: 6vicmo6 (Espagne),  (qualifiés pour le tournoi cible)
  2: CaCbet (France),  (qualifiés pour le tournoi cible)
  3: Calhypso (Pologne),  (qualifiés pour le tournoi cible)
  4: Clonen a Roman (Espagne),  (qualifiés pour le tournoi cible)
  5: Combrassa (Espagne),  (qualifiés pour le tournoi cible)
  6: DiosLoki19 (Espagne),  (qualifiés pour le tournoi cible)
  7: GMontalvoT (Espagne),  (qualifiés pour le tournoi cible)
  8: Gisby511 (Espagne),  (qualifiés pour le tournoi cible)
  9: HEMERSON69 (Espagne),  (qualifiés pour le tournoi cible)
  10: KKingMatt [3] (France),  (qualifiés pour le tournoi cible)
  11: Loop918 [2] (Espagne),  (qualifiés pour le tournoi cible)
  12: Luichii8pya (Espagne),  (qualifiés pour le tournoi cible)
  13: NeoBlaze7 (Espagne),  (qualifiés pour le tournoi cible)
  14: NovaCarthago (Espagne),  (qualifiés pour le tournoi cible)
  15: TOHUBOHU302B (France),  (qualifiés pour le tournoi cible)
  16: TyinAdfanCy (Portugal),  (qualifiés pour le tournoi cible)
  17: arrate_plaza (Espagne),  (qualifiés pour le tournoi cible)
  18: ayiemma (Espagne),  (qualifiés pour le tournoi cible)
  19: azabache70 (Espagne),  (qualifiés pour le tournoi cible)
  20: casaretra [2] (France),  (qualifiés pour le tournoi cible)
  21: chente8 (Espagne),  (qualifiés pour le tournoi cible)
  22: custilhao (Portugal),  (qualifiés pour le tournoi cible)
  23: dany_rs (Espagne),  (qualifiés pour le tournoi cible)
  24: denercontreras4 (Espagne),  (qualifiés pour le tournoi cible)
  25: djo119 (France),  (qualifiés pour le tournoi cible)
  26: elocopit (Espagne),  (qualifiés pour le tournoi cible)
  27: flplopes (Portugal),  (qualifiés pour le tournoi cible)
  28: fourniertom (France),  (qualifiés pour le tournoi cible)
  29: isaacmc13 (Espagne),  (qualifiés pour le tournoi cible)
  30: jamessss03 (France),  (qualifiés pour le tournoi cible)
  31: jaumatik (Espagne),  (qualifiés pour le tournoi cible)
  32: joueur1967 (France),  (qualifiés pour le tournoi cible)
  33: manke pierda (Espagne),  (qualifiés pour le tournoi cible)
  34: manu3945 (France),  (qualifiés pour le tournoi cible)
  35: miriam1214 (Espagne),  (qualifiés pour le tournoi cible)
  36: pasticcione88 (Argentine),  (qualifiés pour le tournoi cible)
  37: pimax311 (France),  (qualifiés pour le tournoi cible)
  38: psychofIip (Espagne),  (qualifiés pour le tournoi cible)
  39: psychoman59 (France),  (qualifiés pour le tournoi cible)
  40: vendette007 (France),  (qualifiés pour le tournoi cible)
  41: xabieri111 (Espagne),  (qualifiés pour le tournoi cible)
  42: eZy T As (France),  (qualifiés pour le tournoi cible)
  43: Jonny Maly (Portugal),  (qualifiés pour le tournoi cible)
  44: Mr Strike-99 (Espagne),  (qualifiés pour le tournoi cible)
  45: parazozo (Espagne), €25,00
  46: FINOallaFINE978 (France), €16,00
  47: TocuAK (Portugal), 
  48: supervagabond11 (France), 
  49: AuVan59 (France), 
  50: loizo76x [2] (France), 
  51: zachro (Espagne), 
  52: espetinero19 (Espagne), 
  53: dover64 (Espagne), 
  54: gpn09asm (France), 
  55: ElKLaParte [2] (Espagne), 
  56: panrikero7883 [2] (Espagne), 
  57: mikeraffy (France), 
  58: orts29 (Espagne), 
  59: madoff_87 (Espagne), 
  60: fabess67760 (France), 
  61: DunDunDugan (Espagne), 
  62: guillemcarbu (Espagne), 
  63: BhDz-38 (France), 
  64: winneribiza (Espagne), 
  65: SelimBradley (France), 
  66: malva1989 (Espagne), 
  67: Ezekielmox (France), 
  68: Serecola (Espagne), 
  69: precisodeumnick (Brésil), 
  70: alexpavel1994 (Espagne), 
  71: suchaud01 (France), 
  72: Etacall (France), 
  73: dgddrtdtrdgf (Espagne), 
  74: vitolo_21 (Espagne), 
  75: stephanet1974 (France), 
  76: shadowhound75 (France), 
  77: thoniozstars (France), 
  78: benni47660 (Espagne), 
  79: rkangoo9 (Portugal), 
  80: elmolar (Espagne), 
  81: joniga15 (Espagne), 
  82: procrusto (Espagne), 
  83: jmpostigo (Espagne), 
  84: Lauwriss (France), 
  85: deividgilmar (Espagne), 
  86: Elizooo (France), 
  87: Silveira774 (Portugal), 
  88: Furao1991 (Portugal), 
  89: santiarrua (Espagne), 
  90: Vulf800 (Espagne), 
  91: MAITREYODA97125 (Guadeloupe), 
  92: Nick210558 (Espagne), 
  93: mazallus1 (Espagne), 
  94: EduKlof (Espagne), 
  95: joseeegg07 (Espagne), 
  96: PraiaSolMar (Portugal), 
  97: arrambla (Espagne), 
  98: fab.lae (France), 
  99: rrraisparta (Portugal), 
  100: cbhvet (Espagne), 
  101: gorilo (Espagne), 
  102: Bordet_Gengou (Espagne), 
  103: Fraquiper (Espagne), 
  104: puesyo697 (Espagne), 
  105: BOB7239 (France), 
  106: chaussdev07 (France), 
  107: domdom32845 (France), 
  108: remybart2 (France), 
  109: Psantos10 (Portugal), 
  110: rakgnard (France), 
  111: sachalexou (France), 
  112: TrepadorX (Portugal), 
  113: yamaya12 (France), 
  114: kaeleay (France), 
  115: partirtd (Portugal), 
  116: lemi_olfe77 (Portugal), 
  117: quaresma7777777 (Portugal), 
  118: portmay [4] (Espagne), 
  119: CinfaesPoker8 (Portugal), 
  120: madlar (France), 
  121: yvan711 (France), 
  122: MAJAPAPA-BUD (Espagne), 
  123: Sylcec70 (France), 
  124: Jorginhovv (Espagne), 
  125: finallyrixx [2] (Espagne), 
  126: Mandhril (France), 
  127: street681 (Portugal), 
  128: eSeFraNCiX (Espagne), 
  129: brurama63 (France), 
  130: Abs0olut (France), 
  131: braquo200 [2] (France), 
  132: Wäkkä (Espagne), 
  133: nightwoo (France), 
  134: ARC1993 (Portugal), 
  135: Vince Pks™ [2] (France), 
  136: portmay [3] (Espagne), 
  137: kyza uv tpk (France), 
  138: juanma271011 (Espagne), 
  139: AveCanora (Kazakhstan), 
  140: olinepapa (France), 
  141: jordi rod (Espagne), 
  142: Maximefm (France), 
  143: kARJE (Espagne), 
  144: Miltraire95 (France), 
  145: Noooe (Espagne), 
  146: Evan17137 (France), 
  147: juniperus30 (Espagne), 
  148: carlooslj [3] (Espagne), 
  149: ElKLaParte (Espagne), 
  150: maxstramgram (France), 
  151: stefanright (Espagne), 
  152: carlosnn1904 (Espagne), 
  153: joao viei825 (Portugal), 
  154: braquo200 (France), 
  155: Kyon83 [2] (Portugal), 
  156: jeje6925 (Réunion), 
  157: Y0 S0Y TU (Espagne), 
  158: frncisco60 (Portugal), 
  159: killofpok (France), 
  160: EbolaMyLove (Moldavie), 
  161: tristness (France), 
  162: vidinha46 (Portugal), 
  163: puntas88 (Espagne), 
  164: loizo76x (France), 
  165: Mijis29 (Espagne), 
  166: Javiigslan2424_ (Espagne), 
  167: conde512 (Portugal), 
  168: monteiro-jo (France), 
  169: 34jacky42 (France), 
  170: STEPHBARD (France), 
  171: MagoLesCro (France), 
  172: rizstyle (France), 
  173: labo97 (Espagne), 
  174: Lupion66 (Espagne), 
  175: BornamitA (Espagne), 
  176: Jo_mino5719 (France), 
  177: Vince Pks™ (France), 
  178: Buc3falo80 (Espagne), 
  179: cvc1962 (Espagne), 
  180: Xertaco (Espagne), 
  181: carlooslj [2] (Espagne), 
  182: Jehja74 (France), 
  183: artismen (Espagne), 
  184: cathy197103 (France), 
  185: Kyon83 (Portugal), 
  186: JMarcosSF27 (Portugal), 
  187: f.jose234 (Espagne), 
  188: misoyo (Espagne), 
  189: javinow1 (Espagne), 
  190: gerarmenvussa (France), 
  191: Missof34 (France), 
  192: Nikoleddu80 (France), 
  193: HighPetillas (Espagne), 
  194: nefta69 (Espagne), 
  195: Gintixxx (France), 
  196: fabrice03189 (Espagne), 
  197: Siierra14 (Espagne), 
  198: Boni444 (Espagne), 
  199: menton06 (France), 
  200: barbosa402 (Portugal), 
  201: Blackjackae8 [2] (Espagne), 
  202: KKingMatt [2] (France), 
  203: carlooslj (Espagne), 
  204: Loop918 (Espagne), 
  205: aisses (Espagne), 
  206: desbibao (France), 
  207: umgajonopoker (Portugal), 
  208: gipsy_lov211 (Espagne), 
  209: 93charly (France), 
  210: weii33 (Espagne), 
  211: lil maeke (Espagne), 
  212: sneun (France), 
  213: charlyleon92 (Espagne), 
  214: jahiercordoba (Espagne), 
  215: Alara28 (Espagne), 
  216: shootmenow25 (France), 
  217: Francis50739 (Portugal), 
  218: maryves (France), 
  219: kopiste (France), 
  220: elmariaxi [2] (Portugal), 
  221: panrikero7883 (Espagne), 
  222: Blackjackae8 (Espagne), 
  223: pablogl04 (Espagne), 
  224: KKingMatt (France), 
  225: Armadaji (Portugal), 
  226: davcmoi (France), 
  227: jaka2001 (Portugal), 
  228: nestes7 (Portugal), 
  229: dario6631 (France), 
  230: portmay [2] (Espagne), 
  231: Cidonchaa (Espagne), 
  232: stiloxq15 (Portugal), 
  233: michel310158 (France), 
  234: XElfliX (Espagne), 
  235: portmay (Espagne), 
  236: Sanina03 (Portugal), 
  237: titoandres (Espagne), 
  238: casaretra (France), 
