PokerStars Tournoi #3990619401, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
78 joueurs
Dotation totale : €70.20 EUR 
Tournoi cible #3990619329 Buy-in : €10.00 EUR
Tournoi commencé 13/04/2026 9:05:00 CET [13/04/2026 3:05:00 ET]

  1: Celestin02 (France),  (qualifiés pour le tournoi cible)
  2: Fat_Sum0 (France),  (qualifiés pour le tournoi cible)
  3: Javi_0803 (Espagne),  (qualifiés pour le tournoi cible)
  4: Matthieu3416 (France),  (qualifiés pour le tournoi cible)
  5: Roguito34574 (France),  (qualifiés pour le tournoi cible)
  6: psychoman59 (France),  (qualifiés pour le tournoi cible)
  7: zaka_donnie (Espagne),  (qualifiés pour le tournoi cible)
  8: Check7Norris (Espagne), €0,20
  9: PaScUaL 777 (Espagne), 
  10: faisca71 (Portugal), 
  11: parazozo (Espagne), 
  12: trentreznorr (France), 
  13: DID4G (France), 
  14: highlandman36 (France), 
  15: 29497 (Espagne), 
  16: AlberPokerM (Espagne), 
  17: Lylpilat (France), 
  18: TyRaS84 (Espagne), 
  19: ervillita0 (Espagne), 
  20: LCMR8419 (Espagne), 
  21: DATYCHAMP (France), 
  22: Iscodu02 (France), 
  23: braquo200 [2] (France), 
  24: Tonyus809 (Espagne), 
  25: gaulois57150 (France), 
  26: bea627272 (Espagne), 
  27: Lindsay208 (France), 
  28: garedu (Espagne), 
  29: juanpedro83 (Espagne), 
  30: rascavieja (Espagne), 
  31: LEGANES666MC (Espagne), 
  32: cam_lop97 (Espagne), 
  33: xavign (Espagne), 
  34: RGones [2] (Portugal), 
  35: Vmvm4 (Espagne), 
  36: Pinaffsoyri@ (France), 
  37: PraiaSolMar (Portugal), 
  38: kasufel (France), 
  39: homer19100 (France), 
  40: pelito2222 (France), 
  41: zallapo55 (Espagne), 
  42: MCcuisto (France), 
  43: Geosevilla (Espagne), 
  44: braquo200 (France), 
  45: RGones (Portugal), 
  46: NuzPT (Portugal), 
  47: carlosgs1971 (Espagne), 
  48: azor794 [2] (Espagne), 
  49: Astel2206 [2] (France), 
  50: azor794 (Espagne), 
  51: TraxeynN_ [2] (France), 
  52: DollarsTrump (France), 
  53: mariete14775 (Espagne), 
  54: kartiz14 (Espagne), 
  55: Ianbermejooo (Espagne), 
  56: Nukii515 (Portugal), 
  57: ruasya [2] (Espagne), 
  58: lohan56 (France), 
  59: Pinocchio1951 (Espagne), 
  60: Astel2206 (France), 
  61: KrimeaFrance (France), 
  62: rigelios1 [2] (Espagne), 
  63: Noray123 (Espagne), 
  64: rigelios1 (Espagne), 
  65: shakthi1974 (Portugal), 
  66: LUPANI (Espagne), 
  67: Nrth74 [2] (France), 
  68: isabruno51 (France), 
  69: icewax445 (Espagne), 
  70: TraxeynN_ (France), 
  71: Etienneg8 (France), 
  72: OCO_Chuub (Espagne), 
  73: Nrth74 (France), 
  74: letueur83000 (France), 
  75: JoelJSilva (Portugal), 
  76: locombia1207 (Espagne), 
  77: TKOMEC (France), 
  78: ruasya (Espagne), 

Vous avez terminé à la 1er place (éliminé lors de la main #260447597376).


