PokerStars Tournoi #3774043871, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
149 joueurs
Dotation totale : €134.10 EUR 
Tournoi cible #3774043802 Buy-in : €10.00 EUR
Tournoi commencé 08/07/2024 10:05:00 CET [08/07/2024 4:05:00 ET]

  1: 56chaca56 (France),  (qualifiés pour le tournoi cible)
  2: Bernito77 [2] (Espagne),  (qualifiés pour le tournoi cible)
  3: CaésarLg (France),  (qualifiés pour le tournoi cible)
  4: Marypic56 (France),  (qualifiés pour le tournoi cible)
  5: Riquiargelich (Espagne),  (qualifiés pour le tournoi cible)
  6: SimonTemple62 (Espagne),  (qualifiés pour le tournoi cible)
  7: albertule13 (Espagne),  (qualifiés pour le tournoi cible)
  8: bitingelbows11 (France),  (qualifiés pour le tournoi cible)
  9: jaumatik (Espagne),  (qualifiés pour le tournoi cible)
  10: kikinou147 (France),  (qualifiés pour le tournoi cible)
  11: pdjmochu (Espagne),  (qualifiés pour le tournoi cible)
  12: psychoman59 (France),  (qualifiés pour le tournoi cible)
  13: zenplay007 (France),  (qualifiés pour le tournoi cible)
  14: rascavieja (Espagne), €4,10
  15: ecuinas (Espagne), 
  16: drunkens (Espagne), 
  17: joueur195214 (France), 
  18: fannyvynnaf (Espagne), 
  19: djo119 (France), 
  20: tonyfont (Espagne), 
  21: MCB9435 (France), 
  22: mokoto21 (Portugal), 
  23: Waizro (France), 
  24: rulbana (France), 
  25: orts29 [2] (Espagne), 
  26: Bobosserie (France), 
  27: doom2929 (France), 
  28: RPHGuy (France), 
  29: laplad (France), 
  30: luca23051995 (France), 
  31: FiiletoFiish (France), 
  32: R3ND3Z-V0US (France), 
  33: Alexloi80 (Portugal), 
  34: anacate2 (Espagne), 
  35: xeric88 (France), 
  36: 51Peuch (France), 
  37: LaMomolle (France), 
  38: rizalpelu (Espagne), 
  39: braquo200 (France), 
  40: yves039 (France), 
  41: LEGANES666MC (Espagne), 
  42: andrus42 (Espagne), 
  43: lenetwizz (France), 
  44: kagouleur13 (France), 
  45: Joe_Lpk2608 [2] (Espagne), 
  46: gerar_fricke (Espagne), 
  47: DBG59 (France), 
  48: COCKTAIL990 (France), 
  49: Patrick5147 (France), 
  50: MrFahrenhei7 [2] (Espagne), 
  51: crystyan_123 (Espagne), 
  52: onchangerien (France), 
  53: Viper91800 (France), 
  54: AAPitAA (France), 
  55: Reptiliano00 (Espagne), 
  56: JONHY442 (France), 
  57: Sr.Fabio93 (Portugal), 
  58: J.F.GUTTIER (Espagne), 
  59: lilie0103 (France), 
  60: extrenard (France), 
  61: IanCallau499 [2] (Espagne), 
  62: J.Luis69731 (Espagne), 
  63: fumaweed1994 (Espagne), 
  64: Couserans09 (France), 
  65: WannaBReg (Portugal), 
  66: el.fer26 [2] (Espagne), 
  67: davidmayca (Espagne), 
  68: Doudou494949 (France), 
  69: Rodu78 (France), 
  70: O p p862 (Espagne), 
  71: krapat75 (France), 
  72: gonzals17 (Espagne), 
  73: kechakecha (France), 
  74: red_zonee (Espagne), 
  75: Frank123124 (Espagne), 
  76: ---blise---3 (France), 
  77: klarky85 (Espagne), 
  78: dimitard95 (France), 
  79: orts29 (Espagne), 
  80: IanCallau499 (Espagne), 
  81: desyy661 [2] (Espagne), 
  82: Bernito77 (Espagne), 
  83: raúlmartín5 (Espagne), 
  84: Juanjino1986 (Espagne), 
  85: PhoniqueBug (Espagne), 
  86: telloina (Espagne), 
  87: NikoNits1993 [2] (France), 
  88: SebLeBoss46 (France), 
  89: DOMIbon47 (France), 
  90: fredaco88 (Espagne), 
  91: dams56100 (France), 
  92: Adrykali (Espagne), 
  93: el.fer26 (Espagne), 
  94: dain77 (Espagne), 
  95: desyy661 (Espagne), 
  96: Joe_Lpk2608 (Espagne), 
  97: mistertintin (France), 
  98: Morini1972 (Espagne), 
  99: NikoNits1993 (France), 
  100: the irone175 (France), 
  101: Etna1110 [2] (France), 
  102: Rèm'SS (France), 
  103: Jc94700 (France), 
  104: aargos63 (France), 
  105: SimplyGimpy (France), 
  106: LeGrek77 (France), 
  107: gemi7575 (Espagne), 
  108: sullivan2116 (Espagne), 
  109: MrFahrenhei7 (Espagne), 
  110: Bourgz33 (France), 
  111: TheSnake3385 [2] (France), 
  112: Deepcys (France), 
  113: myjones (France), 
  114: BIRRASMAN2 (Espagne), 
  115: Doudoune543 (France), 
  116: Jorge10sp (Espagne), 
  117: GEGEB83 [2] (France), 
  118: vnis7111 (France), 
  119: mclovinBB (France), 
  120: SuperChic982 (France), 
  121: CTK_60 (Espagne), 
  122: piaf78christ (France), 
  123: pelluk99 [2] (Espagne), 
  124: Kikin288 (Espagne), 
  125: buz95240 (France), 
  126: dragone025 [2] (France), 
  127: Omniredmcn (Espagne), 
  128: GEGEB83 (France), 
  129: BimiBob (France), 
  130: dragone025 (France), 
  131: juaet (Espagne), 
  132: Alno95 (France), 
  133: jcosta30d (Portugal), 
  134: Juziii412 (France), 
  135: Tatuky20 (Espagne), 
  136: carloslova (Espagne), 
  137: TheSnake3385 (France), 
  138: JuanlusH (Espagne), 
  139: Etna1110 (France), 
  140: morilla15 (Espagne), 
  141: Bouberto (France), 
  142: pelluk99 (Espagne), 
  143: ThePureBlaze (Espagne), 
  144: jycroipa (France), 
  145: mccurry07 (Espagne), 
  146: break86x (Espagne), 
  147: killdan1719 (France), 
  148: S@locin (France), 
  149: winamax74100 (France), 

Vous avez terminé à la 1er place (éliminé lors de la main #251387473411).


