PokerStars Tournoi #3845055776, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
156 joueurs
Dotation totale : €140.40 EUR 
Tournoi cible #3845055630 Buy-in : €10.00 EUR
Tournoi commencé 18/01/2025 10:05:00 CET [18/01/2025 4:05:00 ET]

  1: 66scorpion83 (France), encore en lice
  2: AaxelRoss (France), encore en lice
  3: Blajoe34 (France), encore en lice
  4: Carmentoro79 (Espagne), encore en lice
  5: FishamanReggae (France), encore en lice
  6: MarcoDStar (Portugal), encore en lice
  7: RyAnG77 (Espagne), encore en lice
  8: Shamen34 (France), encore en lice
  9: Shaozuuuh (France), encore en lice
  10: UveCoop (Espagne), encore en lice
  11: canichon06 (France), encore en lice
  12: caribou0418 (France), encore en lice
  13: colin916 (France), encore en lice
  14: franjalv (Espagne), encore en lice
  15: jmzr497 (Espagne), encore en lice
  16: laurentbrian63 [2] (France), encore en lice
  17: loguacho [2] (Espagne), encore en lice
  18: nayara237 (Espagne), encore en lice
  19: nuca186 (Espagne), encore en lice
  20: pini_dadealer [2] (Espagne), encore en lice
  21: thedyas (France), encore en lice
  22: turolando (Espagne), encore en lice
  23: yaleroy (France), encore en lice
  24: zenplay007 (France), encore en lice
  25: psychoman59 (France), 
  26: Jamalade2 (France), 
  27: TONIFUNKY (Espagne), 
  28: luischinato (Espagne), 
  29: braquo200 (France), 
  30: fistro2222 (Espagne), 
  31: cpv26 (Espagne), 
  32: oscar19523 (Espagne), 
  33: Juansn83 (Espagne), 
  34: pamotogus (Espagne), 
  35: Rober El Von (Espagne), 
  36: Martenegro (Espagne), 
  37: valdemaris (Espagne), 
  38: monty t17 (Espagne), 
  39: lissou64 (France), 
  40: lspizzo (Espagne), 
  41: syana822 (Espagne), 
  42: yiyifloi (Espagne), 
  43: manu353465 (Espagne), 
  44: platini1412 (France), 
  45: farrapospt (Portugal), 
  46: Guiguidu60190 (France), 
  47: alarache8855 (France), 
  48: oliv1291 (France), 
  49: luisychesss (Espagne), 
  50: parazozo (Espagne), 
  51: cesarpapakiller (Espagne), 
  52: chanante007 (Espagne), 
  53: Fooxe (Espagne), 
  54: cp83700 (France), 
  55: Statispoker (France), 
  56: cherchachar3 (France), 
  57: moldoas22 (Espagne), 
  58: dragon197269 (Espagne), 
  59: eybory (Espagne), 
  60: Ñose (Espagne), 
  61: scyllax54710 (France), 
  62: OwenLyna (France), 
  63: Rosette2104 (France), 
  64: MHSC-J9 (France), 
  65: rekopik (France), 
  66: dreekso1 (France), 
  67: facfac69150 (France), 
  68: serped37 (Espagne), 
  69: berammaussur (Portugal), 
  70: jackmeskine48 (France), 
  71: Vicent1497 (Espagne), 
  72: _NEZLAMNYI_ (Ukraine), 
  73: thinkplus84 [2] (Espagne), 
  74: Nikoleddu80 [2] (France), 
  75: AAyoubKK (France), 
  76: saloa (Espagne), 
  77: laesdese [2] (Espagne), 
  78: neuer13 (France), 
  79: PauloACSousa (Portugal), 
  80: lebeautayel (France), 
  81: jordi599 (Espagne), 
  82: lotestars (Espagne), 
  83: Marrloh [2] (France), 
  84: Ge Low (Espagne), 
  85: zico14510 (France), 
  86: jeanloulou70 (France), 
  87: Nininono2330 (France), 
  88: ElMizou213 (France), 
  89: maxlaura81 (France), 
  90: yeray183 (Espagne), 
  91: PpLp75 (France), 
  92: angela198 (Espagne), 
  93: laesdese (Espagne), 
  94: zyxwy [2] (France), 
  95: SousaDstuff (Portugal), 
  96: javito03600 (Espagne), 
  97: enekope (Espagne), 
  98: Nikoleddu80 (France), 
  99: carolecbn (France), 
  100: isa7031 (France), 
  101: cdandu13 [2] (France), 
  102: Bolystr (France), 
  103: tonimachine (Espagne), 
  104: zyxwy (France), 
  105: 83691101 (France), 
  106: ibai14110 (Espagne), 
  107: cdandu13 (France), 
  108: calderon23c (Espagne), 
  109: cedricj22 (France), 
  110: jean dewasne (France), 
  111: cobra111664 (France), 
  112: Pirri 13 (Espagne), 
  113: corbeau088 (France), 
  114: maria2896 (Espagne), 
  115: graciasdani (Espagne), 
  116: requiem4567 (France), 
  117: Recklingh4usen (Espagne), 
  118: loulou.Al (France), 
  119: lulist14 (France), 
  120: fury125 (Espagne), 
  121: Zebrax01 (Espagne), 
  122: meriako88 (Espagne), 
  123: spcsgwyn (Espagne), 
  124: rafagrao (Espagne), 
  125: nadia56116 (France), 
  126: om59145160 (France), 
  127: DIEFON (Espagne), 
  128: miguelizz (Espagne), 
  129: sergiopm0510 [2] (Espagne), 
  130: carlos.s.59 (Espagne), 
  131: Marrloh (France), 
  132: PAPECH66690 (France), 
  133: omarch01 (Espagne), 
  134: Paquito Lado (Espagne), 
  135: Marcoss2001 (Espagne), 
  136: chokyfox (France), 
  137: tiagoerika (Portugal), 
  138: Anabel_MatGar [2] (Espagne), 
  139: Zaraking98 (Espagne), 
  140: Conde Teclio (Espagne), 
  141: Endivi22 (Espagne), 
  142: laurentbrian63 (France), 
  143: javi.pga (Espagne), 
  144: kurrillo84 (Espagne), 
  145: lulu44970 (France), 
  146: Nulho1975 (Portugal), 
  147: loguacho (Espagne), 
  148: danielmano22 (Portugal), 
  149: JJRRRR (Espagne), 
  150: Aniceto111 (Espagne), 
  151: thinkplus84 (Espagne), 
  152: Anabel_MatGar (Espagne), 
  153: pini_dadealer (Espagne), 
  154: IsaacBreso (Espagne), 
  155: sergiopm0510 (Espagne), 
  156: lourmel (France), 

Vous avez terminé à la 25e place (éliminé lors de la main #254428810285).


