PokerStars Tournoi #3583698808, No Limit Hold'em
Buy-in : €0.90/€0.10 EUR
640 joueurs
Dotation totale : €576.00 EUR 
Tournoi commencé 06/05/2023 15:45:00 CET [06/05/2023 9:45:00 ET]

  1: 0123456789DIX (France), encore en lice
  2: 4lexdpt (France), encore en lice
  3: 54777Coshida (France), encore en lice
  4: 66RERE [2] (France), encore en lice
  5: 92casir (Portugal), encore en lice
  6: ABals141 (Espagne), encore en lice
  7: ALEXmvpALEX (Lituanie), encore en lice
  8: AMissivier (France), encore en lice
  9: ARIEL836 (France), encore en lice
  10: ARRASOO [2] (Espagne), encore en lice
  11: ARTU1006 (France), encore en lice
  12: Adelphos77 (Espagne), encore en lice
  13: Agent007245 (France), encore en lice
  14: Ainhoa2503 (Espagne), encore en lice
  15: Andretozz13 (France), encore en lice
  16: ArAgOnEs_KO (Espagne), encore en lice
  17: Asier1977 (Espagne), encore en lice
  18: BATUSAI68 [2] (Espagne), encore en lice
  19: BNZdlt (France), encore en lice
  20: BRACK001847 [2] (France), encore en lice
  21: Bech55 (France), encore en lice
  22: Boffarr (France), encore en lice
  23: Borisvzdani (Espagne), encore en lice
  24: Burn108 (Espagne), encore en lice
  25: C0y0te_27 [2] (France), encore en lice
  26: COCO JAVI (Espagne), encore en lice
  27: Cacife362 (Brésil), encore en lice
  28: Cadarik (France), encore en lice
  29: Cam1791 (Espagne), encore en lice
  30: Capi218 (Espagne), encore en lice
  31: Caraps29 (Portugal), encore en lice
  32: Chire_84 (Espagne), encore en lice
  33: Chuletondebuey (Espagne), encore en lice
  34: Chust3r (Espagne), encore en lice
  35: Cmllf2312 [2] (France), encore en lice
  36: ContaTeste1000 (Portugal), encore en lice
  37: D Tasmania (Espagne), encore en lice
  38: DC86180 (France), encore en lice
  39: DDOIGT (France), encore en lice
  40: DILCALVO (Espagne), encore en lice
  41: Danielp1744 (Portugal), encore en lice
  42: David170714 (France), encore en lice
  43: Dje77450 (France), encore en lice
  44: DvaBBe (Ukraine), encore en lice
  45: Eiko360 (Espagne), encore en lice
  46: Ercrisortiz (Espagne), encore en lice
  47: EsQ_10 (Espagne), encore en lice
  48: FADISA [2] (Espagne), encore en lice
  49: FMR2019 (France), encore en lice
  50: FREDAMETZ (France), encore en lice
  51: FaustoBagauda [2] (Espagne), encore en lice
  52: FloO114 [2] (France), encore en lice
