PokerStars Tournoi #3519717864, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
234 joueurs
Dotation totale : €2000.00 EUR 
Tournoi commencé 31/12/2022 17:00:00 CET [31/12/2022 11:00:00 ET]

  1: $bango92 (France), encore en lice
  2: )I(ekan1985 (Bélarus), encore en lice
  3: 134922993 (France), encore en lice
  4: 14-1ball (France), encore en lice
  5: AAbalooKK (France), encore en lice
  6: AAchavflow [2] (Brésil), encore en lice
  7: AP-fenomenoO (France), encore en lice
  8: Abelard2 (France), encore en lice
  9: Akbrawn (Espagne), encore en lice
  10: AnthoninM (France), encore en lice
  11: Arconte_1 (Espagne), encore en lice
  12: Azarado007 (Portugal), encore en lice
  13: CaptKonstadt (France), encore en lice
  14: Carrasc 1986 (Espagne), encore en lice
  15: Chray1 (Espagne), encore en lice
  16: Cris1898 (Espagne), encore en lice
  17: Croow Sama (France), encore en lice
  18: Danigl_12 (Espagne), encore en lice
  19: Delprofi10 (Espagne), encore en lice
  20: Eosforo (Espagne), encore en lice
  21: FAPAL1 [2] (Espagne), encore en lice
  22: FVbj (France), encore en lice
  23: GENIE5555 (France), encore en lice
  24: GeorgeRed17 [2] (Espagne), encore en lice
  25: Graca13fcp (Portugal), encore en lice
  26: Greco#13770 (France), encore en lice
  27: IDFlX (France), encore en lice
  28: IMATUMII (France), encore en lice
  29: Innocente14nino (France), encore en lice
  30: Ivailo2k (Espagne), encore en lice
  31: JACKVS27 (France), encore en lice
  32: JohnnyMonay (Portugal), encore en lice
  33: KOPHULLIOH2021 (Kazakhstan), encore en lice
  34: Kajagoogoo969 (France), encore en lice
  35: Kalzonette (France), encore en lice
  36: LoyalFush (France), encore en lice
  37: Luck_ 3434 (Portugal), encore en lice
  38: MACC61 (Espagne), encore en lice
  39: MAYBE513 (France), encore en lice
  40: Mal Foch (France), encore en lice
  41: Marestphil (France), encore en lice
  42: MoLoKaaYYY (France), encore en lice
  43: Monstick (Espagne), encore en lice
  44: Mr. Sight Stone (Kazakhstan), encore en lice
  45: Mudvayn10 [2] (Portugal), encore en lice
  46: Myshav (France), encore en lice
  47: Napoles2023 (Portugal), encore en lice
  48: Nina2020220 (Portugal), encore en lice
  49: NoPassNo (France), encore en lice
  50: OGAIT312 (Portugal), encore en lice
  51: Oronzo26sg (France), encore en lice
  52: PALMELA970 (Portugal), encore en lice
  53: Panama197501 (France), encore en lice
  54: PedrinhoHaze (Portugal), encore en lice
  55: Pouder4 (France), encore en lice
  56: Reyksheep (France), encore en lice
  57: Romestant (France), encore en lice
  58: Rtx28 (Espagne), encore en lice
  59: Rulon&EVRO (Ukraine), encore en lice
  60: SIMV018 (Portugal), encore en lice
  61: Soyuz67 (France), encore en lice
  62: SpikeBloom (Portugal), encore en lice
  63: Takafolder (France), encore en lice
  64: UncertaintySing (Guatemala), encore en lice
  65: WilEveryHand (Portugal), encore en lice
  66: Yanakin76 (France), encore en lice
  67: aggressivepl (Portugal), encore en lice
  68: ale1327 (Espagne), encore en lice
  69: alexiscubill (Espagne), encore en lice
  70: amandis_poker (Espagne), encore en lice
  71: anibio (Guadeloupe), encore en lice
  72: aprendis79 (Portugal), encore en lice
  73: arolins (Espagne), encore en lice
  74: benjamim4321 (Portugal), encore en lice
  75: betty95100 [2] (France), encore en lice
  76: bettyb013 (France), encore en lice
  77: bikinipower (Espagne), encore en lice
  78: blackminou13 (France), encore en lice
  79: bradyal35 (France), encore en lice
  80: brunobexiga (Portugal), encore en lice
  81: bugeag23 (Espagne), encore en lice
  82: calvo..881 (Espagne), encore en lice
  83: camaronmarly (Espagne), encore en lice
  84: camell2 (Espagne), encore en lice
  85: cecacle (France), encore en lice
  86: cervalon (Espagne), encore en lice
  87: chance44300 (France), encore en lice
  88: chanceuse59 (France), encore en lice
  89: charruAAdog (Espagne), encore en lice
  90: chipslead559 (France), encore en lice
  91: crazyfred02 (France), encore en lice
  92: crisvillegas (Espagne), encore en lice
  93: cyanures [2] (France), encore en lice
  94: dani201513 (Portugal), encore en lice
  95: darkyjolie17 (Ukraine), encore en lice
  96: davgoga21 (Espagne), encore en lice
  97: dedess93 (France), encore en lice
  98: deudeulofeu (Espagne), encore en lice
  99: dfrx1982 (France), encore en lice
  100: dimus34 [2] (France), encore en lice
  101: djoko37 (France), encore en lice
  102: dp sygula [2] (Portugal), encore en lice
  103: edupaixao23 (Portugal), encore en lice
  104: elsoviet (France), encore en lice
  105: eulboubourse (France), encore en lice
  106: fallou-cimo (France), encore en lice
  107: ferleyun [2] (Espagne), encore en lice
  108: fff68 (France), encore en lice
  109: frankmas91 (Espagne), encore en lice
  110: frantaxi (Espagne), encore en lice
  111: g1rlsAreSolved (Kazakhstan), encore en lice
  112: garrote14 (Espagne), encore en lice
  113: hom3r114 x (France), encore en lice
  114: huvelin (France), encore en lice
  115: jafosterdm (Portugal), encore en lice
  116: jaro521 (Espagne), encore en lice
  117: jesusdbm (Espagne), encore en lice
  118: johannap27 [2] (France), encore en lice
  119: joinx'101 (Portugal), encore en lice
  120: jorgecostadpc (Portugal), encore en lice
  121: jose blonb (France), encore en lice
  122: k.jackseller (France), encore en lice
  123: kamorro70 (Espagne), encore en lice
  124: kevaboay (France), encore en lice
  125: laidouni30100 (France), encore en lice
  126: le testament (France), encore en lice
  127: lebellifontain (France), encore en lice
  128: leinadj (Portugal), encore en lice
  129: loumig (France), encore en lice
  130: malatxo5 (Espagne), encore en lice
  131: mathieulan (France), encore en lice
  132: matmafio77 (France), encore en lice
  133: merleyn666 [2] (France), encore en lice
  134: mikeso99 (Espagne), encore en lice
  135: moll11 (Espagne), encore en lice
  136: nepasmanger6jus (Kazakhstan), encore en lice
  137: notisela (Espagne), encore en lice
  138: noupyy83 (France), encore en lice
  139: não é size bet (Brésil), encore en lice
  140: ooOhhhPinaise (France), encore en lice
  141: pacificdream [2] (France), encore en lice
  142: papaenzodu28 (France), encore en lice
  143: papeita (Espagne), encore en lice
  144: papy95100 (France), encore en lice
  145: paulux31 (France), encore en lice
  146: pistonazu [2] (Espagne), encore en lice
  147: pjf1966 [2] (Portugal), encore en lice
  148: polaknico (France), encore en lice
  149: pouic333 (France), encore en lice
  150: prady12 (France), encore en lice
  151: renacuajo111 (Espagne), encore en lice
  152: retos94 [2] (Espagne), encore en lice
  153: rico27240 (France), encore en lice
  154: robert97423 (Réunion), encore en lice
  155: rooniedu31 (France), encore en lice
  156: roro44180 (France), encore en lice
  157: salsky (Espagne), encore en lice
  158: salvaprieto (Espagne), encore en lice
  159: sarre180 (France), encore en lice
  160: sasyspeed361 (Espagne), encore en lice
  161: sebastien0407 (France), encore en lice
  162: sergioani0428 (Portugal), encore en lice
  163: sir.aitor11 (Espagne), encore en lice
  164: stooggy (France), encore en lice
  165: sunshinagain (France), encore en lice
  166: sweepy74 (Réunion), encore en lice
  167: tarkov2017 (Portugal), encore en lice
  168: varcoelho (Portugal), encore en lice
  169: velvet4468 (Espagne), encore en lice
  170: vr46damon (France), encore en lice
  171: xMICMAC [2] (France), encore en lice
  172: xamuel666 [2] (Portugal), encore en lice
  173: yavik92 (Ukraine), encore en lice
  174: yescode19 [2] (France), encore en lice
  175: zzzzzzau (Portugal), encore en lice
  176: psychoman59 [2] (France), 
  177: Manoushad (France), 
  178: JulienCorcoran [2] (France), 
  179: eduuron (Espagne), 
  180: Sharky19110 (France), 
  181: maxoo-lefou (France), 
  182: pjf1966 (Portugal), 
  183: JulienCorcoran (France), 
