PokerStars Tournoi #3527082219, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1202 joueurs
Dotation totale : €6000.00 EUR 
Tournoi commencé 11/01/2023 17:00:00 CET [11/01/2023 11:00:00 ET]

  1: $pekt0r1 (Bélarus), encore en lice
  2: $ventura$899 (Espagne), encore en lice
  3: .maarcusOG [2] (Espagne), encore en lice
  4: 03Arce (Brésil), encore en lice
  5: 1$11DUR (Espagne), encore en lice
  6: 10redingtontomy (Espagne), encore en lice
  7: 11ooduplica (Argentine), encore en lice
  8: 1GaLo2 (France), encore en lice
  9: 1NorthStar1 (Portugal), encore en lice
  10: 1nddio (Portugal), encore en lice
  11: 1ng3n1us4u (France), encore en lice
  12: 21051978 [2] (Portugal), encore en lice
  13: 27nerub (Portugal), encore en lice
  14: 555orest (Ukraine), encore en lice
  15: 666raul666 [2] (Portugal), encore en lice
  16: 66RERE (France), encore en lice
  17: 72zzzzz (Portugal), encore en lice
  18: 81 laplume (France), encore en lice
  19: 974gangster974 (France), encore en lice
  20: 9urano (Portugal), encore en lice
  21: ABRAAKADABRA (France), encore en lice
  22: ABeni10 [2] (Espagne), encore en lice
  23: AFPLS (Espagne), encore en lice
  24: AK QQ JJ (Espagne), encore en lice
  25: ALEXmvpALEX (Lituanie), encore en lice
  26: ALPHOUETTE61 [2] (France), encore en lice
  27: AN1964gambler [2] (Portugal), encore en lice
  28: Acinonyx 2.0 (Portugal), encore en lice
  29: AgentD77 (France), encore en lice
  30: Agh4theZb0us3 (France), encore en lice
  31: AlexKrupnov (Ukraine), encore en lice
  32: AlexRAPANUI (Espagne), encore en lice
  33: AloAloe11 (Bélarus), encore en lice
  34: AlvaroRG11 (Espagne), encore en lice
  35: Am0x (Espagne), encore en lice
  36: AmbasadorPro (Ukraine), encore en lice
  37: Andgie50913 (France), encore en lice
  38: Andreaytoti (Espagne), encore en lice
  39: Andrjey7777 (Ukraine), encore en lice
  40: AnthoninM [2] (France), encore en lice
  41: Arconte_1 (Espagne), encore en lice
  42: Audryck2011 (France), encore en lice
  43: BWhaleroos (Finlande), encore en lice
  44: Baboulinet77 (France), encore en lice
  45: Bahhze (Portugal), encore en lice
  46: BalanceTonAK (France), encore en lice
  47: Ballack1322 (Brésil), encore en lice
  48: Bambuk09 (Ukraine), encore en lice
  49: BandoleroKB9 (Espagne), encore en lice
  50: Baslatien (France), encore en lice
  51: Bastif78 (France), encore en lice
  52: BenRuu10 (Espagne), encore en lice
  53: BenVietto (Moldavie), encore en lice
  54: Benoît S (France), encore en lice
  55: Bens DTC (France), encore en lice
  56: BionOgurcov (Ukraine), encore en lice
  57: BlueCover (Espagne), encore en lice
  58: BrazaPT03 [2] (Portugal), encore en lice
  59: Bronsonwy [2] (Portugal), encore en lice
  60: C3NNC3 (Portugal), encore en lice
  61: CHICLERO (Espagne), encore en lice
  62: CHINOxiaoli (Espagne), encore en lice
  63: CMBCosta [2] (Portugal), encore en lice
  64: CRACKTONY (Espagne), encore en lice
  65: Captain49130 (France), encore en lice
  66: CarloosAM (Brésil), encore en lice
  67: Carlos 7777 (Espagne), encore en lice
  68: CarrapichoII (Brésil), encore en lice
  69: Catricina (Portugal), encore en lice
  70: Cflakoo (Espagne), encore en lice
  71: Change Gryphon [2] (Brésil), encore en lice
  72: ChiflyAtk (Espagne), encore en lice
  73: Chogan57Alex (France), encore en lice
  74: CocasFlush (Portugal), encore en lice
  75: Coin97 (Espagne), encore en lice
  76: ComeSaySry (Bélarus), encore en lice
  77: Cris cervera (Espagne), encore en lice
  78: DCBack17 (Portugal), encore en lice
  79: DIMI_YOVI (Espagne), encore en lice
  80: DISTRAIDA69 [2] (Espagne), encore en lice
  81: DMB_Eduardo (Portugal), encore en lice
  82: DOMINADOR713 (Portugal), encore en lice
  83: DRVR_20 (Portugal), encore en lice
  84: Dafolhaseca (Portugal), encore en lice
  85: DaisyStick (Portugal), encore en lice
  86: Dani.Feb1985 (Espagne), encore en lice
  87: DanielinTHC (Espagne), encore en lice
  88: Danigl_12 (Espagne), encore en lice
  89: Darky974 (Réunion), encore en lice
  90: DavGomez [2] (Portugal), encore en lice
  91: DeMarDeRozan14 [2] (Portugal), encore en lice
  92: DelCarmo10 (Portugal), encore en lice
  93: Delprofi10 [2] (Espagne), encore en lice
  94: Detarro (Espagne), encore en lice
  95: DiGaReI (Portugal), encore en lice
  96: Diamont1984 (Guyane française), encore en lice
  97: Diogenesctkt (Espagne), encore en lice
  98: DiogoPoker13 (Portugal), encore en lice
  99: Djay_P1990 (Portugal), encore en lice
  100: Doutorsp70 [2] (Portugal), encore en lice
  101: Durable162 (Bélarus), encore en lice
  102: EDI1979pl (Irlande), encore en lice
  103: EVPLUS92 (France), encore en lice
  104: Efrax (Espagne), encore en lice
  105: El Luismas [2] (Espagne), encore en lice
  106: ElBoss Patrão (Portugal), encore en lice
  107: Eliovan20 (Brésil), encore en lice
  108: Engatsac01 (France), encore en lice
  109: Espaniol9999 (Mexique), encore en lice
  110: Espinavfc (Portugal), encore en lice
  111: Eva_es (Bélarus), encore en lice
  112: FANETNAT [2] (France), encore en lice
  113: FILETOFISH34 (France), encore en lice
  114: FJRC93 (Portugal), encore en lice
  115: FagnerRC (Brésil), encore en lice
  116: FakerPoker16 [2] (Espagne), encore en lice
  117: Faquinha7 (Portugal), encore en lice
  118: FarinhaMcqueen (Portugal), encore en lice
  119: FeelsGoooodman (France), encore en lice
  120: Feexou (France), encore en lice
  121: FerD242 (Espagne), encore en lice
  122: Fidelio7773 (Espagne), encore en lice
  123: FigoFigueiredo (Brésil), encore en lice
  124: FlimsonES (Viêt Nam), encore en lice
  125: FlorHS (Portugal), encore en lice
  126: Floweme (Espagne), encore en lice
  127: Fontao1922 (Portugal), encore en lice
  128: Foskyy (Espagne), encore en lice
  129: FrAwtz [2] (Brésil), encore en lice
  130: FumetaMack77 (Espagne), encore en lice
  131: Fábio09 (Portugal), encore en lice
  132: G.R.N.35 [2] (Ukraine), encore en lice
  133: GAOLIVE974 (Réunion), encore en lice
  134: GENIE5555 (France), encore en lice
  135: GLYOURLIFE (Brésil), encore en lice
  136: GUSTEMS1985 (Espagne), encore en lice
  137: Gagarunadora (Brésil), encore en lice
  138: Gen0.66 (France), encore en lice
  139: GigaChad90 (Portugal), encore en lice
  140: Giiannii1999 (Espagne), encore en lice
  141: GimeMyGoldBack (Brésil), encore en lice
  142: GioVs$s (Brésil), encore en lice
  143: Gizeh_Win (France), encore en lice
  144: GkVss (Brésil), encore en lice
  145: GorDoMnesota (Espagne), encore en lice
  146: Gra$quet (Costa Rica), encore en lice
  147: HUB7009 (France), encore en lice
  148: Haaanbully (France), encore en lice
  149: HellMomow [2] (France), encore en lice
  150: Hello BoB:D (Bélarus), encore en lice
  151: HisokaQQ (Brésil), encore en lice
  152: HuFeRe (Espagne), encore en lice
  153: INSOMNIA390 (Ukraine), encore en lice
  154: Im Saitama (Portugal), encore en lice
  155: Im_Billi0naire (Ukraine), encore en lice
  156: Intruzzo [2] (Espagne), encore en lice
  157: Invicto1893 (Portugal), encore en lice
  158: Isadiva350 (France), encore en lice
  159: Ius-Money [2] (Portugal), encore en lice
  160: Ivanov814 (Espagne), encore en lice
  161: JAAKONRIVER (France), encore en lice
  162: JACKY-DE-07 (France), encore en lice
  163: JJJosh84 (France), encore en lice
  164: JMD006 (France), encore en lice
  165: Jaimestm99 (Espagne), encore en lice
  166: Javi_Marri (Espagne), encore en lice
  167: JedisNon (France), encore en lice
  168: JerezOAK (Brésil), encore en lice
  169: Jesusro10 (Espagne), encore en lice
  170: Jeylon (Espagne), encore en lice
  171: JkraKTas (France), encore en lice
  172: JoaoMarcelo93 (Brésil), encore en lice
  173: Jokz C [2] (Portugal), encore en lice
  174: JosseCP (Espagne), encore en lice
  175: JuanRamonDur [2] (Espagne), encore en lice
  176: Junior14600 (France), encore en lice
  177: KETprophet [2] (Portugal), encore en lice
  178: KKarlesxic (Espagne), encore en lice
  179: KORAK03 (France), encore en lice
  180: KRUSH<3 (Ukraine), encore en lice
  181: KRYSS141 (France), encore en lice
  182: Kenuc19 (Portugal), encore en lice
  183: Keson44140 (France), encore en lice
  184: Kev1elity (France), encore en lice
  185: Khrystyna404 [2] (France), encore en lice
  186: Kicionas3 (Lituanie), encore en lice
  187: KingJCBrito [2] (Brésil), encore en lice
  188: KingOfGutshot (Brésil), encore en lice
  189: KingoldchainsJR (France), encore en lice
  190: Kingtuga36 (Portugal), encore en lice
  191: L'irishdud78 (France), encore en lice
  192: LADAFE444 (Argentine), encore en lice
  193: LALBATROS68 [2] (France), encore en lice
  194: LMRPokerstar (Portugal), encore en lice
  195: LOULOUFX (France), encore en lice
  196: LaBomboneraLate [2] (Argentine), encore en lice
  197: LaFrappeA [2] (France), encore en lice
  198: Labrik420 (France), encore en lice
  199: Lacouture.R [2] (Espagne), encore en lice
  200: LakeOwner (Ukraine), encore en lice
  201: Lakies88 (France), encore en lice
  202: Lambwalker13 (Portugal), encore en lice
  203: Lasainteveine (France), encore en lice
  204: LeDom66 (France), encore en lice
  205: LeGrandTony (France), encore en lice
  206: Lemonize27 (Portugal), encore en lice
  207: Lipinho1995 (Portugal), encore en lice
  208: Litos1998 (Espagne), encore en lice
  209: Lkonka [2] (Portugal), encore en lice
  210: LoMask (Brésil), encore en lice
  211: Lookatmybutt (Arménie), encore en lice
  212: Lopantezz (Portugal), encore en lice
  213: M.alonso23 [2] (Espagne), encore en lice
  214: MC.BouBou69 (France), encore en lice
  215: MERLICH555 (Kazakhstan), encore en lice
  216: MFTM2828 (Portugal), encore en lice
  217: MMFR50 [2] (Portugal), encore en lice
