PokerStars Tournoi #3519717767, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1554 joueurs
Dotation totale : €6993.00 EUR 
Tournoi commencé 29/12/2022 17:00:00 CET [29/12/2022 11:00:00 ET]

  1: # BRUX010 # [2] (Brésil), encore en lice
  2: )I(ekan1985 [2] (Bélarus), encore en lice
  3: 1$11DUR (Espagne), encore en lice
  4: 10redingtontomy [2] (Espagne), encore en lice
  5: 1NorthStar1 (Portugal), encore en lice
  6: 44tof4444 (France), encore en lice
  7: 666raul666 [2] (Portugal), encore en lice
  8: 9mario93 (Espagne), encore en lice
  9: @larol@50 (France), encore en lice
  10: @zagor@za [2] (Espagne), encore en lice
  11: A.camporesi (France), encore en lice
  12: AAchavflow [2] (Brésil), encore en lice
  13: AAlvarit0 [2] (Espagne), encore en lice
  14: AFSMelo (Portugal), encore en lice
  15: AHMJ888 [2] (France), encore en lice
  16: ALEXmvpALEX (Lituanie), encore en lice
  17: Adriangon88 (Espagne), encore en lice
  18: AeOUI (France), encore en lice
  19: AgentD77 (France), encore en lice
  20: Aipeyo [2] (Espagne), encore en lice
  21: Alexis222298 [2] (France), encore en lice
  22: AntonioRamos (Espagne), encore en lice
  23: Attuirmãd4_pt (Portugal), encore en lice
  24: Axl1994 (Portugal), encore en lice
  25: B757200 (Espagne), encore en lice
  26: BARJAVEL75 (France), encore en lice
  27: BOTE82 (Espagne), encore en lice
  28: Bal5o [2] (France), encore en lice
  29: BigNops (France), encore en lice
  30: Black_Motya_07 (Bélarus), encore en lice
  31: BridgeNine (France), encore en lice
  32: Bud Is Life (Brésil), encore en lice
  33: Chabin60! (France), encore en lice
  34: Chameleon_ua (Ukraine), encore en lice
  35: CheckRyze (Espagne), encore en lice
  36: Ciarnor_AA (Espagne), encore en lice
  37: CrabeAnanas (France), encore en lice
  38: Daniviev [2] (Espagne), encore en lice
  39: DavidLiliana86 (Portugal), encore en lice
  40: Dawöl (France), encore en lice
  41: DelCarmo10 (Portugal), encore en lice
  42: Delprofi10 (Espagne), encore en lice
  43: DiegoToledoo [2] (Portugal), encore en lice
  44: DiogoPoker13 [2] (Portugal), encore en lice
  45: DiogoSerra77 (Portugal), encore en lice
  46: Dr0b0vich0k (Kazakhstan), encore en lice
  47: ElMarquito18 (Portugal), encore en lice
  48: Ementasb (Portugal), encore en lice
  49: EmirDuriu (Portugal), encore en lice
  50: Eraikitzaile (Espagne), encore en lice
  51: Espinavfc (Portugal), encore en lice
  52: FREDEASY93 (France), encore en lice
  53: Factoraureo [2] (Espagne), encore en lice
  54: Fernan45. [2] (Espagne), encore en lice
  55: Flavi0_Pt (Portugal), encore en lice
  56: Granvillains (France), encore en lice
  57: GsharkBR (Brésil), encore en lice
  58: Hanouka23b [2] (France), encore en lice
  59: IDFlX (France), encore en lice
  60: IdenN (Portugal), encore en lice
  61: IoveBBigstacks (France), encore en lice
  62: Isac22isac (Espagne), encore en lice
  63: Isadiva350 (France), encore en lice
  64: J.Chico183 (Espagne), encore en lice
  65: JVVV90 (Espagne), encore en lice
  66: Jack O'Hamiz (France), encore en lice
  67: Javierinho45 (Espagne), encore en lice
  68: JimmyMVP (Ukraine), encore en lice
  69: JoaoMarcelo93 (Brésil), encore en lice
  70: Joko Bonito (Espagne), encore en lice
  71: Jomun67100 (France), encore en lice
  72: JosePaia (Portugal), encore en lice
  73: Juanx1194 [2] (Espagne), encore en lice
  74: Julioluislol [2] (Portugal), encore en lice
  75: KeFF33AA (France), encore en lice
  76: Kisto88 [2] (France), encore en lice
  77: LaytonPT (Portugal), encore en lice
  78: LeBiffleur57 (France), encore en lice
  79: Limaupi (Espagne), encore en lice
  80: Lipinho1995 (Portugal), encore en lice
  81: Luck_ 3434 (Portugal), encore en lice
  82: Majet_Tolex (France), encore en lice
  83: Makinthoss (Espagne), encore en lice
  84: Mandal163 (France), encore en lice
  85: Maryamnueve (Espagne), encore en lice
  86: Mené10 (Espagne), encore en lice
  87: MerciHM (France), encore en lice
  88: Mikaieul [2] (France), encore en lice
  89: Mr.Henri85 [2] (Portugal), encore en lice
  90: Nikntnc (Bélarus), encore en lice
  91: Nostradamus73 [2] (Espagne), encore en lice
  92: PEDETELUCIDO (Espagne), encore en lice
  93: PKSane (Portugal), encore en lice
  94: Pardal#ES77 (Brésil), encore en lice
  95: ParedesParadise (France), encore en lice
  96: PedroATP (Portugal), encore en lice
  97: Peneirinh@13 (Portugal), encore en lice
  98: PerfectGardien [2] (France), encore en lice
  99: Pouder4 (France), encore en lice
  100: Pszysienznyy (Brésil), encore en lice
  101: RUSHUNG (France), encore en lice
  102: Racinguis248 (Espagne), encore en lice
  103: Ramarais [2] (Portugal), encore en lice
  104: Rastafari79s (France), encore en lice
  105: Readmylips14 [2] (Portugal), encore en lice
  106: Ren.Vass (France), encore en lice
  107: Rfkop (France), encore en lice
  108: Ricardo25552 (Portugal), encore en lice
  109: Roll4Free53 (Portugal), encore en lice
  110: Rui Silva133 (Portugal), encore en lice
  111: RusGti (Espagne), encore en lice
  112: SETA244 (Espagne), encore en lice
  113: SP Shugyosha (Espagne), encore en lice
  114: SPÑtamara (Espagne), encore en lice
  115: SWANEVA27 [2] (France), encore en lice
  116: SalSeth (France), encore en lice
  117: Serlopsan (Espagne), encore en lice
  118: Somnus777 (Réunion), encore en lice
  119: SoyPadel.Set (Espagne), encore en lice
  120: TheDocR [2] (France), encore en lice
  121: TheKraken77 (Portugal), encore en lice
  122: TheRubio21 (Espagne), encore en lice
  123: Theo972Win (France), encore en lice
  124: Tiago.-R296 (Portugal), encore en lice
  125: TorrasqueCR (Costa Rica), encore en lice
  126: Travalkar7 [2] (France), encore en lice
  127: Trojmangea (Andorre), encore en lice
  128: Ursão da Mamãe (Brésil), encore en lice
  129: VSR83 (France), encore en lice
  130: VctemoA? (Brésil), encore en lice
  131: Whitedagleki1 (Kazakhstan), encore en lice
  132: Wiiiiiiiiiiiii (Brésil), encore en lice
  133: WindowMac (Portugal), encore en lice
  134: WolvesMasters (France), encore en lice
  135: XeLz555 [2] (Portugal), encore en lice
  136: YannickBBman [2] (France), encore en lice
  137: Yulss AA (Espagne), encore en lice
  138: Zidanou71 (France), encore en lice
  139: _voltuja89_ [2] (Portugal), encore en lice
  140: acrom288 (Espagne), encore en lice
  141: adribercy (Espagne), encore en lice
  142: adriiicruzz99 (Espagne), encore en lice
  143: alainpe (Espagne), encore en lice
  144: amanciojuan11 (Espagne), encore en lice
  145: aprendis79 (Portugal), encore en lice
  146: asaskkkk (France), encore en lice
  147: atom266 (Espagne), encore en lice
  148: bASiTEN_12 (France), encore en lice
  149: badoca7 [2] (Portugal), encore en lice
  150: balou28604 (France), encore en lice
  151: banga210 (Brésil), encore en lice
  152: bbfilipa (Portugal), encore en lice
  153: belg522 (Espagne), encore en lice
  154: bercikusek (Pologne), encore en lice
  155: berger70 (Espagne), encore en lice
  156: berru89 (France), encore en lice
  157: bicho pal997 (Espagne), encore en lice
  158: bigadlan (France), encore en lice
  159: burunda (Espagne), encore en lice
  160: calolo1979 (Espagne), encore en lice
  161: cedstl [2] (France), encore en lice
  162: cervalon (Espagne), encore en lice
  163: chanceuse59 (France), encore en lice
  164: chopperdevil (France), encore en lice
  165: cornetin (Espagne), encore en lice
  166: crim666 (Espagne), encore en lice
  167: danikiko (Espagne), encore en lice
  168: danimorcillo (Espagne), encore en lice
  169: danweed2318 (Espagne), encore en lice
  170: davgoga21 (Espagne), encore en lice
  171: david5vi (Espagne), encore en lice
  172: daviddsr30 [2] (Espagne), encore en lice
  173: davidoff066 (France), encore en lice
  174: denis2006xx [2] (Espagne), encore en lice
  175: djongadorrrrr (Portugal), encore en lice
