PokerStars Tournoi #3850785063, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
85 joueurs
Dotation totale : €76.50 EUR 
Tournoi cible #3850785042 Buy-in : €10.00 EUR
Tournoi commencé 24/01/2025 10:05:00 CET [24/01/2025 4:05:00 ET]

  1: 2holeinone2 (Espagne), encore en lice
  2: Acrew 90-210 (Espagne), encore en lice
  3: Alain0203 (France), encore en lice
  4: BobyJo84 (France), encore en lice
  5: Elfouino44 (France), encore en lice
  6: Ewmai (France), encore en lice
  7: Famulen (France), encore en lice
  8: Gootosleep88 (Portugal), encore en lice
  9: Hasardprogramme (France), encore en lice
  10: Jijimann (Espagne), encore en lice
  11: KAFall (Espagne), encore en lice
  12: Karlushnika [2] (Espagne), encore en lice
  13: MVPoker04 (Espagne), encore en lice
  14: Male 15 (Espagne), encore en lice
  15: Markiu10 (Espagne), encore en lice
  16: Mumu 13600 (France), encore en lice
  17: Natchoss3110 (France), encore en lice
  18: PpLp75 (France), encore en lice
  19: Rober El Von (Espagne), encore en lice
  20: RoiDuDisengage (France), encore en lice
  21: RyAnG77 (Espagne), encore en lice
  22: Sayanna90 (France), encore en lice
  23: Sergioro2004 (Espagne), encore en lice
  24: SoulDiggeerr (Espagne), encore en lice
  25: Thugking2710 (France), encore en lice
  26: ToGreendoG (France), encore en lice
  27: Watherboy (Espagne), encore en lice
  28: ZHELSO.CON (Espagne), encore en lice
  29: adolfocorrea (Espagne), encore en lice
  30: alainMAV777 (France), encore en lice
  31: audaciuskakuna (Espagne), encore en lice
  32: bistro69 (Espagne), encore en lice
  33: carloslova (Espagne), encore en lice
  34: ced313131 (France), encore en lice
  35: christian50240 (France), encore en lice
  36: coeurdelyon6 (France), encore en lice
  37: davidtoña (Espagne), encore en lice
  38: duke-ejido (Espagne), encore en lice
  39: el pulitore7 (France), encore en lice
  40: fermin33 (Espagne), encore en lice
  41: gerardichi (Espagne), encore en lice
  42: gillou83414 (France), encore en lice
  43: gros72000 (France), encore en lice
  44: hugosnow (Espagne), encore en lice
  45: jaund 10 (Espagne), encore en lice
  46: javi772 (Espagne), encore en lice
  47: jfa5 (Espagne), encore en lice
  48: junxopunxo (Espagne), encore en lice
  49: kelkepar (France), encore en lice
  50: laetiemmy917 (France), encore en lice
  51: lkjhgf5316 (Espagne), encore en lice
  52: marcoduart94 (Portugal), encore en lice
  53: mkgon10 (Espagne), encore en lice
  54: mm33143 (France), encore en lice
  55: ngba3287 (France), encore en lice
  56: para136 (France), encore en lice
  57: pelotroncho (Espagne), encore en lice
  58: rexs01 (Espagne), encore en lice
  59: toromonte (Espagne), encore en lice
  60: vivelaretraite (France), encore en lice
  61: x_MaRLaCa_x (Espagne), encore en lice
  62: yeyoli (Espagne), encore en lice
  63: psychoman59 (France), 
  64: bst0709 (France), 
  65: Karlushnika (Espagne), 
  66: tyff47 (France), 
  67: marqbrossa (Espagne), 
  68: cazanova1 (France), 
  69: cocopops26 (France), 
  70: pedroj.gomla (Espagne), 
  71: Pourlaretraite (France), 
  72: gabberzone (Espagne), 
  73: valoche619 (France), 
  74: LEGANES666MC [2] (Espagne), 
  75: lr9090 (Espagne), 
  76: badyann70 (France), 
  77: LEGANES666MC (Espagne), 
  78: David MCorzo (Espagne), 
  79: ranero546 (Espagne), 
  80: meediina8420 (Espagne), 
  81: tuntunn30 (Espagne), 
  82: agusmooreno (Espagne), 
  83: elseta90 (Espagne), 
  84: henri vanier (France), 
  85: BHELLVX (France), 
Vous avez terminé le tournoi (éliminé lors de la main #254526720157).


