PokerStars Tournoi #3920432084, No Limit Hold'em
Freeroll 
3573 joueurs
€7200.00 EUR ajoutés au prize pool par PokerStars
Dotation totale : €7200.00 EUR 
Tournoi commencé 16/09/2025 10:05:00 CET [16/09/2025 4:05:00 ET]

  1: !!jejkill!! (France), encore en lice
  2: $tackIt€asy (France), encore en lice
  3: -Orel-885470 (France), encore en lice
  4: 006geogeo (France), encore en lice
  5: 060211 (France), encore en lice
  6: 0pokemaster0 (Portugal), encore en lice
  7: 100frais (France), encore en lice
  8: 10375318660 (France), encore en lice
  9: 13Geri14 (Espagne), encore en lice
  10: 13alaise (France), encore en lice
  11: 13italia$dora (France), encore en lice
  12: 1935niconico (Espagne), encore en lice
  13: 1988david (Espagne), encore en lice
  14: 1989Carlos1989 (Espagne), encore en lice
  15: 19FirePower90 (Portugal), encore en lice
  16: 19andoni19 (Espagne), encore en lice
  17: 1Caloumero (France), encore en lice
  18: 1GrosMacFish (France), encore en lice
  19: 210919832513 (France), encore en lice
  20: 22_77_3 (France), encore en lice
  21: 23cobalto (Espagne), encore en lice
  22: 24Adri68 (Espagne), encore en lice
  23: 28121974 (Espagne), encore en lice
  24: 28chan28 (Espagne), encore en lice
  25: 2rAAgsAllD@Y (Espagne), encore en lice
  26: 33rub (Espagne), encore en lice
  27: 34jacky42 (France), encore en lice
  28: 3davidaairada (Portugal), encore en lice
  29: 4rn4ud (France), encore en lice
  30: 55maxi55 (Espagne), encore en lice
  31: 68trasgu (Espagne), encore en lice
  32: 69_RaFa_69 (Espagne), encore en lice
  33: 69guss69 (France), encore en lice
  34: 75019 (France), encore en lice
  35: 77MEAUXTOWN (France), encore en lice
  36: 78910JACK (France), encore en lice
  37: 7gilius7 (Espagne), encore en lice
  38: 80buggs (France), encore en lice
  39: 881AK188 (Espagne), encore en lice
  40: 909hawtin909 (Espagne), encore en lice
  41: 928s83 (France), encore en lice
  42: 999cobra999 (Espagne), encore en lice
  43: 9sifo9 (France), encore en lice
  44: 9~BERNABE~8 (Espagne), encore en lice
  45: @quidadesEP (Portugal), encore en lice
  46: AFabricio1999 (Espagne), encore en lice
  47: AHL90 (Espagne), encore en lice
  48: ALAKRANMAN69 (Espagne), encore en lice
  49: ALFA542 (Espagne), encore en lice
  50: ALLINLOOOOOL (France), encore en lice
  51: ARodriRodri (Espagne), encore en lice
  52: ASkickerAS (France), encore en lice
  53: Aarontines (Espagne), encore en lice
  54: Abel Xavier 14 (Portugal), encore en lice
  55: Abelsoy (Espagne), encore en lice
  56: Abrah91 (France), encore en lice
  57: AceGurb (Espagne), encore en lice
  58: Adil45404 (France), encore en lice
  59: Afv69ponfe (Espagne), encore en lice
  60: Aitor ss (Espagne), encore en lice
  61: Akibet (France), encore en lice
  62: AkimboSpew (France), encore en lice
  63: Albherenpk (Espagne), encore en lice
  64: Aldoprazolam (France), encore en lice
  65: Alejandroo069 (Espagne), encore en lice
  66: Aleksaaa13 (Espagne), encore en lice
  67: Alex mendo (France), encore en lice
  68: AlexUnder85 (Espagne), encore en lice
  69: Alfonsobarberoo (Espagne), encore en lice
  70: AllezSAAlut (France), encore en lice
  71: Alpatx73 (France), encore en lice
  72: AlphaJMB (France), encore en lice
  73: Alvagnum (Espagne), encore en lice
  74: AlvaroArcos10 (Espagne), encore en lice
  75: Amaro22 (Espagne), encore en lice
  76: Andrea19972016 (Portugal), encore en lice
  77: Andresito168 (Espagne), encore en lice
  78: Andresxdfc (Espagne), encore en lice
  79: Andrey.Mi125 (France), encore en lice
  80: Anmaruu7 (Espagne), encore en lice
  81: Anraoi (Espagne), encore en lice
  82: Ant Soares (Portugal), encore en lice
  83: Antonio180915 (Espagne), encore en lice
  84: Antonioo pradoo (Espagne), encore en lice
  85: Antonioppl (Espagne), encore en lice
  86: Antronk153 (Espagne), encore en lice
  87: Aragorn1414 (Espagne), encore en lice
  88: Arnuch (France), encore en lice
  89: Asimour (France), encore en lice
  90: Askeegard (Espagne), encore en lice
  91: Atinkers (France), encore en lice
  92: Aulig (Espagne), encore en lice
  93: Axticot (France), encore en lice
  94: BBGary19 (France), encore en lice
  95: BBPOK52 (France), encore en lice
  96: BC1512 (Portugal), encore en lice
  97: BILL KA 1 (France), encore en lice
  98: BOBBIOU (France), encore en lice
  99: BOUNAFK (France), encore en lice
  100: BOUYBA (France), encore en lice
  101: BRG0D (Portugal), encore en lice
  102: Babane23000 (France), encore en lice
  103: Babylone1000 (France), encore en lice
  104: Balaone88 (Portugal), encore en lice
  105: Baltha16 (France), encore en lice
  106: Batiste83 (Espagne), encore en lice
  107: Batka131 (France), encore en lice
  108: Bavaria866 (France), encore en lice
  109: BeKo419 (France), encore en lice
  110: Biboul11 (France), encore en lice
  111: Bistouquet02 (France), encore en lice
  112: Blackpappa89 (Portugal), encore en lice
  113: BladeMaster76 (France), encore en lice
  114: BoNoite (Portugal), encore en lice
  115: Bobylapointe2 (France), encore en lice
  116: Bogues11 (Espagne), encore en lice
  117: BossFy (Espagne), encore en lice
  118: Bossjul (France), encore en lice
  119: Boulbiboy (France), encore en lice
  120: Bounz06 (France), encore en lice
  121: Bradzo45 (France), encore en lice
  122: Breeezzzy (France), encore en lice
  123: Brujita.ng (Espagne), encore en lice
  124: BrunaPereira69 (Portugal), encore en lice
  125: Brutuscrazy (Espagne), encore en lice
  126: BuXHexter (Espagne), encore en lice
  127: Bucephalle (France), encore en lice
  128: Burraco97 (Espagne), encore en lice
  129: ButelleNASTIC (Espagne), encore en lice
  130: C.deadpool95 (Espagne), encore en lice
  131: CAFET3RO (France), encore en lice
  132: CARDINAL612 (France), encore en lice
  133: CATHY2659 (France), encore en lice
  134: CISSOUX666 (France), encore en lice
  135: CLOPIN666 (France), encore en lice
  136: CNS_1808 (Espagne), encore en lice
  137: CORSU20B (France), encore en lice
  138: CRETU662 (Espagne), encore en lice
  139: Caditanator (Espagne), encore en lice
  140: Cagarrache70 (Espagne), encore en lice
  141: Caillou02 (France), encore en lice
  142: Cambrikito (Portugal), encore en lice
  143: CaniDj (Espagne), encore en lice
  144: Capi010 (Espagne), encore en lice
  145: Car985 (Espagne), encore en lice
  146: CarlosNapier (Portugal), encore en lice
  147: Carpiste523 (France), encore en lice
  148: Carrero1960 (Espagne), encore en lice
  149: Carrillo1979 (Espagne), encore en lice
  150: Carry11469 (Espagne), encore en lice
  151: Castanha0101 (Portugal), encore en lice
  152: CatarinaC96 (Portugal), encore en lice
  153: CazOu1563 (France), encore en lice
  154: CduDragonal (France), encore en lice
  155: Cecderire (France), encore en lice
  156: Celaide (France), encore en lice
  157: Chaancy (Espagne), encore en lice
  158: Chan160477 (Espagne), encore en lice
  159: Chanele389 (Espagne), encore en lice
  160: Chapz282 (Portugal), encore en lice
  161: Charlego (Espagne), encore en lice
  162: Chiapaneco31 (France), encore en lice
  163: Chichen17 (Espagne), encore en lice
  164: Chimeneas 00 (Espagne), encore en lice
  165: Chips162 (France), encore en lice
  166: Chironex92 (France), encore en lice
  167: ChrisFrance (France), encore en lice
  168: Chucklabiz (France), encore en lice
