PokerStars Tournoi #3830973708, No Limit Hold'em
Super Satellite
Buy-in : €0.90/€0.10 EUR
126 joueurs
Dotation totale : €113.40 EUR 
Tournoi cible #3830973464 Buy-in : €10.00 EUR
Tournoi commencé 12/12/2024 10:05:00 CET [12/12/2024 4:05:00 ET]

  1: AngelAvilaAA [2] (Espagne), encore en lice
  2: Augusto43 (Espagne), encore en lice
  3: BettinaGrard (France), encore en lice
  4: Carlys000 (Espagne), encore en lice
  5: Clarys13 (France), encore en lice
  6: EL TORERO888 (Espagne), encore en lice
  7: Eddylamain [2] (Guadeloupe), encore en lice
  8: FURISE30 (France), encore en lice
  9: GalacticoN999 (Espagne), encore en lice
  10: IOnisesaI [2] (Espagne), encore en lice
  11: InitialsBB79 (France), encore en lice
  12: JPBE56 (France), encore en lice
  13: JPDS8390 (Portugal), encore en lice
  14: KillerBae (Espagne), encore en lice
  15: Leptiloup49 (France), encore en lice
  16: MissierEko (France), encore en lice
  17: NeluhCoztaa20 (Portugal), encore en lice
  18: Raio_Azul92 (Portugal), encore en lice
  19: Roby0547 (France), encore en lice
  20: Rrrr116 (France), encore en lice
  21: SUPERHARMONY (Espagne), encore en lice
  22: SebasMontauban (France), encore en lice
  23: Stemanlau [2] (France), encore en lice
  24: Tobster748 (Espagne), encore en lice
  25: Vonlaue (Espagne), encore en lice
  26: Wolfri74 (Espagne), encore en lice
  27: azabache70 [2] (Espagne), encore en lice
  28: balagiron (Espagne), encore en lice
  29: contrappel (France), encore en lice
  30: dejorno55 (Espagne), encore en lice
  31: fivi666 [2] (Espagne), encore en lice
  32: fransuko (Espagne), encore en lice
  33: gabriel9298 [2] (Portugal), encore en lice
  34: huluhu (France), encore en lice
  35: johnmarkus15 (Espagne), encore en lice
  36: jotasuz (Espagne), encore en lice
  37: kameleone77 [2] (France), encore en lice
  38: kerubini 88 (Espagne), encore en lice
  39: kissuije (France), encore en lice
  40: kouguar (France), encore en lice
  41: kux4r4 (Espagne), encore en lice
  42: leministre13 (Espagne), encore en lice
  43: martigre23 (Espagne), encore en lice
  44: matboost03390 (France), encore en lice
  45: matigol2 (Espagne), encore en lice
  46: mesa1994 (Espagne), encore en lice
  47: mesituo (Espagne), encore en lice
  48: miguiñas2000 (Espagne), encore en lice
  49: mlkzz3437 (France), encore en lice
  50: pablito22341 (Espagne), encore en lice
  51: pantat22 (France), encore en lice
  52: pickpocket38 (France), encore en lice
  53: piegeons1406 (France), encore en lice
  54: pipino500 (Espagne), encore en lice
  55: polo21544 (France), encore en lice
  56: ragabr12 (France), encore en lice
  57: serveriusss (Espagne), encore en lice
  58: simaodinis99 (Portugal), encore en lice
  59: terrificlola (France), encore en lice
  60: toshkogochev [2] (Espagne), encore en lice
  61: xrevinx (France), encore en lice
  62: yayaswissCH [2] (France), encore en lice
  63: Sill3M (Portugal), 
  64: psychoman59 (France), 
  65: blondin5612 [2] (France), 
  66: kameleone77 (France), 
  67: Diego00Z00Z (Espagne), 
  68: yayaswissCH (France), 
  69: Eddylamain (Guadeloupe), 
  70: JuanSnowing (France), 
  71: Cacolletout44 (France), 
  72: simona75010 (France), 
  73: AEFranco (Espagne), 
  74: jmpz30 (France), 
  75: leib0910 (France), 
  76: Aljalo777 (Espagne), 
  77: azabache70 (Espagne), 
  78: heder02100 (France), 
  79: GERSON888 (Espagne), 
  80: mappy435 (France), 
  81: albabh27 [2] (Espagne), 
  82: AngelAvilaAA (Espagne), 
  83: blondin5612 (France), 
  84: Arpayo13 (Espagne), 
  85: IOnisesaI (Espagne), 
  86: Manturbo440 (Espagne), 
  87: Akiles_L15 (Espagne), 
  88: Coyot3-PT-BR (Portugal), 
  89: abrego1233 (Espagne), 
  90: Nroque666 (Portugal), 
  91: Todastesas69 [2] (Portugal), 
  92: danielsoon_06 [2] (Espagne), 
  93: juanp81 [2] (Espagne), 
  94: Bengball (Espagne), 
  95: COCODRILO200 (Espagne), 
  96: fj1211 (France), 
  97: alakincito [2] (Espagne), 
  98: snowstorm-C9 (Espagne), 
  99: juanp81 (Espagne), 
  100: anderlekue (Espagne), 
  101: bokanegraa (Espagne), 
  102: TOULINE601 (France), 
  103: Astracolecte [2] (Espagne), 
  104: Stemanlau (France), 
  105: alakincito (Espagne), 
  106: fiera328 (Espagne), 
  107: fivi666 (Espagne), 
  108: Caro6609 (France), 
  109: gabriel9298 (Portugal), 
  110: Magpof [2] (France), 
  111: discovry (Espagne), 
  112: grones80 (France), 
  113: albabh27 (Espagne), 
  114: Astracolecte (Espagne), 
  115: toshkogochev (Espagne), 
  116: fuffodj (Espagne), 
  117: Todastesas69 (Portugal), 
  118: pimousse6768 (France), 
  119: RedPet11 (Portugal), 
  120: philipecaldas (Portugal), 
  121: KKLIKKAAUPIF (France), 
  122: bcnraul (Espagne), 
  123: danielsoon_06 (Espagne), 
  124: farru675 (Espagne), 
  125: christ29400 (France), 
  126: Magpof (France), 
Vous avez terminé le tournoi (éliminé lors de la main #253816738532).


