PokerStars Tournoi #3531223659, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1167 joueurs
Dotation totale : €6000.00 EUR 
Tournoi commencé 20/01/2023 17:00:00 CET [20/01/2023 11:00:00 ET]

  1: # BRUX010 # (Brésil), encore en lice
  2: $ventura$899 (Espagne), encore en lice
  3: )I(ekan1985 (Bélarus), encore en lice
  4: *MKrAkOviAG* (Espagne), encore en lice
  5: 03Arce (Brésil), encore en lice
  6: 10redingtontomy (Espagne), encore en lice
  7: 1NorthStar1 (Portugal), encore en lice
  8: 1effexor0 (Portugal), encore en lice
  9: 1roubo (Portugal), encore en lice
  10: 30/13-137 (Ukraine), encore en lice
  11: 3l3ctrikman [2] (France), encore en lice
  12: 446667 (France), encore en lice
  13: 666raul666 (Portugal), encore en lice
  14: 66RERE (France), encore en lice
  15: 8718salome2018 (Espagne), encore en lice
  16: A.Mirassol (Portugal), encore en lice
  17: ABML-62 (France), encore en lice
  18: AFPortela [2] (Brésil), encore en lice
  19: AHMJ888 (France), encore en lice
  20: ALBUQUI [2] (Espagne), encore en lice
  21: ALEXmvpALEX (Lituanie), encore en lice
  22: ANDYSPARROW78 (France), encore en lice
  23: ARMANVANBUREN (Kazakhstan), encore en lice
  24: AROD4REAL (Espagne), encore en lice
  25: AleCJ1984 [2] (Espagne), encore en lice
  26: Aleibz777 [2] (Espagne), encore en lice
  27: AleksGoEs (Ukraine), encore en lice
  28: Andrjey7777 (Ukraine), encore en lice
  29: AnthoninM [2] (France), encore en lice
  30: Arnold077 (Espagne), encore en lice
  31: Aspique34 [2] (France), encore en lice
  32: AyoubJJ (Espagne), encore en lice
  33: BBgroot (France), encore en lice
  34: BWhaleroos [2] (Finlande), encore en lice
  35: BaffikES [2] (Ukraine), encore en lice
  36: Bambuk09 (Ukraine), encore en lice
  37: Beaphil02 [2] (Portugal), encore en lice
  38: BenRuu10 (Espagne), encore en lice
  39: BenVietto (Moldavie), encore en lice
  40: Benito2725 [2] (France), encore en lice
  41: Beware78 (France), encore en lice
  42: BionOgurcov (Ukraine), encore en lice
