PokerStars Tournoi #3508977758, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
552 joueurs
Dotation totale : €5000.00 EUR 
Tournoi commencé 07/12/2022 17:00:00 CET [07/12/2022 11:00:00 ET]

  1: $pekt0r1 (Bélarus), encore en lice
  2: **Osperamo** (Espagne), encore en lice
  3: *nastasia30 (France), encore en lice
  4: 10redingtontomy (Espagne), encore en lice
  5: 12061981 (Espagne), encore en lice
  6: 401Richi (Espagne), encore en lice
  7: 66RERE [2] (France), encore en lice
  8: 67skat (France), encore en lice
  9: 70rose (Portugal), encore en lice
  10: AAronlDD93 (France), encore en lice
  11: AURELLY.30 (France), encore en lice
  12: Alienvalue [2] (France), encore en lice
  13: Andre061985 (Portugal), encore en lice
  14: Andrjey7777 (Ukraine), encore en lice
  15: AnthoninM (France), encore en lice
  16: Ark Royal 4 (France), encore en lice
  17: AsDesAsKiller (France), encore en lice
  18: AskiniketonAs (France), encore en lice
  19: AtariK08 [2] (Espagne), encore en lice
  20: AwiitaninioO (Espagne), encore en lice
  21: B757200 [2] (Espagne), encore en lice
  22: BN2410 (France), encore en lice
  23: BOTE82 (Espagne), encore en lice
  24: BWhaleroos (Finlande), encore en lice
  25: Bambuk09 (Ukraine), encore en lice
  26: BigNops (France), encore en lice
  27: Borjandiari (Espagne), encore en lice
  28: BoubouPS (France), encore en lice
  29: BrazaPT03 (Portugal), encore en lice
  30: Brok3nHeart (Lituanie), encore en lice
  31: BuraramaMG (Brésil), encore en lice
  32: C0ntroler2 (Portugal), encore en lice
  33: COSTYPOKER (Espagne), encore en lice
  34: CRAMER666 (Espagne), encore en lice
  35: CaraRude (Portugal), encore en lice
  36: Carlos 7777 (Espagne), encore en lice
  37: Cheky_xsam (Espagne), encore en lice
  38: ChiflyAtk (Espagne), encore en lice
  39: Choco Dropa (Portugal), encore en lice
  40: CinicGaming (Portugal), encore en lice
  41: Claude54000 [2] (France), encore en lice
  42: Coin97 (Espagne), encore en lice
  43: D4rL0cK (Espagne), encore en lice
  44: DIDJOUS (France), encore en lice
  45: Dafolhaseca [2] (Portugal), encore en lice
  46: Davidlavrador (Portugal), encore en lice
  47: DentyP (France), encore en lice
  48: Deus2Heaven (France), encore en lice
  49: DioniAlvarez (Espagne), encore en lice
  50: Dontb@Afraid (France), encore en lice
  51: Dr Eleka (Espagne), encore en lice
  52: Dudduuu (Espagne), encore en lice
  53: EDI1979pl [2] (Irlande), encore en lice
  54: EVPRINCE (Kazakhstan), encore en lice
  55: EVshka (Kazakhstan), encore en lice
  56: EdekJ (Pologne), encore en lice
  57: Emi.1606 (Espagne), encore en lice
  58: Epinto113 (Portugal), encore en lice
  59: Ese mocho [2] (Espagne), encore en lice
  60: Eva_es (Bélarus), encore en lice
  61: FEChampion [2] (Espagne), encore en lice
  62: FVbj (France), encore en lice
  63: Facadas1000 (Portugal), encore en lice
  64: Farolero2001 (Espagne), encore en lice
  65: Favorness [2] (Ukraine), encore en lice
  66: Filipe724 (Portugal), encore en lice
  67: FlipWinner82 (Monténégro), encore en lice
  68: FonGeige (Espagne), encore en lice
  69: Fusa68 (France), encore en lice
  70: GE2224 (France), encore en lice
  71: GYPSI79 (France), encore en lice
  72: GeneraleGuisan (Espagne), encore en lice
  73: GorDoMnesota [2] (Espagne), encore en lice
  74: GorkaBebop (Espagne), encore en lice
  75: Graca13fcp (Portugal), encore en lice
  76: Gu&Alex59 (Portugal), encore en lice
  77: Guadiana615 (Espagne), encore en lice
  78: GumpForrest1 (Kazakhstan), encore en lice
  79: H2K Perna (Espagne), encore en lice
  80: HJokerPokerF (Portugal), encore en lice
  81: HelloMeteorrrr (Réunion), encore en lice
  82: INDIGOLO (Portugal), encore en lice
  83: Ilarbost (Espagne), encore en lice
  84: ImKvothe (Espagne), encore en lice
  85: Irina2050 (Espagne), encore en lice
  86: Ivanov814 (Espagne), encore en lice
  87: J.WARIN (Espagne), encore en lice
  88: JACKY3869 (France), encore en lice
  89: JPRjunior (France), encore en lice
  90: JPhiRoy (France), encore en lice
  91: JaSeR_2013 (Espagne), encore en lice
  92: Jack O'Hamiz (France), encore en lice
  93: Jackaponk (France), encore en lice
  94: Jeylon [2] (Espagne), encore en lice
  95: Jojo14160168 (France), encore en lice
  96: JyGWayne (France), encore en lice
  97: KCDQ1508 (France), encore en lice
  98: KRYSS141 (France), encore en lice
  99: Kalzonette (France), encore en lice
  100: Kingzilla87 (Espagne), encore en lice
  101: Kintaro_ooe (Portugal), encore en lice
  102: Kokolaka1 (Bélarus), encore en lice
  103: Krishus [2] (Espagne), encore en lice
  104: LDavidPC (Portugal), encore en lice
  105: LUCOTEAM (Espagne), encore en lice
  106: LaClocheSonne (France), encore en lice
  107: Lacabale34 (France), encore en lice
  108: Lacraps20 (France), encore en lice
  109: Lagavulin113 [2] (Espagne), encore en lice
  110: LanceART (France), encore en lice
  111: Le Baldos (France), encore en lice
  112: LeeStoique (France), encore en lice
  113: LiKeaVirgin8 (Espagne), encore en lice
  114: Lodiva (France), encore en lice
  115: MERLICH555 (Kazakhstan), encore en lice
  116: MMonard80 (France), encore en lice
  117: MTAGAlinha (Portugal), encore en lice
  118: Machely (Espagne), encore en lice
  119: ManuGarcia72 (Espagne), encore en lice
  120: MassaArrozMassa (Portugal), encore en lice
  121: Mattyug.93 (Espagne), encore en lice
  122: MihaiS2019 (Espagne), encore en lice
  123: Miiaaa05 (France), encore en lice
  124: Mowgliii23 (France), encore en lice
  125: Musya0528 (France), encore en lice
  126: NoLuckJustSkil [2] (France), encore en lice
  127: NoPassNo [2] (France), encore en lice
  128: Noktambul (Espagne), encore en lice
  129: Notrustingod (France), encore en lice
  130: OctoValentin (France), encore en lice
  131: OndeSeFolda? [2] (Portugal), encore en lice
  132: PALYNDROME21 [2] (France), encore en lice
  133: Pablo Amaringo (Pologne), encore en lice
  134: Patecas (Portugal), encore en lice
