PokerStars Tournoi #3531223546, No Limit Hold'em
Buy-in : €0.90/€0.10 EUR
272 joueurs
Dotation totale : €500.00 EUR 
Tournoi commencé 18/01/2023 15:45:00 CET [18/01/2023 9:45:00 ET]

  1: # BRUX010 # (Brésil), encore en lice
  2: 12an123 [2] (Portugal), encore en lice
  3: 13 Tony 31 (Espagne), encore en lice
  4: 1Frankk (Espagne), encore en lice
  5: 568slb (Portugal), encore en lice
  6: ANTICULE_28 (Espagne), encore en lice
  7: Ajuantape (Espagne), encore en lice
  8: AleX679844 (Bélarus), encore en lice
  9: AllinKAmA (France), encore en lice
  10: Angeluis8 (Espagne), encore en lice
  11: AnibalXV (Espagne), encore en lice
  12: ArAgOnEs_KO (Espagne), encore en lice
  13: Arnold077 (Espagne), encore en lice
  14: Athisse (France), encore en lice
  15: BURNE34 (France), encore en lice
  16: Betonunes88 (Portugal), encore en lice
  17: BraveBit (France), encore en lice
  18: CR IPARRALDE (Espagne), encore en lice
  19: Carfav (France), encore en lice
  20: Carlos 7777 (Espagne), encore en lice
  21: Ch4r13959 (Espagne), encore en lice
  22: Craps06220 (France), encore en lice
  23: Dajoool (France), encore en lice
  24: DarkSiders007 (Ukraine), encore en lice
  25: Darky974 (Réunion), encore en lice
  26: Diogo Lucas (Portugal), encore en lice
  27: Djamystik (France), encore en lice
  28: DonMitre07 (Espagne), encore en lice
  29: Dontetha (Espagne), encore en lice
  30: ElBillionaire (Kazakhstan), encore en lice
  31: Elegantecabo (Espagne), encore en lice
  32: Eliovan20 (Brésil), encore en lice
  33: Exter94 (France), encore en lice
  34: FFRAR (Espagne), encore en lice
  35: FSCalvete_90 (Portugal), encore en lice
  36: Fafoudu87 (France), encore en lice
  37: GIBRALTARIUX (France), encore en lice
  38: Gonçalo Ribeiro (Portugal), encore en lice
  39: HELIOSITO78 (Espagne), encore en lice
  40: Hector_ariass (Espagne), encore en lice
  41: Irina2050 (Espagne), encore en lice
  42: JM_IVANHOE (France), encore en lice
  43: JOANTURRAI [2] (Espagne), encore en lice
  44: JONASgod451 (Portugal), encore en lice
  45: JPhiRoy (France), encore en lice
  46: JacintoMedeiros (Portugal), encore en lice
  47: JackJonesGL (Kazakhstan), encore en lice
  48: Jorgecarrral (Espagne), encore en lice
  49: JppOliveira (Portugal), encore en lice
  50: KaldoK (France), encore en lice
  51: Khrystyna404 (France), encore en lice
  52: K~ro4Me (France), encore en lice
  53: LAVIE34300 (France), encore en lice
  54: LOKI2410 (France), encore en lice
  55: Lago59 (Espagne), encore en lice
  56: Liitea (Argentine), encore en lice
  57: M.alonso23 (Espagne), encore en lice
  58: Maestroagujas (Espagne), encore en lice
  59: Malariuss (Espagne), encore en lice
  60: Mamaduri [2] (Portugal), encore en lice
  61: Mia031829 (Espagne), encore en lice
  62: MixtoVII (Espagne), encore en lice
  63: Montalet9 (France), encore en lice
  64: MrPsychoReg (France), encore en lice
  65: Oriol1602 [2] (Espagne), encore en lice
  66: Orist64/685 (France), encore en lice
  67: Oxigénio (Portugal), encore en lice
  68: PEKON4 (Espagne), encore en lice
  69: P_Bernovich (Bélarus), encore en lice
  70: PascaleP66 (France), encore en lice
  71: Pombo2615 (Portugal), encore en lice
  72: PovesaBY (Bélarus), encore en lice
  73: Quericmel (Portugal), encore en lice
