PokerStars Tournoi #3523431065, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1062 joueurs
Dotation totale : €6000.00 EUR 
Tournoi commencé 06/01/2023 17:00:00 CET [06/01/2023 11:00:00 ET]

  1: # BRUX010 # [2] (Brésil), encore en lice
  2: *nastasia30 [2] (France), encore en lice
  3: 03Arce (Brésil), encore en lice
  4: 11ooduplica (Argentine), encore en lice
  5: 12Fintax (Portugal), encore en lice
  6: 13eXpresSif [2] (France), encore en lice
  7: 1carrillo1 (Espagne), encore en lice
  8: 1franklin (Espagne), encore en lice
  9: 21-raul (Espagne), encore en lice
  10: 2eLixo (Brésil), encore en lice
  11: 2k2k69 (Portugal), encore en lice
  12: 2mar89 (Bélarus), encore en lice
  13: 36thchambers (France), encore en lice
  14: 4driana7 (Espagne), encore en lice
  15: 666raul666 (Portugal), encore en lice
  16: 66RERE (France), encore en lice
  17: 67iceman6767 (France), encore en lice
  18: 79AA79 [2] (Portugal), encore en lice
  19: 9sifo9 (France), encore en lice
  20: AFPLS [2] (Espagne), encore en lice
  21: AGYeste (Espagne), encore en lice
  22: AN1964gambler (Portugal), encore en lice
  23: Ac0r4n (Espagne), encore en lice
  24: Ajuantape (Espagne), encore en lice
  25: Akaneton [2] (Portugal), encore en lice
  26: AlGasaax (France), encore en lice
  27: Alarasbat13 (France), encore en lice
  28: AlexDuarte15 (Portugal), encore en lice
  29: Alexis222298 (France), encore en lice
  30: Alexsara68 (France), encore en lice
  31: Allen.PK (Portugal), encore en lice
  32: AloAloe11 (Bélarus), encore en lice
  33: AlvaroRG11 (Espagne), encore en lice
  34: AlwaysRaul (Espagne), encore en lice
  35: Amoroso007 (Portugal), encore en lice
  36: Anacondadu80 (France), encore en lice
  37: AnthoninM [2] (France), encore en lice
  38: Antiaraes (France), encore en lice
  39: Arnold077 (Espagne), encore en lice
  40: Asya_xD (Ukraine), encore en lice
  41: AzogThePale (Portugal), encore en lice
  42: BERESHNOI (Espagne), encore en lice
  43: BUENPO (Espagne), encore en lice
  44: BaLaLae4kA_AA (Bélarus), encore en lice
  45: BaraodaSpwzdina (Brésil), encore en lice
  46: Barth157 (Brésil), encore en lice
  47: BeginnerPassa (Portugal), encore en lice
  48: BenVietto (Moldavie), encore en lice
  49: Beto66Moreno (Espagne), encore en lice
  50: Blendinette (France), encore en lice
  51: BrazaPT03 (Portugal), encore en lice
  52: BridgeNine (France), encore en lice
  53: Brok3nHeart (Lituanie), encore en lice
  54: CAMPILLOBASKET (Espagne), encore en lice
  55: CDellagustin (Brésil), encore en lice
  56: CHR1S_ROB1N (France), encore en lice
  57: Califoc (Espagne), encore en lice
  58: CaraRude (Portugal), encore en lice
  59: CarlosGates8 (Espagne), encore en lice
  60: CarrapichoII (Brésil), encore en lice
  61: Chinas20 [2] (Portugal), encore en lice
  62: CoelhooPKR (Portugal), encore en lice
  63: Coin97 (Espagne), encore en lice
  64: CorinthianistA (Brésil), encore en lice
  65: CyberMent (Ukraine), encore en lice
  66: DOUBLE/L230 (Martinique), encore en lice
  67: DR.Smucked [2] (Espagne), encore en lice
  68: DRVR_20 (Portugal), encore en lice
  69: Dafolhaseca (Portugal), encore en lice
  70: Dajoool (France), encore en lice
  71: DaniMelow81 [2] (Espagne), encore en lice
  72: Daren171 (Espagne), encore en lice
  73: DarkChaton (France), encore en lice
  74: DarkSiders007 (Ukraine), encore en lice
  75: DavGomez (Portugal), encore en lice
  76: Dawk1ns (Bélarus), encore en lice
  77: Delprofi10 [2] (Espagne), encore en lice
  78: Diaseana (Portugal), encore en lice
  79: DiegoCámara (Espagne), encore en lice
  80: DiogoPoker13 (Portugal), encore en lice
  81: Dr4GonxZzZ (France), encore en lice
  82: Drico2makono [2] (France), encore en lice
  83: Drogaminas997 [2] (Portugal), encore en lice
  84: Durable162 (Bélarus), encore en lice
  85: ELMesquita (Portugal), encore en lice
  86: EVPLUS92 (France), encore en lice
  87: EdekJ (Pologne), encore en lice
  88: ElBoss Patrão (Portugal), encore en lice
  89: Eliovan20 (Brésil), encore en lice
  90: Ellaa666 (Portugal), encore en lice
  91: Engatsac01 (France), encore en lice
  92: Espinavfc (Portugal), encore en lice
  93: FIXM83 (Portugal), encore en lice
  94: Faquinha7 (Portugal), encore en lice
  95: Fidelio7773 [2] (Espagne), encore en lice
  96: FigoFigueiredo (Brésil), encore en lice
  97: FishFromParis [2] (Ukraine), encore en lice
  98: Fishaldinh0 (Espagne), encore en lice
  99: FlorHS (Portugal), encore en lice
  100: Fmm48 (Espagne), encore en lice
  101: Fontao1922 (Portugal), encore en lice
  102: FormatMTTAPliK (France), encore en lice
  103: FrAwtz (Brésil), encore en lice
  104: G.R.N.35 (Ukraine), encore en lice
  105: GSguce (Lituanie), encore en lice
  106: GUCCI227 (Espagne), encore en lice
  107: Garanhas1985 (Portugal), encore en lice
  108: GermanT55 (Espagne), encore en lice
  109: GigaChad90 (Portugal), encore en lice
  110: Giotto000 (Espagne), encore en lice
  111: Gmarth (Brésil), encore en lice
  112: Griingo72 [2] (France), encore en lice
  113: GumpForrest1 (Kazakhstan), encore en lice
  114: GunGrave_13 (Portugal), encore en lice
  115: HUB7009 [2] (France), encore en lice
  116: Hellmuth PoM (France), encore en lice
  117: Hello BoB:D (Bélarus), encore en lice
  118: Hisoka225 (Espagne), encore en lice
  119: IIILMBIII (France), encore en lice
  120: Ijustcallto (France), encore en lice
  121: Iker2107 [2] (Espagne), encore en lice
  122: IronEveryDay (Brésil), encore en lice
  123: Ius-Money (Portugal), encore en lice
  124: Ivanov814 (Espagne), encore en lice
  125: JFH130505 [2] (Espagne), encore en lice
  126: JGFPaz [2] (Portugal), encore en lice
  127: JMD006 (France), encore en lice
  128: JOR_696969 (Espagne), encore en lice
  129: JOSINALLIN [2] (Espagne), encore en lice
  130: Jaimestm99 (Espagne), encore en lice
  131: Jalexis0912 (France), encore en lice
  132: JaviGarcia93 [2] (Espagne), encore en lice
  133: Javilopez818 (Espagne), encore en lice
  134: Jesuis1er (France), encore en lice
  135: JgAArciAA (Brésil), encore en lice
  136: JohnnyBambouuu (France), encore en lice
  137: JohnnyMonay (Portugal), encore en lice
  138: Jokubo147 (Lituanie), encore en lice
  139: Jokz C [2] (Portugal), encore en lice
  140: JuanRamonDur (Espagne), encore en lice
  141: JuliaRobles (Espagne), encore en lice
  142: JyGWayne (France), encore en lice
  143: KOPHULLIOH2021 (Kazakhstan), encore en lice
  144: KTF-MOOGLY (France), encore en lice
  145: KaspaBR (Brésil), encore en lice
  146: Kenny.16592 (Espagne), encore en lice
  147: KingOfGutshot (Brésil), encore en lice
  148: Kintaro_ooe [2] (Portugal), encore en lice
  149: Kisto88 [2] (France), encore en lice
  150: Kokolaka1 [2] (Bélarus), encore en lice
  151: Króf Kecifei (Hongrie), encore en lice
  152: KwasnyDeszcz (Pologne), encore en lice
  153: LIONEL0963 (France), encore en lice
  154: LMRPokerstar (Portugal), encore en lice
  155: LPMCC [2] (Portugal), encore en lice
  156: LaFrappeA [2] (France), encore en lice
  157: LaKe-nL-ADyeux (France), encore en lice
  158: Lambwalker13 (Portugal), encore en lice
  159: Lastking95 (Portugal), encore en lice
  160: Lat08 [2] (Espagne), encore en lice
  161: LeGrandTony (France), encore en lice
  162: Leão 6539 (Portugal), encore en lice
  163: Lolaylo69 (Espagne), encore en lice
  164: LotusDowN (Portugal), encore en lice
  165: Luck_ 3434 (Portugal), encore en lice
  166: LuckyBulbash (Bélarus), encore en lice
  167: Lukowski02 (Espagne), encore en lice
  168: Lukyy510 (Espagne), encore en lice
  169: M.Soobeyran (France), encore en lice
  170: MAXIALBI [2] (Portugal), encore en lice
  171: MC.BouBou69 (France), encore en lice
  172: MFTM2828 (Portugal), encore en lice
  173: Macostar (France), encore en lice
  174: Madmaxdelaba (France), encore en lice
  175: Mandal163 (France), encore en lice
  176: Manuelf1999 [2] (Portugal), encore en lice
  177: Manuelsss12 (Argentine), encore en lice
  178: Martiuspro (Espagne), encore en lice
  179: MatPapayo (France), encore en lice
  180: Matis1110 (France), encore en lice
  181: McKeychikES (Ukraine), encore en lice
  182: McWhaty [2] (Espagne), encore en lice
  183: MenchasJR (Espagne), encore en lice
  184: MirelGabriel999 (Portugal), encore en lice
  185: Mirka019 (Kazakhstan), encore en lice
  186: MisterBinss (France), encore en lice
