PokerStars Tournoi #3590191722, No Limit Hold'em
Buy-in : €0.90/€0.10 EUR
1027 joueurs
Dotation totale : €924.30 EUR 
Tournoi commencé 19/05/2023 15:45:00 CET [19/05/2023 9:45:00 ET]

  1: *PORTO*PVZ (Portugal), encore en lice
  2: 13jeck (Espagne), encore en lice
  3: 777mathias777 [2] (France), encore en lice
  4: 880dimarco (Espagne), encore en lice
  5: 92casir [2] (Portugal), encore en lice
  6: AA-Rezende-AA (Brésil), encore en lice
  7: ARRASOO (Espagne), encore en lice
  8: AceFlash344 (Portugal), encore en lice
  9: Achilleum (France), encore en lice
  10: Albertone281101 (Espagne), encore en lice
  11: AldoMoro588 (France), encore en lice
  12: B3ck3r24X (Brésil), encore en lice
  13: BadBeef78 (Espagne), encore en lice
  14: Baroudeur96 (France), encore en lice
  15: Black_bullXX (Espagne), encore en lice
  16: CaPtainSamm (France), encore en lice
  17: CarHand (Espagne), encore en lice
  18: CarlosTeide (Espagne), encore en lice
  19: ChaudCallAT [2] (France), encore en lice
  20: CmoYeOh? (Espagne), encore en lice
  21: Cristinasaga (Espagne), encore en lice
  22: DMB_Eduardo [2] (Portugal), encore en lice
  23: DOPAF (France), encore en lice
  24: DavyTrann (France), encore en lice
  25: Elminombre (Espagne), encore en lice
  26: Emi.1606 [2] (Espagne), encore en lice
  27: FatalNem (France), encore en lice
  28: Folhaseca69 (Portugal), encore en lice
  29: FrancKid7 (Portugal), encore en lice
  30: Francis1er (France), encore en lice
  31: GRISH213 (Espagne), encore en lice
  32: GaMe616oVeR (Espagne), encore en lice
  33: Gambaiani91 [2] (Espagne), encore en lice
  34: Hades OGB (France), encore en lice
  35: ICE57710 (France), encore en lice
  36: Javato2310 (Espagne), encore en lice
  37: JoSeHtZz (Espagne), encore en lice
  38: KORAK03 (France), encore en lice
  39: Kaize21 (Espagne), encore en lice
  40: Kalash2009 (Portugal), encore en lice
  41: Kenuc19 (Portugal), encore en lice
  42: KevinGln28 (France), encore en lice
