PokerStars Tournoi #3501777235, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
1347 joueurs
Dotation totale : €6061.50 EUR 
Tournoi commencé 25/11/2022 17:00:00 CET [25/11/2022 11:00:00 ET]

  1: # BRUX010 # (Brésil), encore en lice
  2: **Osperamo** [2] (Espagne), encore en lice
  3: 10redingtontomy (Espagne), encore en lice
  4: 11ooduplica (Argentine), encore en lice
  5: 13CRBF (Brésil), encore en lice
  6: 3LM4SP3L1GR0S0 (Brésil), encore en lice
  7: A.Mirassol (Portugal), encore en lice
  8: AFPortela (Brésil), encore en lice
  9: AGYeste (Espagne), encore en lice
  10: AUD000 (France), encore en lice
  11: AfifiseA (France), encore en lice
  12: AloAloe11 (Bélarus), encore en lice
  13: BARJAVEL75 (France), encore en lice
  14: Basque61 (France), encore en lice
  15: Bonus4ever (Bélarus), encore en lice
  16: Cabezalexx (Espagne), encore en lice
  17: Catricina (Portugal), encore en lice
  18: Chmich (France), encore en lice
  19: Choco Dropa [2] (Portugal), encore en lice
  20: CorrerPlata (Brésil), encore en lice
  21: CruizCred0 (Brésil), encore en lice
  22: Daium09 (Brésil), encore en lice
  23: Danigl_12 (Espagne), encore en lice
  24: DinisRodr. (Portugal), encore en lice
  25: DiogoPoker13 (Portugal), encore en lice
  26: DobRos7 (Brésil), encore en lice
  27: Durable162 (Bélarus), encore en lice
  28: Durval50 (Portugal), encore en lice
  29: EL DRICKOS [2] (France), encore en lice
  30: Efrax (Espagne), encore en lice
  31: El Charandel (Espagne), encore en lice
  32: Ementasb (Portugal), encore en lice
  33: Fifie911 [2] (France), encore en lice
  34: Fobic19 (France), encore en lice
  35: Fraram (Portugal), encore en lice
  36: Gladiadorps (Espagne), encore en lice
  37: Gugamyek (Espagne), encore en lice
  38: Harry-Kilmer (Espagne), encore en lice
  39: IIILMBIII (France), encore en lice
  40: Ivanov814 (Espagne), encore en lice
  41: JECOFR (France), encore en lice
  42: JPRjunior (France), encore en lice
  43: Jocker999999 (Espagne), encore en lice
  44: Jogoissoepoker (Brésil), encore en lice
  45: Joko Bonito (Espagne), encore en lice
  46: LF1211 (France), encore en lice
  47: LPéri21 (Portugal), encore en lice
  48: MAMAETERNA (Espagne), encore en lice
  49: MATALEONES99 (Espagne), encore en lice
  50: Manoso07 (France), encore en lice
  51: McDDMax01 (Portugal), encore en lice
  52: Natele67 (France), encore en lice
  53: Nickiyan (France), encore en lice
  54: OpenTheDoor56 [2] (Portugal), encore en lice
  55: Pandoviskyythe (Brésil), encore en lice
  56: PazBarcelona (Espagne), encore en lice
  57: PepeSevilla0 (Espagne), encore en lice
  58: PisteurNoir [2] (France), encore en lice
  59: Priiiihl (Brésil), encore en lice
  60: Profevibu (Espagne), encore en lice
  61: QuieroPapel (France), encore en lice
  62: R.sousa14 (Portugal), encore en lice
  63: Rmatos21 (Brésil), encore en lice
  64: RodrigoM1028 [2] (Portugal), encore en lice
  65: Savastano140 [2] (France), encore en lice
  66: Sense884 (Portugal), encore en lice
