PokerStars Tournoi #3523430864, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
884 joueurs
Dotation totale : €6000.00 EUR 
Tournoi commencé 02/01/2023 17:00:00 CET [02/01/2023 11:00:00 ET]

  1: # BRUX010 # [2] (Brésil), encore en lice
  2: )I(ekan1985 (Bélarus), encore en lice
  3: **Osperamo** (Espagne), encore en lice
  4: 1$11DUR (Espagne), encore en lice
  5: 12Fintax (Portugal), encore en lice
  6: 13lunas (Espagne), encore en lice
  7: 1488 BURI 1488 (Ukraine), encore en lice
  8: 19alejando23 (Espagne), encore en lice
  9: 1NorthStar1 (Portugal), encore en lice
  10: 2eLixo (Brésil), encore en lice
  11: 2soutelo3 (Espagne), encore en lice
  12: 52systmmzz (France), encore en lice
  13: 66RERE (France), encore en lice
  14: 7PeRiTa7 [2] (Espagne), encore en lice
  15: 85elputoamo (Espagne), encore en lice
  16: 91Matik (France), encore en lice
  17: @zagor@za (Espagne), encore en lice
  18: A.Feigin (Monténégro), encore en lice
  19: AAFACE-OFFAA (Espagne), encore en lice
  20: AAlexEdu [2] (Espagne), encore en lice
  21: ACAPULCO7 [2] (Espagne), encore en lice
  22: AKTotti (Portugal), encore en lice
  23: ALEXmvpALEX (Lituanie), encore en lice
  24: ALLIN1WAHL (Espagne), encore en lice
  25: ASER20 (Espagne), encore en lice
  26: AUUUUUUU13 (Espagne), encore en lice
  27: AeOUI [2] (France), encore en lice
  28: Albyou (Espagne), encore en lice
  29: AldoMoro588 (France), encore en lice
  30: Alexis222298 [2] (France), encore en lice
  31: AloAloe11 (Bélarus), encore en lice
  32: AmineKBS [2] (France), encore en lice
  33: Andrefb95 (Portugal), encore en lice
  34: Andrik esp (Espagne), encore en lice
  35: Angeluis8 (Espagne), encore en lice
  36: AniimaXI (France), encore en lice
  37: AnthoninM (France), encore en lice
  38: Antiaraes [2] (France), encore en lice
  39: AspirateurDyson (France), encore en lice
  40: Ati-pokerboy (Espagne), encore en lice
  41: Atto_AA (Portugal), encore en lice
  42: B757200 [2] (Espagne), encore en lice
  43: BERTHON A [2] (France), encore en lice
  44: BWhaleroos (Finlande), encore en lice
  45: BaLaLae4kA_AA (Bélarus), encore en lice
  46: Baby Kitsune (Portugal), encore en lice
  47: Balubix (Espagne), encore en lice
  48: Bambuk09 (Ukraine), encore en lice
  49: BaraodaSpwzdina (Brésil), encore en lice
  50: Barth157 (Brésil), encore en lice
  51: Beaphil02 (Portugal), encore en lice
  52: Benoît S (France), encore en lice
  53: Bens DTC (France), encore en lice
  54: BionOgurcov (Ukraine), encore en lice
  55: Borjandiari (Espagne), encore en lice
  56: BrazaPT03 [2] (Portugal), encore en lice
  57: Brok3nHeart (Lituanie), encore en lice
  58: CHICLERO (Espagne), encore en lice
  59: CRACKTONY (Espagne), encore en lice
  60: Calou69360 (France), encore en lice
  61: Camille11400 (France), encore en lice
  62: CaptKonstadt (France), encore en lice
  63: CaraRude (Portugal), encore en lice
  64: Carla$$190714 [2] (Espagne), encore en lice
  65: Carragol (Espagne), encore en lice
  66: Change Gryphon (Brésil), encore en lice
  67: Charixx210 (France), encore en lice
  68: CocoSwim18 (France), encore en lice
  69: CoelhooPKR (Portugal), encore en lice
  70: Coin97 (Espagne), encore en lice
  71: ComeSaySry (Bélarus), encore en lice
  72: Cristina8600 [2] (Espagne), encore en lice
  73: Croow Sama (France), encore en lice
  74: Cunhz [2] (Portugal), encore en lice
  75: DANIRELOLO (Espagne), encore en lice
  76: D_Romero999 (Espagne), encore en lice
  77: Daniel Sh4rk (Portugal), encore en lice
  78: DarkSiders007 (Ukraine), encore en lice
  79: Dav s 60 (France), encore en lice
  80: DepecheMode62 [2] (France), encore en lice
  81: Dieguinho239 (Espagne), encore en lice
  82: Diletant3 (Espagne), encore en lice
  83: DobRos7 (Brésil), encore en lice
  84: DontWorryP (Kazakhstan), encore en lice
  85: Doutorsp70 (Portugal), encore en lice
  86: EL DRICKOS (France), encore en lice
  87: ELMesquita (Portugal), encore en lice
  88: EVshka (Kazakhstan), encore en lice
  89: Eder14716 (Portugal), encore en lice
  90: Eliovan20 (Brésil), encore en lice
  91: EmLia (France), encore en lice
  92: Enigmaty (Espagne), encore en lice
  93: Eraikitzaile (Espagne), encore en lice
  94: ErwannEva (France), encore en lice
  95: Eudaimonia00x (Brésil), encore en lice
  96: Exploitfold (Ukraine), encore en lice
  97: FMMP14 (Portugal), encore en lice
  98: FREAK DA (Portugal), encore en lice
  99: FVbj (France), encore en lice
  100: Fidelio7773 (Espagne), encore en lice
  101: Fifie911 (France), encore en lice
  102: Fishaldinh0 [2] (Espagne), encore en lice
  103: FlipWinner82 (Monténégro), encore en lice
  104: FlopRider (Portugal), encore en lice
  105: Fmm48 (Espagne), encore en lice
  106: Fontao1922 (Portugal), encore en lice
  107: FumetaMack77 (Espagne), encore en lice
  108: GUYOMTELL [2] (France), encore en lice
  109: Gagarunadora (Brésil), encore en lice
  110: Galathur (Brésil), encore en lice
  111: GallardoTdl (Espagne), encore en lice
  112: Geronimo7858 (France), encore en lice
  113: Giiannii1999 (Espagne), encore en lice
  114: GoldDragon28 (Portugal), encore en lice
  115: GorDoMnesota [2] (Espagne), encore en lice
  116: Gorg2b (France), encore en lice
  117: Grinfox55 [2] (Espagne), encore en lice
  118: Grudos10 (France), encore en lice
  119: GumpForrest1 (Kazakhstan), encore en lice
  120: GunGrave_13 (Portugal), encore en lice
  121: Guygnole (France), encore en lice
  122: Guys_Nazar_0922 (Ukraine), encore en lice
  123: HURACANTQ (Espagne), encore en lice
  124: Hanouka23b (France), encore en lice
  125: Harry8S (Portugal), encore en lice
  126: Hastroy (Bélarus), encore en lice
  127: Heki78 (Hongrie), encore en lice
  128: Hellmuth PoM [2] (France), encore en lice
  129: HisokaQQ (Brésil), encore en lice
  130: HoldRiverHold (Brésil), encore en lice
  131: Hégésippe (France), encore en lice
  132: IIILMBIII (France), encore en lice
  133: INSOMNIA390 (Ukraine), encore en lice
  134: IdenN (Portugal), encore en lice
  135: Im_Billi0naire (Ukraine), encore en lice
  136: Inthemoneybro (France), encore en lice
  137: IsaacMCP (Espagne), encore en lice
  138: Isillions (France), encore en lice
  139: JOANTURRAI (Espagne), encore en lice
  140: Jabrahead (Ukraine), encore en lice
  141: Jack Dan's57 (France), encore en lice
  142: Jadamz (Portugal), encore en lice
  143: Jarubio115 (Espagne), encore en lice
  144: Javier Noriega (Espagne), encore en lice
  145: JedisNon (France), encore en lice
  146: Jimcg99 (Espagne), encore en lice
  147: Jimlimlim (Portugal), encore en lice
  148: Jimmyhypnois (Espagne), encore en lice
  149: Jopsehstar (Espagne), encore en lice
  150: Jsan82 (Espagne), encore en lice
  151: JuanRamonDur [2] (Espagne), encore en lice
  152: Judiez (Espagne), encore en lice
  153: JyGWayne (France), encore en lice
  154: KRYSS141 (France), encore en lice
  155: KTF-MOOGLY (France), encore en lice
  156: Kalash2009 (Portugal), encore en lice
  157: KaspaBR (Brésil), encore en lice
  158: Kerberzer (France), encore en lice
  159: Kintaro_ooe (Portugal), encore en lice
  160: Kras1113 (Bélarus), encore en lice
  161: Krishus (Espagne), encore en lice
  162: Kuerobaí (Espagne), encore en lice
  163: L3 Fun4mbul3 (France), encore en lice
  164: L3onScuro [2] (Espagne), encore en lice
  165: LOUBABALKAN (France), encore en lice
  166: LOULOUFX (France), encore en lice
  167: LPMCC (Portugal), encore en lice
  168: LUPEN19 [2] (Espagne), encore en lice
  169: LZR76 (Espagne), encore en lice
  170: Lambwalker13 (Portugal), encore en lice
  171: LanceART (France), encore en lice
  172: Le-Grec2122 (France), encore en lice
  173: LeBiffleur57 (France), encore en lice
  174: LeDom66 (France), encore en lice
  175: LecasCP (Portugal), encore en lice
  176: Lordzas98 (Espagne), encore en lice
  177: Luca8587 (France), encore en lice
  178: LuckySubarik (Ukraine), encore en lice
  179: MARKOSNARKOS44 (Espagne), encore en lice
  180: MESTRE1957 (Portugal), encore en lice
  181: MT_rastiwka (Ukraine), encore en lice
  182: Mandal163 (France), encore en lice
  183: Marquecito (Espagne), encore en lice
  184: MatPapayo (France), encore en lice
  185: Matis1110 [2] (France), encore en lice
  186: Max pl1 gAAz (France), encore en lice
  187: McKeychikES [2] (Ukraine), encore en lice
  188: MissBr0k3n34 (France), encore en lice
  189: MisterBinss (France), encore en lice
  190: MoLoKaaYYY (France), encore en lice
  191: Monstick (Espagne), encore en lice
  192: MrGarragarra (Espagne), encore en lice
  193: MrWaSh0 [2] (Espagne), encore en lice
  194: Murakamaa (Kazakhstan), encore en lice
  195: MximeV (France), encore en lice
  196: Myshav (France), encore en lice
  197: MárcioSimôes (Portugal), encore en lice
  198: NandoBR94 (Brésil), encore en lice
  199: Napolithym (France), encore en lice
  200: Necada15 (Portugal), encore en lice
  201: NewliferES (Kazakhstan), encore en lice
  202: Nickos884 (France), encore en lice
  203: NightCrowl3r (Portugal), encore en lice
  204: NoPassNo (France), encore en lice
  205: NoTengoFluencia (Espagne), encore en lice
  206: Noktambul (Espagne), encore en lice
  207: Nostroomo (Espagne), encore en lice
  208: Notrustingod (France), encore en lice
  209: Nuts4W (France), encore en lice
  210: OLDSCHOOL83600 [2] (France), encore en lice
  211: OchoaGil (Espagne), encore en lice
  212: Oooadrien (Espagne), encore en lice
  213: P1NKMAN_94 (Bélarus), encore en lice
  214: P@rabotchey (Brésil), encore en lice
  215: PCEE785 [2] (Portugal), encore en lice
  216: PCSOU (France), encore en lice
  217: PEDROCMPERRY (Portugal), encore en lice
  218: PENDRAGON33 (France), encore en lice
  219: PKR666PT (Portugal), encore en lice
  220: PKR_AK47 (Espagne), encore en lice
  221: Pablo Amaringo (Pologne), encore en lice
  222: Pardal#ES77 (Brésil), encore en lice
  223: ParedesParadise (France), encore en lice
