PokerStars Tournoi #3607886958, No Limit Hold'em
Buy-in : €0.90/€0.10 EUR
494 joueurs
Dotation totale : €500.00 EUR 
Tournoi commencé 01/07/2023 15:45:00 CET [01/07/2023 9:45:00 ET]

  1: 13 Tony 31 [2] (Espagne), encore en lice
  2: 18alex93 (France), encore en lice
  3: 1Kevs1 (Espagne), encore en lice
  4: 2001JR (Espagne), encore en lice
  5: 66RERE [2] (France), encore en lice
  6: 6NOSFERATUS6 (Espagne), encore en lice
  7: 7lukamagic [2] (Espagne), encore en lice
  8: <<LeamuR>>9 (Bélarus), encore en lice
  9: ANG-085 [2] (Espagne), encore en lice
  10: Agrela 22 (Portugal), encore en lice
  11: AknutsAk (France), encore en lice
  12: AltesWSK [2] (Espagne), encore en lice
  13: Alvaro777494 (Espagne), encore en lice
  14: AlwaysWinnnnn (Ukraine), encore en lice
  15: Apaquito57 (France), encore en lice
  16: Artilleur874 [2] (France), encore en lice
  17: Asier1977 (Espagne), encore en lice
  18: Aymric974 (France), encore en lice
  19: BUD2308 (Espagne), encore en lice
  20: BURNE34 (France), encore en lice
  21: Babish_17 (Portugal), encore en lice
  22: Balbas56 (Espagne), encore en lice
  23: Benou131 (France), encore en lice
  24: Boogeymaan_1 [2] (France), encore en lice
  25: Boulette2Bloeuf (France), encore en lice
  26: Bruklyn00 (Espagne), encore en lice
  27: Byrnis0n44 (Kazakhstan), encore en lice
  28: Caraps29 [2] (Portugal), encore en lice
  29: CerealPT (Portugal), encore en lice
  30: CheckMate1346 (Espagne), encore en lice
  31: DANIPOKER78 (Espagne), encore en lice
  32: DEUCEDUKE (Portugal), encore en lice
  33: Dallama2 (Espagne), encore en lice
  34: DanielfmAlmada (Portugal), encore en lice
  35: Danster1968 (Portugal), encore en lice
  36: DarkShottas (Portugal), encore en lice
  37: Darkvador566 (France), encore en lice
  38: DavidRSS37 (Portugal), encore en lice
  39: Daziacheese (Espagne), encore en lice
  40: DeL Moi Même (France), encore en lice
  41: Developer IO (Espagne), encore en lice
  42: Dhp100173% [2] (France), encore en lice
  43: Dialmo972 (France), encore en lice
  44: DvaBBe (Ukraine), encore en lice
  45: Edibou (Espagne), encore en lice
  46: Elcampo14 (France), encore en lice
  47: Exvvoto (France), encore en lice
